64.342,0.667
42.583,8.687	0.585,97.315
26.573,1.054	0.293,86.923
156.047,0.477	2.834,31.966
77.297,1.647	1.572,29.725
75.622,1.840	1.395,105.958
0.079,78.885
44.134,1.419	0.734,87.744
42.948,2.020	0.478,93.229
118.097,0.148	1.674,6.565
58.140,0.598	0.623,47.418
0.307,162.730
31.392,1.947	1.349,125.451
134.141,0.766
121.230,0.467	2.136,41.393
88.170,1.632	1.126,102.157
113.606,3.700
51.880,0.318	1.430,21.795
136.769,3.249	1.815,72.294
0.186,167.666
138.560,1.253	1.946,116.797
1.629,50.368
82.144,1.455	0.838,136.769
99.504,4.427	1.431,110.248
138.423,0.468
215.532,1.099	8.973,69.159
84.282,0.660
169.652,1.177	1.904,40.326
48.964,2.167
1.243,180.195
3.051,172.936
2.373,81.321
103.885,8.832	1.065,174.105
134.698,0.986	3.029,42.083
88.364,1.824	2.751,76.221
112.271,2.033	1.571,92.261
269.961,3.638
63.774,0.485	1.367,14.581
4.464,121.112
77.551,0.940	1.039,82.204
19.649,1.310	1.685,125.326
140.507,0.785	4.537,33.185
116.850,1.263
131.540,0.263	2.148,25.907
92.609,1.669	3.031,106.005
2.566,108.200
187.740,0.764	7.380,66.301
323.807,4.694	4.211,176.919
30.091,0.906	0.341,42.443
132.710,0.144	1.383,13.701
100.475,1.238	1.416,113.904
281.557,0.351
26.347,4.464	0.752,269.961
56.357,2.088	2.438,90.180
155.828,1.539	1.718,93.820
64.590,1.011	0.812,74.895
290.437,9.237	3.084,463.353
148.498,4.566	4.787,258.442
21.524,0.993	2.641,12.337
218.168,0.380	2.655,12.376
205.024,2.547	3.590,237.098
29.351,0.863	0.310,81.442
30.218,3.452	0.723,232.640
62.178,0.368
54.921,0.096	5.438,9.265
84.788,8.863	3.944,89.252
209.247,13.585
79.961,1.463	1.201,81.325
49.049,1.127	0.740,81.115
21.577,4.231	0.774,106.769
15.327,2.444	0.174,81.990
29.149,2.272	0.376,174.550
1.538,166.810
466.295,2.643
0.097,211.966
68.527,5.168	2.997,504.627
4.179,21.595
15.011,5.994	1.900,286.008
277.307,0.261
187.062,0.092
143.758,0.152	5.756,10.782
0.590,421.695
35.780,1.053	0.417,42.879
66.578,5.219	0.899,323.323
43.838,5.898	0.845,244.389
3.055,69.371
25.322,1.773	0.293,156.619
31.943,4.543	0.915,301.427
111.577,2.558	1.283,224.304
120.169,2.500	1.580,70.127
115.791,1.313	1.194,31.655
395.026,0.226	10.347,16.167
17.929,179.954
8.007,0.623	0.168,58.301
1.170,148.536
80.472,5.240	2.456,23.342
118.845,1.999	1.897,57.556
238.898,0.026
319.291,4.419
1.691,140.418
0.128,322.811
347.303,9.017
135.520,1.494	3.138,26.756
246.183,0.202
24.880,0.108
1.650,168.648
160.536,1.307	3.151,91.785
20.799,0.728	0.568,56.579
73.244,1.207
34.195,1.872	0.440,130.344
13.419,1.859	0.359,101.655
86.641,0.719
3.642,193.965
114.545,0.407	1.243,33.815
19.632,0.801	4.828,38.515
228.919,0.225
68.621,4.210
118.024,0.167
17.465,9.615
5.117,18.990
140.257,1.878	2.452,151.458
4.096,80.814
86.334,1.118	1.113,58.014
31.475,6.754	13.573,29.496
43.446,0.803	1.008,77.239
18.050,0.849
13.879,0.936	0.225,78.187
143.817,2.120	3.824,169.320
0.856,84.068
119.053,10.829	2.751,102.475
71.711,0.255
16.815,0.069
43.695,0.240	0.589,22.610
41.802,1.100	0.587,31.648
70.222,0.240	3.077,23.139
187.920,1.070	3.366,89.985
539.587,0.979
1.487,139.585
20.314,1.084	2.966,100.743
13.538,7.989	0.152,82.782
34.692,8.406	1.027,227.416
118.536,0.857
186.965,2.861
130.597,4.316	2.893,59.599
71.514,4.334	0.776,101.093
172.772,1.819	7.625,154.697
93.255,1.908	4.101,87.511
110.862,2.023	1.259,153.029
51.045,1.212	1.319,58.626
124.815,0.030	2.909,2.631
83.304,1.377	0.838,110.184
170.829,0.763
70.177,2.995	2.349,117.531
38.386,1.734	0.447,139.255
