84.083,0.230	1.638,18.128
84.977,0.921	2.325,19.621
100.486,6.468	2.716,48.716
1.528,110.532
6.413,0.992	0.071,96.761
82.885,8.014	1.016,93.765
109.757,0.200	1.486,18.535
50.158,2.827	0.577,74.760
100.980,2.175	2.061,114.827
17.343,4.077	0.198,111.543
135.494,0.924	2.141,66.909
11.052,1.279	0.254,108.211
82.135,0.409	2.001,40.677
105.529,1.710	1.506,141.103
26.685,7.047	2.243,89.026
51.664,1.401	0.864,125.289
32.336,3.043	1.770,101.306
126.781,2.574	2.072,192.621
0.398,101.061
0.452,112.653
0.759,90.694
108.665,0.932	1.621,76.413
17.265,2.133	0.258,196.808
31.885,1.647	0.361,85.516
0.174,246.389
4.293,178.013
147.651,2.868	1.931,128.633
31.885,1.647	0.361,85.516
188.505,1.434	4.023,142.632
64.525,1.768	0.666,131.978
80.211,2.145	1.245,129.738
102.480,4.023
35.625,2.523	2.175,229.104
0.780,211.387
255.579,3.473
24.555,0.268
17.925,3.394	0.498,253.093
10.150,7.783	0.106,135.297
226.508,2.713
35.187,1.189	0.559,102.390
0.947,67.362
106.687,1.793	1.330,136.891
19.483,1.043
113.580,7.293	1.281,85.205
0.939,317.258
30.894,5.181	1.245,130.834
313.045,0.654	4.429,50.564
1.779,109.485
73.930,0.336	1.728,19.435
1.340,269.715
130.708,0.262	1.713,20.694
164.740,1.185	1.953,34.156
36.615,1.164	0.488,108.601
368.317,1.369	6.302,55.708
54.249,2.155	0.571,175.898
158.160,2.699
38.341,3.228	1.880,280.729
2.804,119.353
1.276,23.609
7.107,420.903
84.327,1.898	1.760,179.374
62.479,4.695	1.539,109.943
92.064,1.953	3.257,55.719
89.493,2.301
92.516,3.913	3.654,347.087
260.305,2.078
1.528,474.472
199.344,0.246	3.695,19.367
127.600,3.068	2.481,282.724
24.335,0.621	0.869,28.852
146.003,1.129	8.433,86.689
133.823,2.240	5.074,152.235
125.347,1.201	1.354,107.761
33.809,3.102	0.446,294.519
2.152,236.860
0.426,651.376
119.423,1.297	15.194,26.194
1.090,1.906
100.679,0.628	2.810,55.342
0.189,109.322
7.964,228.337
204.169,2.377	2.614,61.206
42.139,4.912	0.424,451.555
20.557,6.636	0.206,166.012
1.114,185.430
6.273,167.147
106.121,7.701	1.901,313.873
29.240,1.135	0.819,98.265
1.210,378.532
93.769,1.652
133.234,2.492	1.506,219.484
74.146,0.932	3.923,25.093
176.823,0.305	1.983,8.405
261.356,0.715	6.117,58.240
110.479,0.837	3.323,79.007
3.079,107.632
0.410,236.507
145.667,1.714	9.590,80.426
343.267,2.736	4.412,94.398
75.776,1.324	1.586,127.192
81.031,63.585
34.122,3.019
183.870,2.212	2.589,53.491
4.411,187.711
157.312,1.054	2.923,104.157
324.524,1.152	5.232,109.743
143.190,1.774
0.262,41.751
898.447,9.922	12.051,85.244
5.162,10.573
71.342,4.863	0.878,148.688
4.845,3.504	0.080,53.677
0.958,338.105
31.816,0.072
165.058,2.532
1.053,381.580
0.118,78.756
316.367,0.996	7.638,59.980
475.570,2.135	6.614,49.385
95.022,0.862	2.240,17.505
212.854,0.334
17.223,2.854	0.289,248.825
50.232,0.869	1.175,51.207
161.281,1.619	3.939,91.397
32.060,6.056	1.528,395.263
378.074,0.615
64.636,3.385	0.864,318.038
5.361,3.331
114.345,1.673	1.284,141.669
84.442,0.856	10.560,59.977
289.713,5.649
622.456,1.200
26.218,1.107	0.527,38.298
3.579,115.068
32.718,1.363	1.231,87.719
157.956,1.144	2.431,113.035
104.544,13.700	1.676,125.375
51.667,31.522
1.501,186.125
17.516,0.065	0.444,4.401
66.256,0.582	3.877,21.874
106.063,3.601	1.632,149.326
17.074,1.109	0.250,52.129
215.377,1.008	2.645,16.279
24.310,3.043	0.280,162.055
198.908,0.843	15.310,36.376
63.819,0.493
0.455,120.217
135.834,6.615
86.563,3.969
105.647,4.952	1.715,56.583
199.074,0.652	3.316,48.510
0.683,277.513
1.387,7.966
17.615,1.878	0.484,108.780
105.381,2.679	2.797,167.999
2.011,100.163
0.178,42.643
242.871,1.420
26.354,4.878	0.418,68.297
0.251,177.322
116.310,0.216	10.945,20.728
291.674,6.974
121.176,1.468	2.083,22.448
237.441,2.231	4.326,101.807
96.239,0.532	2.920,38.758
25.788,0.071
45.701,7.596	1.029,371.734
62.443,1.597	0.774,102.581
28.943,2.693	0.754,185.012
1.203,170.943
61.440,1.162	4.067,82.511
251.953,1.592	3.836,123.596
81.806,8.553
30.941,2.175	10.644,142.840
262.048,0.426	7.960,35.511
214.917,1.146	3.803,60.508
54.447,3.161	0.620,122.956
175.078,1.541	2.023,101.674
117.042,1.888	3.822,80.906
185.116,2.343
233.833,0.815	2.751,77.302
123.864,1.608	3.999,138.924
0.219,177.664
192.180,14.191	2.144,86.441
65.172,3.481	0.755,42.686
107.095,3.324	1.190,27.421
424.782,1.051
109.511,3.820	3.029,138.986
31.722,1.168	3.328,64.682
38.391,1.290	0.587,88.568
73.297,8.990	1.527,247.295
110.213,0.884
156.072,3.268	1.597,141.298
49.799,18.232	3.534,173.975
57.257,1.814	2.589,71.786
49.524,0.668	0.620,33.241
79.631,0.802	1.568,72.931
0.783,211.937
34.371,9.680	0.518,205.590
48.143,1.665	1.042,95.230
0.174,101.044
206.891,0.173
117.090,9.020	2.547,161.074
8.333,2.488	0.093,243.193
16.428,0.496	0.377,32.279
198.772,0.869
60.920,10.794	1.238,365.982
281.982,2.145	3.459,138.001
100.137,1.439	1.292,98.825
5.683,100.597
563.376,1.219
1.223,91.097
41.055,6.903	0.554,195.507
78.605,3.990	2.665,226.440
191.136,2.175	2.703,95.618
2.203,369.128
38.089,8.848	0.808,788.268
87.139,0.646	3.500,30.646
65.865,5.415	0.880,150.784
74.475,5.442	7.366,252.017
113.585,0.094	1.161,6.553
2.261,167.490
217.594,10.240
71.933,2.231	1.484,97.529
54.746,1.792	1.059,117.680
23.046,14.380
64.181,0.068
255.600,4.472	4.131,330.031
179.512,1.149	2.520,87.784
121.715,4.975
139.675,0.619	1.546,36.787
22.197,3.098
224.731,6.374
61.311,2.073
6.185,7.106
137.716,0.739
0.246,147.046
0.470,528.455
63.683,1.194	1.029,116.585
202.406,0.409	5.981,20.832
399.134,1.994	4.194,103.518
113.698,3.177	1.137,97.384
0.084,804.646
399.356,0.762
75.329,0.888	2.950,66.676
111.699,3.043	4.469,114.508
140.566,0.268	1.715,22.284
242.113,3.497
194.630,8.156	3.158,117.635
123.070,0.515	20.374,39.765
65.022,1.467	0.737,81.005
49.368,0.473
426.735,0.665
125.206,16.924	8.381,721.877
0.111,102.243
164.053,0.368
80.390,0.228
118.551,0.715
0.373,293.511
45.114,0.533	0.728,27.209
256.208,0.822
1.536,339.380
33.123,0.490	0.540,36.134
369.143,0.561	13.236,45.152
79.566,0.663	1.721,45.985
114.648,1.187	6.479,66.232
107.285,0.774	1.358,45.060
89.093,1.775	0.891,142.495
76.109,1.488	0.764,26.349
379.814,1.241	5.291,105.749
49.983,5.091
36.533,0.207	1.172,16.659
2.446,187.345
219.986,1.817	3.279,100.118
475.378,1.198	9.418,117.415
0.422,133.346
333.231,1.275	6.580,117.263
28.024,0.400	0.331,26.606
234.746,12.714	15.557,150.285
65.140,0.617	1.165,56.691
5.584,22.080
113.280,3.042	1.458,215.878
8.296,433.152
1.046,147.655
167.368,2.579	1.936,75.303
162.208,5.465	4.659,99.301
31.149,1.661	0.326,64.105
164.769,7.556	1.845,92.106
90.765,3.204	1.855,93.205
48.733,1.173	2.246,99.494
35.351,1.292
23.871,6.269	0.388,92.087
180.830,3.790	4.064,182.154
70.444,4.280	0.816,51.572
77.101,1.169	1.106,73.431
169.020,4.410	4.352,290.840
29.786,6.894	0.608,270.094
193.535,0.490	2.135,9.807
102.790,0.619	1.646,41.180
1.450,335.245
121.961,0.527
114.834,9.084	3.177,519.541
94.571,0.810	1.043,67.036
100.264,6.366	1.495,367.519
1.201,367.142
364.585,4.040
113.448,3.111
107.109,4.957	2.462,114.691
137.530,0.946	6.386,75.548
24.466,0.279
155.083,4.310	2.292,212.949
87.866,9.133	1.259,96.772
254.828,1.796
153.045,0.129
157.908,0.875	11.324,46.737
154.455,1.059
108.490,4.733	4.686,89.962
136.797,0.156
134.734,3.848	7.727,224.456
642.971,2.741
62.880,3.417	1.614,169.314
26.134,1.628	0.390,100.070
107.359,0.817
230.277,2.049
206.071,0.407
466.224,5.533
