parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,98,-0.092002,6.632995,01
1,2,01-10,01-10,2,2,6.489446,3.743931,10
2,2,01-10,01-10,2,94,-0.250319,6.270048,01
2,2,01-10,01-10,2,6,5.447644,3.360792,10
3,1,01,01,1,100,-1.556906,5.024319,01
4,1,01,01-10,1,100,-4.42742,6.250943,01
5,1,10,10,1,100,5.572702,1.542391,10
6,2,01-10,01-10,2,53,6.940984,0.457817,10
6,2,01-10,01-10,2,47,2.138792,6.374993,01
7,1,01,01,1,100,-2.977133,5.481218,01
8,1,01,01,1,100,0.727571,7.172393,01
9,1,00,00,1,100,5.012217,3.089503,00
10,1,01,01,1,100,-0.17278,6.618802,01
11,2,01-10,01-10,2,96,0.038552,6.598693,01
11,2,01-10,01-10,2,4,6.106413,0.938671,10
12,1,01,01-10,1,100,-1.813584,4.523835,01
13,1,00,00,1,100,4.594505,4.417482,00
14,2,01-10,01-10,2,54,4.537801,2.874011,10
14,2,01-10,01-10,2,46,3.529892,6.011164,01
15,2,01-10,01-10,2,95,-0.103989,6.65496,01
15,2,01-10,01-10,2,5,6.484357,1.327631,10
16,2,01-10,01-10,2,96,1.92085,7.219409,01
16,2,01-10,01-10,2,4,6.495698,0.715094,10
17,1,01,01,1,100,-2.75389,6.426532,01
18,1,01,01,1,100,-2.208421,7.222836,01
19,1,10,10,1,100,7.660043,1.408715,10
20,2,01-10,01-10,2,57,7.148879,-0.213192,10
20,2,01-10,01-10,2,43,1.43123,5.380529,01
21,1,01,01-10,1,100,1.458838,7.720401,01
22,2,01-10,01-10,2,67,5.899908,-1.865113,10
22,2,01-10,01-10,2,33,-0.154403,4.460022,01
23,1,10,10,1,100,7.706722,-2.914695,10
24,2,01-10,01-10,2,63,7.742355,3.158372,10
24,2,01-10,01-10,2,37,3.251095,6.839044,01
25,1,10,10,1,100,6.23815,-1.454741,10
26,1,01,01-10,1,100,-0.354771,5.991423,01
27,1,01,01,1,100,0.901683,8.238728,01
