110.315,1.775
115.835,0.115
115.835,0.301
81.629,1.401	0.933,91.542
109.415,2.183	3.853,88.022
0.140,56.348
0.599,73.101
148.581,0.069	1.531,2.833
38.609,0.350	1.410,28.743
72.660,1.108	2.772,71.678
50.889,0.826	0.565,72.643
5.902,117.094
135.940,0.500	4.892,42.478
119.020,12.344	2.464,119.963
98.139,1.467	2.181,88.349
97.980,2.132	1.645,148.496
68.675,0.948	0.796,47.448
107.974,0.817	4.465,71.800
85.343,0.617	3.998,46.395
0.784,153.054
80.527,0.578
142.009,0.302	2.035,19.825
90.652,1.202	3.604,44.145
115.666,4.453	1.470,110.434
76.647,4.736	1.497,175.204
113.124,0.231
118.266,2.375	1.282,81.722
37.636,1.918	0.657,78.792
141.722,2.496	2.941,136.408
57.448,2.304
3.769,125.173
162.029,1.180
17.899,0.939	0.184,81.158
212.496,1.693	8.721,57.360
62.480,11.993
236.014,3.602
0.274,57.295
59.531,4.545	2.299,199.144
0.389,13.393
91.977,1.035	1.525,25.383
225.230,1.737
83.952,1.824	2.775,127.519
59.265,0.229
22.515,1.743	0.382,96.865
76.375,3.345	3.774,79.167
1.202,209.069
6.260,1.103	0.196,79.320
1.671,159.457
81.695,0.771	1.398,53.701
53.875,1.423	2.225,118.562
7.000,11.248
244.474,17.043
22.444,0.236
65.942,0.624	0.938,55.425
69.660,1.845	1.485,54.841
237.259,2.649
47.779,2.245	0.569,98.576
18.590,8.566	0.240,309.914
70.512,0.722	3.243,18.948
77.123,3.585	1.200,285.191
68.344,0.394	0.875,32.194
178.468,0.897	2.428,60.488
95.628,0.866	1.377,73.142
79.244,0.919	9.370,65.058
53.681,13.485	2.657,267.194
38.246,146.611
0.254,132.398
85.373,3.787	21.408,106.984
2.778,24.830
59.437,1.478	0.892,116.838
73.461,1.370	1.505,116.052
128.205,0.482	4.824,14.444
17.386,10.729	0.897,92.410
26.453,3.637	0.468,114.613
0.121,66.143
46.206,5.814	0.640,287.324
91.173,0.140	1.156,12.129
21.779,0.275	0.713,24.797
0.453,51.645
218.297,2.496	8.948,145.503
169.363,0.548	4.957,35.645
55.701,0.287	1.468,28.390
49.539,3.013	0.949,25.893
380.702,0.502
114.122,2.866	2.633,95.467
3.223,22.189
237.392,3.845
147.778,1.923	2.002,66.744
347.566,0.799	4.393,22.529
1.606,139.318
179.251,4.981	4.730,162.757
0.151,23.266
138.075,4.683	2.649,37.624
72.896,0.111
0.432,172.503
1.694,69.216
83.722,13.570	1.816,465.827
0.085,96.760
0.872,280.961
74.937,1.606	1.087,65.875
44.893,1.286	0.698,128.223
53.861,0.946	0.714,43.606
98.678,3.348
2.233,424.220
68.651,1.682	0.858,82.222
7.230,65.397
30.104,0.972	0.341,96.643
59.459,0.115	1.719,3.371
18.704,0.773	0.192,50.749
5.126,123.518
63.555,0.276	1.055,13.175
117.821,0.425	2.370,16.468
1.513,97.881
0.250,127.127
330.079,8.374
1.099,77.950
72.640,0.283	4.943,25.363
199.211,5.266	6.873,165.405
6.801,4.716	0.117,276.028
29.721,0.302	1.040,14.573
63.451,2.534	0.674,11.837
116.553,0.882	11.794,55.125
209.269,1.236	2.320,114.690
120.807,1.349	1.542,128.093
45.951,0.695	0.703,59.968
1.331,49.207
179.543,5.373	2.579,156.254
62.164,5.975	0.754,201.328
57.123,2.723	3.344,107.344
93.051,1.571	2.069,71.906
0.714,109.270
37.696,0.778	0.413,62.208
175.728,0.716	8.934,41.267
12.659,51.345
1.730,105.346
85.025,0.622	1.307,33.885
199.406,1.688	4.448,114.726
0.076,124.884
191.241,6.334	4.833,61.707
8.893,0.253	0.755,19.793
1.766,386.564
0.236,157.643
243.181,2.618	3.221,88.702
149.599,1.175
150.629,3.122	4.083,180.820
0.520,376.412
60.181,2.158	3.060,101.241
16.557,0.550	2.003,46.060
145.257,0.327	1.771,19.484
352.680,4.468
4.733,192.376
58.917,4.738	4.664,267.339
81.859,1.142	3.300,99.398
26.665,0.833	0.390,71.561
61.697,4.682	0.884,215.567
133.152,0.819
121.271,2.974	3.049,225.437
42.084,1.132
79.261,0.881	0.799,63.953
51.650,0.554	1.328,20.157
206.711,0.306	2.779,25.048
143.678,0.593	8.108,25.712
120.519,0.427	1.802,32.943
0.091,127.789
83.741,1.449
173.994,1.284
48.625,0.115	1.698,8.570
0.603,137.105
254.927,1.908	12.813,50.034
121.864,6.705	3.452,210.657
118.308,0.761
191.900,2.526	2.140,130.847
196.313,0.031
105.157,1.436	1.258,45.284
127.816,3.091	1.591,286.272
8.487,6.942
1.622,229.319
578.735,5.302
19.773,2.451	0.455,231.386
1.361,72.878
77.675,0.947	5.621,92.448
112.223,1.728	5.089,150.744
46.327,0.653	1.753,16.870
66.630,0.520	7.151,43.665
74.762,5.744	0.753,268.857
48.293,2.288	3.037,68.010
89.950,2.185	1.068,14.921
8.001,800.823
131.445,11.465	4.908,137.307
192.286,3.312
3.506,122.334
0.177,97.668
123.680,1.050	1.663,69.612
52.475,0.668	0.671,43.517
159.612,2.344	1.793,43.445
155.002,2.030	5.751,65.883
127.695,1.971	3.350,162.641
94.704,3.239
124.792,0.664	1.470,32.716
0.088,165.796
4.149,72.570
38.338,0.532	3.374,29.661
59.543,0.504	0.598,42.735
486.890,1.736
414.198,2.280
645.821,2.290	9.175,90.233
10.682,2.710	0.172,66.729
62.683,1.231
297.077,2.493
109.465,1.194	1.859,114.886
649.246,1.627
200.850,4.999
104.904,2.664
0.480,63.560
2.305,72.646
1.310,110.248
253.017,2.670	6.478,90.641
0.249,17.547
63.162,26.599
183.966,2.150
104.536,2.793
130.349,15.075	6.779,466.040
181.166,1.170	4.647,65.998
0.061,250.640
532.279,0.804
11.856,9.271	0.625,134.615
0.133,207.104
40.370,3.536	1.571,71.844
536.429,0.681
725.873,0.967
56.126,7.489	1.114,170.094
117.286,3.166	4.103,70.262
191.587,2.186	2.840,50.631
111.913,0.212	6.980,20.759
45.234,1.689	1.992,136.342
97.785,3.197	1.147,122.006
122.992,0.843	1.281,26.200
8.579,0.231
134.287,1.422	2.072,53.486
84.952,1.911	1.261,123.011
89.413,2.479	2.200,122.981
30.957,0.504	1.489,30.282
0.883,144.753
1.127,468.554
58.860,0.423	0.945,22.481
131.909,3.759	2.274,138.284
26.372,0.181	0.427,17.307
68.663,1.723	0.738,83.405
0.536,289.399
239.733,0.947	2.619,51.642
1.831,94.342
101.473,0.082
126.311,2.626
2.621,2.263
86.471,1.152	0.980,51.808
64.225,2.423	0.945,151.918
39.938,5.208	4.468,60.572
11.794,229.052
79.889,1.735	1.113,133.262
144.119,1.004
30.056,0.831	0.821,47.157
243.518,2.086	3.009,164.688
15.816,7.120
48.511,0.176	1.180,12.779
36.226,0.678	0.993,52.647
0.031,129.398
47.463,1.889	1.654,123.952
0.216,63.261
129.150,0.848	3.587,19.639
98.249,2.084	1.710,27.577
10.288,107.898
70.127,1.931	12.995,179.179
132.765,0.655	1.415,57.079
0.151,38.054
550.409,4.533	8.621,198.239
92.314,4.743	1.278,146.410
163.191,1.739	7.650,91.685
0.815,66.375
85.034,2.927	1.207,127.326
50.495,8.815	6.563,124.643
110.445,2.816	2.332,217.966
44.952,1.825	4.300,138.242
122.287,0.148
50.422,0.388	0.638,28.315
21.636,1.652
2.552,3.785
6.906,136.421
43.786,1.155	0.469,106.075
128.440,2.167	2.205,166.671
97.784,1.120	1.055,90.976
0.670,97.280
695.463,2.771	11.114,88.969
2.717,73.744
193.707,1.961
36.958,4.148
78.044,0.598
204.918,5.277	5.127,506.504
18.667,0.178	1.162,17.538
65.098,0.749	0.982,27.260
93.581,1.086	0.997,102.525
109.697,2.510	8.408,248.219
272.903,4.126	3.525,319.440
89.832,2.062
353.678,1.307	4.584,48.687
2.036,131.289
19.301,0.425
162.477,1.723	3.252,147.330
154.670,7.246	8.048,444.324
96.391,1.667	2.347,42.570
118.109,2.958	1.242,267.790
274.470,0.130	5.087,12.668
170.069,6.017
179.235,3.412	2.683,250.156
45.864,0.686	0.861,65.796
1.345,101.259
176.696,6.154
3.703,2.182	0.094,144.670
0.269,192.574
38.016,0.118
81.193,2.441	4.026,37.943
8.076,28.176
75.447,4.237	8.273,163.824
0.860,67.130
52.986,1.581	1.035,140.336
143.994,1.477
1.242,72.795
118.362,2.239	1.415,135.437
561.310,1.387	14.174,66.473
132.973,2.524	4.207,209.979
100.166,0.456	3.023,24.280
41.145,1.376	2.264,70.926
286.401,8.450	5.486,421.829
140.439,0.919	1.529,74.773
21.611,5.228	0.318,169.769
24.452,1.291	0.267,107.689
20.235,2.760	0.266,87.898
4.834,201.789
77.299,0.116	1.148,9.288
13.061,0.561	3.877,44.320
57.877,1.066	1.205,90.981
1.551,123.659
4.931,177.714
136.629,0.572
115.342,0.640
1.832,154.705
0.258,145.119
73.069,8.110	0.917,547.011
61.165,0.505
110.439,2.124	3.677,196.280
10.966,0.673	1.233,33.981
5.953,16.049
317.188,4.655
114.034,0.401
55.883,2.263	0.686,74.230
0.058,99.798
225.804,0.420	8.048,19.927
102.669,1.248	1.419,106.888
379.309,9.814	10.552,513.331
35.445,11.109	1.022,69.591
36.617,1.366	2.164,100.383
46.297,5.706	2.183,66.747
17.124,0.896	0.262,67.478
113.091,8.343	2.970,114.452
187.948,0.359
149.705,1.656	3.411,58.931
35.666,2.281	0.512,154.102
40.958,1.397	0.759,50.958
0.687,127.782
87.559,2.118	0.911,109.512
1.761,33.557
82.339,1.162	2.759,62.636
163.815,1.110	7.635,46.161
0.746,185.029
61.443,1.388	1.407,109.782
45.332,2.240	1.500,152.617
502.446,1.347	5.360,91.300
82.822,3.303	0.955,92.861
109.753,9.565	1.396,59.738
25.161,5.515
78.239,1.122	2.793,109.991
1.391,114.963
45.332,1.684	0.983,152.617
278.630,0.748
44.314,1.050	2.475,50.112
37.251,4.238	0.464,213.416
1.125,83.782
19.257,1.936	0.329,20.706
65.014,0.499	2.880,47.561
44.324,1.908	0.879,24.513
89.474,1.240	0.962,107.185
97.298,16.286
0.177,163.635
100.791,0.025
18.533,2.116	0.554,32.624
88.352,0.339
140.226,0.677	2.459,26.322
106.977,1.821	9.160,107.236
190.516,1.012
326.029,2.789
140.173,3.650	1.740,310.026
10.317,8.411
1.775,18.549
2.578,104.363
148.632,2.389	2.597,168.059
681.478,0.397
460.258,0.461	4.828,30.999
16.106,3.002	0.770,247.437
275.303,0.872
0.141,73.018
129.631,0.457	1.956,37.358
7.131,3.994	0.090,145.765
53.881,1.674	1.190,37.004
61.362,0.526	2.026,37.386
25.524,0.550
43.815,1.098	0.621,100.480
0.272,55.129
122.222,5.988	1.879,163.794
176.066,2.153	7.946,89.823
70.245,0.411	1.344,39.054
156.334,1.364	3.659,91.794
86.746,5.036
70.077,0.840	0.962,47.673
0.312,160.825
106.070,4.934	3.773,273.765
1.218,478.469
111.353,1.820	3.848,152.974
70.810,1.987	1.121,145.868
16.373,11.926	0.189,76.894
52.154,0.593	0.684,36.612
110.287,4.390
85.763,0.895
151.941,0.171	1.525,16.769
101.956,0.066
0.341,322.353
4.063,119.858
2.710,216.100
212.198,1.642	4.621,65.823
157.472,1.836
56.929,1.905
27.510,39.414
18.834,0.551	1.022,33.322
8.544,14.741	0.123,203.275
40.081,0.816	0.786,73.317
110.642,1.025	1.463,87.301
276.382,2.220	3.033,110.585
1.795,228.434
43.586,0.470	0.524,41.959
43.088,3.098	0.866,107.938
0.881,295.245
96.433,1.822	1.013,81.772
1.129,222.367
75.428,3.268	19.762,153.390
82.169,0.100
3.495,375.639
10.408,662.042
69.038,1.372	3.196,45.527
120.146,0.669	2.013,61.355
13.426,18.024
51.919,1.010
6.161,283.132
24.057,0.557	0.938,11.167
0.209,68.591
294.586,0.533	7.570,27.336
47.397,4.927	0.701,324.235
691.707,3.840
2.181,806.939
51.156,4.706	0.579,121.399
0.096,97.594
63.581,3.807	0.799,302.130
135.280,0.161
105.865,0.557	6.413,40.470
35.235,3.283	0.553,193.478
81.671,0.922	1.286,59.918
0.995,304.760
16.588,6.458
187.389,6.125	2.009,317.192
3.885,0.283
59.483,3.034	0.615,175.672
21.304,1.811	1.215,71.626
213.257,5.477	2.336,172.729
26.890,50.155
149.500,4.272
0.046,145.724
126.234,1.258	1.272,64.389
93.247,0.802	1.900,59.919
33.501,0.872	0.413,85.018
248.668,5.640	3.087,34.092
146.590,3.639	2.379,341.863
131.373,4.907	2.355,359.711
198.266,3.738	3.383,100.576
269.629,0.446
98.956,0.127
1.681,564.933
1.591,88.360
22.737,0.632	0.377,18.936
129.252,4.316	2.615,82.685
0.078,37.819
71.463,2.573
137.441,3.756	4.846,283.506
26.768,0.514	3.297,46.180
6.151,244.322
0.222,97.209
190.999,9.341	3.240,190.020
70.189,3.124
28.031,3.054	0.348,218.358
48.676,0.393	0.539,38.870
10.010,84.749
6.714,462.304
29.487,12.601	0.472,768.872
61.975,1.592	0.853,148.405
11.810,0.536	0.182,36.413
204.298,6.026	3.805,116.668
30.299,2.949	7.735,93.137
125.032,1.151	3.912,43.266
105.099,5.924	4.574,93.607
0.779,120.620
0.624,29.835
64.972,0.581	1.046,28.684
229.928,0.962	4.938,29.906
45.786,1.619	0.783,25.558
1.975,132.091
85.203,0.840
0.277,233.839
23.948,4.153	0.263,250.665
0.119,68.331
35.554,15.962	0.583,291.446
0.081,97.218
92.698,1.350	1.374,72.680
646.849,1.580
177.823,3.226	1.949,74.928
52.099,0.674
97.908,2.118	5.051,184.226
119.733,1.611	6.037,135.660
1.023,2.218
1.397,104.194
0.047,182.595
1.361,1.953
0.184,134.666
163.357,0.449	2.199,38.288
90.719,3.157	0.963,146.220
61.575,0.416	0.639,40.294
1.654,224.082
2.225,118.033
66.693,0.766	3.439,55.492
2.445,475.257
247.569,4.376	10.168,251.573
110.158,6.760	5.430,57.194
47.499,0.208	0.896,18.006
6.930,2.647
31.521,4.473	0.741,204.425
0.087,191.709
216.379,0.628	7.756,59.379
321.316,3.862
37.699,0.520	0.564,31.281
97.000,4.086	3.274,113.523
141.946,0.281	5.329,24.890
83.648,1.429	0.932,106.334
342.036,2.761
27.177,0.494	0.735,32.308
38.152,0.535	1.263,20.112
87.031,0.814	1.128,61.774
72.153,4.266	2.654,146.165
0.431,383.568
1.294,570.068
22.680,2.123
98.309,5.748	3.318,159.679
242.786,10.751
217.170,5.654	3.694,136.001
4.250,146.225
60.044,0.427	0.608,17.202
156.979,2.100
67.216,0.276	1.414,16.651
78.253,1.793	0.829,115.563
86.758,1.089	9.573,29.675
142.694,0.992
167.790,1.439	1.749,138.064
42.151,3.527	0.560,347.967
198.863,2.393	2.401,179.410
66.292,0.334	0.731,15.798
19.989,0.017
34.035,3.111	0.814,176.583
122.275,5.183	1.402,61.556
20.564,4.640	0.259,298.496
61.546,1.232	0.796,62.477
117.867,2.245	2.647,99.987
139.621,4.388	6.477,69.712
20.820,4.066	0.293,248.184
0.785,226.250
5.444,58.535
13.266,1.288
2.813,77.641
12.507,0.824	0.250,61.234
17.278,1.737	0.389,82.085
2.477,342.495
116.394,1.051	1.219,37.833
83.922,0.208	1.980,5.029
57.654,1.888	1.284,64.966
0.168,107.431
12.668,10.310	0.162,726.149
800.465,1.960	8.808,195.915
40.888,4.461	0.610,271.694
125.366,0.440	3.202,37.635
238.005,1.965	2.846,139.482
0.306,50.965
32.566,1.707	1.039,57.541
240.470,0.940	6.567,43.414
92.689,0.818	3.990,52.127
101.276,12.502	1.617,293.434
0.172,35.049
0.139,292.994
58.458,0.213	11.251,20.197
262.244,1.714	5.706,133.357
41.937,0.442	0.870,27.891
209.108,1.945	9.379,175.659
31.394,0.114
98.231,4.860	1.910,41.517
99.969,1.092
0.656,81.269
8.225,18.369
300.908,2.839	3.496,230.178
134.098,1.568	1.631,77.710
8.071,26.240
147.530,1.167	2.477,66.539
205.166,1.174	2.844,88.954
0.852,219.483
1.400,156.948
293.069,1.091	3.563,41.029
330.482,1.754
1.028,104.481
110.016,3.049	1.358,255.964
91.799,2.069	2.170,66.053
1.089,286.997
44.802,3.714	2.884,85.185
0.474,327.070
364.737,0.070	5.570,6.161
357.933,2.085
1.335,374.582
59.183,1.000	0.804,50.583
0.799,107.996
49.332,1.158	1.218,87.900
250.415,1.163	5.634,113.754
56.968,0.139
109.790,0.600	5.041,56.678
79.223,13.902	0.893,346.515
0.390,248.293
58.865,0.561	1.578,22.028
178.349,1.550	1.979,68.664
117.986,3.557	2.525,136.402
42.721,0.423	0.856,19.631
1.675,33.269
1.035,167.454
266.642,4.805	2.725,111.243
1.412,207.489
28.614,0.555	6.732,22.492
102.223,7.013	1.162,193.651
250.450,2.043
325.933,0.970	17.455,66.018
19.698,0.953	3.233,27.109
33.821,3.776	0.545,112.282
127.648,0.307	1.514,17.544
248.685,4.856	5.359,254.191
2.233,64.925
138.162,0.298
36.963,4.589	0.995,244.218
5.789,145.942
72.032,0.108
229.470,0.555	2.377,47.213
138.397,0.137
26.735,3.907	0.439,356.305
44.475,1.367	0.466,130.452
52.999,6.252	0.898,201.494
24.029,1.071	0.763,63.027
59.220,0.945	0.861,60.122
1.982,479.954
83.208,1.734	1.070,173.071
107.292,3.354	1.832,322.236
110.041,2.069	2.050,49.217
73.187,8.046	1.348,165.734
0.282,97.404
269.712,2.818	3.431,127.007
2.344,70.074
0.091,32.600
426.727,1.255
135.246,0.471	2.829,37.631
85.782,1.727	1.074,172.479
276.398,1.911	5.951,167.155
35.129,1.126	0.507,94.525
10.690,13.217
129.605,7.333
87.413,2.688	1.507,170.947
0.179,374.445
2.249,160.267
112.593,1.153	3.516,59.470
199.959,0.233	2.592,17.364
0.519,186.738
64.042,2.044	0.903,126.490
99.321,2.507	1.224,45.446
55.599,1.262	3.463,60.775
1.092,310.787
570.552,1.012	9.661,76.945
52.627,5.997	0.732,71.262
109.866,2.521	1.297,72.531
39.160,0.526	7.828,40.090
14.379,2.658	0.914,259.041
30.659,1.150	4.257,95.309
198.953,1.880
187.485,3.670	4.098,52.148
212.729,1.089	6.020,63.443
97.752,0.416	1.567,40.776
33.686,0.812	0.483,48.595
538.554,1.719
23.632,6.160
399.530,1.622	8.196,94.746
0.914,37.510
113.680,0.618	3.837,18.272
248.930,2.278	3.775,65.985
125.232,0.842	8.391,16.145
14.605,5.212	0.296,59.015
1.910,393.909
266.103,5.452	4.802,84.811
45.721,7.249	0.533,176.168
146.174,1.587	5.646,93.682
18.501,0.171	0.266,15.066
73.308,0.805	1.157,68.998
436.699,2.700	9.586,69.910
3.329,484.569
124.287,3.140
92.974,2.452	0.952,196.542
56.869,2.639	1.539,159.927
94.078,3.029	2.098,153.452
79.729,1.004	1.493,48.552
110.465,1.188	1.195,96.099
361.749,0.405
106.369,2.525	1.128,113.794
140.377,5.340	3.114,92.117
35.858,2.258	3.553,50.942
81.064,2.451	7.388,96.314
259.861,0.823	7.850,26.501
92.553,0.068
82.956,3.384	1.463,159.636
235.864,1.313	2.980,44.114
65.101,3.837	1.869,308.219
25.180,7.158	0.391,40.074
272.896,0.364	5.192,16.751
0.426,358.002
66.550,6.888	1.270,47.771
289.925,1.748	3.964,78.998
