Phase,RACIPE,DSGRN,JSD,Parameter,nState
01,0.017139976474542094,0,0.013746645626639596,Phase,2
01-10,0.9727776844227861,1,0.013746645626639596,Phase,2
10,0.01008233910267182,0,0.013746645626639596,Phase,2
Monostable,0.027222315577213912,0,0.013746645626639594,monoMulti,2
Multistable,0.9727776844227861,1,0.013746645626639594,monoMulti,2
1,0.027222315577213912,0,0.013746645626639594,nState,2
2,0.9727776844227861,1,0.013746645626639594,nState,2
00,0.005927389478883675,0.005927389478883675,0.0038398956013875143,Phase,1
00-10,2.469745616201531e-4,0,0.0038398956013875143,Phase,1
01,0.4993825635959496,0.5030871820202519,0.0038398956013875143,Phase,1
01-11,0.0037046184243022967,0,0.0038398956013875143,Phase,1
10,0.4089898740429736,0.412941467028896,0.0038398956013875143,Phase,1
10-11,0.0037046184243022967,0,0.0038398956013875143,Phase,1
11,0.07804396147196839,0.07804396147196839,0.0038398956013875143,Phase,1
Monostable,0.9923437885897752,1,0.003838717263560241,monoMulti,1
Multistable,0.007656211410224747,0,0.003838717263560241,monoMulti,1
1,0.9923437885897752,1,0.003838717263560241,nState,1
2,0.007656211410224747,0,0.003838717263560241,nState,1
