0.056,256.480
82.529,2.482
84.607,0.073
125.817,2.663
19.904,1.227	0.274,53.079
129.740,1.139	2.045,41.985
79.835,0.803	12.890,48.131
120.110,3.448	3.445,118.506
97.318,14.822
119.832,0.057
101.491,2.049	5.630,37.863
118.230,0.862	2.466,61.541
0.145,126.504
0.129,12.997
139.903,10.907	1.515,109.637
107.958,4.569
146.655,1.006	4.469,64.896
15.669,3.590	0.312,118.520
89.456,2.213	2.710,103.607
187.497,0.423
109.385,2.182	1.417,87.187
67.995,0.261
181.559,1.413	2.449,114.723
78.567,2.903	2.381,228.955
113.165,1.120	6.396,82.182
0.287,86.725
100.211,1.841	1.818,105.939
24.415,1.528
36.262,12.171	0.971,252.013
242.743,0.455	3.449,44.477
265.327,1.642	16.454,74.185
77.285,15.505	2.748,104.973
119.201,1.568	1.550,51.990
1.116,170.104
0.218,107.455
31.348,3.769
91.791,1.013	1.209,95.052
182.250,4.068	2.046,304.875
126.525,0.535	1.573,43.044
72.205,1.644	4.016,87.739
6.990,345.624
13.389,0.673
124.001,4.738	1.613,70.655
95.687,4.671	1.792,69.418
30.765,4.191	0.463,204.553
83.507,1.665	1.635,118.166
0.785,19.340
393.363,9.164	9.288,127.658
163.319,0.498	2.341,42.531
133.957,1.671	2.602,137.300
17.771,1.129	0.213,96.577
43.441,0.196	0.693,18.022
0.678,22.555
67.667,3.901	1.471,203.207
54.562,2.159	2.452,36.535
86.083,1.744	4.158,111.513
20.885,1.419	0.564,102.659
66.804,2.301	0.902,193.055
148.221,1.978	1.787,40.124
20.470,0.810	0.320,65.130
37.041,4.771	1.752,72.233
42.256,5.368	0.669,88.254
4.315,51.929
180.562,1.173	2.851,87.590
0.671,250.631
1.800,286.057
100.558,4.519	1.256,342.162
60.190,4.180	1.402,267.606
246.845,0.174
61.811,0.518	2.579,33.518
21.673,10.730	1.095,244.048
202.569,0.030
205.663,0.099
148.346,10.040	4.190,570.192
76.302,2.499
0.281,367.159
48.234,0.604	2.339,32.645
0.120,190.157
0.797,488.516
151.414,1.705	4.022,56.037
58.117,2.564	3.260,91.344
76.171,3.176	0.985,114.152
0.398,240.153
68.824,2.387	3.446,90.917
64.248,1.750
15.495,3.731	0.640,119.736
19.709,1.619	1.119,111.119
276.661,0.475	7.517,40.700
113.251,4.816	3.648,53.226
125.031,1.867	1.409,92.014
218.921,2.810
340.880,9.925
1.714,541.938
339.773,9.835	3.465,96.261
13.463,9.401
115.911,16.586	2.656,105.764
25.294,1.291	0.819,125.553
46.944,1.531	1.484,61.671
51.133,2.477	0.521,144.777
0.337,204.091
82.242,0.908	1.952,88.085
0.356,112.078
28.633,0.370	0.346,30.731
47.821,2.532	10.608,90.765
62.249,3.422	1.155,57.991
151.395,8.722	2.437,206.821
3.389,103.539
138.186,8.359	18.767,440.924
181.596,0.126
187.064,1.422	8.240,53.043
0.043,57.343
574.650,9.475
43.147,3.490	0.463,254.539
43.147,2.811	0.477,254.539
123.323,0.835	1.455,82.624
361.572,0.961	4.588,91.820
63.786,3.346	0.947,190.496
121.678,2.747	16.060,139.592
448.708,8.452	6.873,177.141
2.085,159.772
0.918,176.925
55.563,3.956	1.966,206.282
1.390,107.023
69.858,6.719
47.280,1.999	0.822,198.544
87.718,0.661	3.496,35.295
29.199,2.046	0.499,121.025
100.637,1.476	1.019,53.262
133.172,0.865	2.433,37.038
121.489,2.152	3.750,52.737
123.937,1.653	3.376,35.553
81.779,0.905	3.347,67.130
5.996,30.605
182.084,0.126
345.188,3.246	4.182,210.994
90.335,1.529	1.296,122.229
23.547,10.196
98.875,2.452	2.820,130.734
208.867,7.106	3.010,81.845
0.155,89.977
0.163,89.977
130.756,2.756	2.170,105.381
572.305,7.376
1.665,356.149
100.666,0.436	1.259,43.052
84.674,2.151
83.986,14.979	1.372,86.626
0.102,234.705
206.314,9.872	3.578,83.986
2.982,457.186
27.438,0.791	1.000,66.146
134.225,0.182
106.922,0.889	1.262,76.616
274.518,3.409	4.112,278.159
107.749,0.897	1.561,71.344
86.816,2.724	2.272,70.775
242.580,5.431	2.691,397.728
239.761,6.758	3.257,427.394
33.404,2.185	0.365,151.988
0.646,181.633
98.478,4.383	3.192,281.782
168.723,0.447
1.017,226.634
3.222,0.535	0.034,49.935
70.947,4.530	1.017,51.568
193.438,3.387
0.205,101.160
180.554,2.837	2.461,33.360
1.245,171.444
203.273,1.097	3.030,76.128
62.309,0.620	0.708,36.646
276.613,3.207	4.164,245.523
1.692,90.208
352.277,0.529
67.142,3.135	1.062,46.048
147.166,1.450	3.094,102.517
0.086,95.786
123.301,1.336	1.767,78.987
167.875,1.042
62.261,1.971	0.767,65.691
158.835,1.169	3.936,86.822
68.904,0.133
297.856,2.898
188.153,0.860	4.137,37.988
43.788,1.684	2.054,167.869
0.749,185.369
92.173,2.920	0.972,152.078
1.196,233.346
15.020,10.833	0.271,85.614
188.221,4.439
39.553,14.597	0.477,276.568
45.190,0.916	0.531,87.586
40.485,0.968	0.408,68.878
128.189,25.808	1.582,138.811
173.894,19.413	2.167,547.569
150.994,2.760	1.868,201.139
254.786,8.175	3.490,360.557
67.510,4.278	1.195,292.796
81.300,3.783	1.786,109.288
120.819,14.747	1.225,101.442
49.023,5.971	6.764,560.148
0.248,172.903
80.706,0.658	4.338,25.199
0.218,58.754
7.768,1.909	0.103,81.350
46.250,1.451	0.588,108.694
47.153,0.635	0.994,41.081
281.737,0.059
215.814,0.858
59.814,0.282	5.646,17.609
30.426,12.553	0.857,564.116
96.065,5.157	13.327,448.797
57.948,2.842	0.673,160.423
173.769,3.525	1.890,233.559
5.610,576.997
17.019,7.833	0.299,427.591
135.048,0.704	10.316,68.177
73.545,1.173	0.790,57.308
83.204,0.881	0.943,18.621
0.090,59.067
40.777,2.053	0.446,85.005
0.517,280.342
56.801,1.686	0.574,150.788
78.997,0.876	2.170,78.546
200.960,5.368
58.486,1.226	0.884,86.120
23.762,0.336	1.082,30.714
61.980,0.103	1.283,7.278
218.359,1.057	20.021,105.659
58.486,10.855	1.392,86.120
28.576,1.483	0.428,143.960
30.003,7.477	0.360,136.719
156.525,0.162
111.685,2.812	1.164,29.865
2.644,328.388
1.199,41.615
0.578,288.527
44.237,1.469	0.623,62.949
1.728,621.287
115.255,4.505	1.972,292.339
85.490,0.519	1.154,51.792
41.165,0.742	0.836,56.596
96.568,0.107	1.215,6.949
165.542,0.051
112.468,2.256	2.600,67.690
112.505,1.726	5.769,68.353
1.021,125.024
1.813,202.205
50.465,6.345
122.883,2.341	7.230,51.219
40.685,2.030	0.629,60.270
6.653,367.808
70.522,0.235
289.282,3.734	30.793,345.870
241.856,4.560	2.797,454.189
361.951,4.062	5.701,39.787
59.733,1.164	1.283,75.239
42.409,3.013	0.555,228.616
76.818,0.514
0.132,6.986
67.700,8.327
204.864,0.259	2.059,21.651
264.971,0.762	4.408,68.337
82.856,2.438	0.983,152.224
87.783,2.229
81.701,0.556	0.902,34.990
105.014,5.773	19.456,428.265
77.762,3.343	1.395,312.729
84.218,1.647	1.646,9.675
359.214,0.250
52.057,2.809	1.264,268.277
128.995,1.214	9.160,27.161
0.217,98.000
105.014,12.950	1.195,428.265
127.388,2.094
