Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.014119805196502161,0.0021184393684699743,2-11
monoMulti,2,0.1660933148469381,0.0032020889639831056,2-11
nState,1,0.014119805196502161,0.0021184393684699743,2-11
nState,2,0.1660933148469381,0.0032020889639831056,2-11
Phase,1,0.014290592082067918,0.0022002778286758368,2-11
Phase,2,0.1664085290004725,0.0033187123550425064,2-11
monoMulti,1,0.017155418392873177,0.0014000290564638888,7-16
monoMulti,2,0.04893353654944398,0.001098619797532314,7-16
nState,1,0.017155418392873177,0.0014000290564638888,7-16
nState,2,0.04893353654944398,0.001098619797532314,7-16
Phase,1,0.0171853747816895,0.00140012507703456,7-16
Phase,2,0.048962601943626,0.0010483267620337482,7-16
monoMulti,1,0.014086938676622746,0.0018926946112305008,12-21
monoMulti,2,0.031560207373893104,0.001143457118437444,12-21
nState,1,0.014086938676622746,0.0018926946112305008,12-21
nState,2,0.031560207373893104,0.001143457118437444,12-21
Phase,1,0.014099122965945541,0.0018924775547650033,12-21
Phase,2,0.031588144316363385,0.0011047281252985844,12-21
monoMulti,1,0.01262907207694701,0.0010911304498561567,17-26
monoMulti,2,0.02468188786962834,3.7189578597334626e-4,17-26
nState,1,0.01262907207694701,0.0010911304498561567,17-26
nState,2,0.02468188786962834,3.7189578597334626e-4,17-26
Phase,1,0.012640383912554157,0.0010925769487857525,17-26
Phase,2,0.024681887869628345,3.7189578597334654e-4,17-26
monoMulti,1,0.011600214844917687,0.002615285720792,22-31
monoMulti,2,0.02209058216641958,0.0019637852606492275,22-31
nState,1,0.011600214844917687,0.002615285720792,22-31
nState,2,0.02209058216641958,0.0019637852606492275,22-31
Phase,1,0.011610325440444358,0.002619621697703996,22-31
Phase,2,0.022090582166419584,0.001963785260649224,22-31
monoMulti,1,0.011810766763843133,0.0011937177192292041,27-36
monoMulti,2,0.019887242574644696,5.120720832784804e-4,27-36
nState,1,0.011810766763843133,0.0011937177192292041,27-36
nState,2,0.019887242574644696,5.120720832784804e-4,27-36
Phase,1,0.011820516224705877,0.0011951925839089486,27-36
Phase,2,0.019887242574644696,5.120720832784804e-4,27-36
monoMulti,1,0.008832962356890453,4.471170264731638e-4,32-41
monoMulti,2,0.019921531130811587,5.256260768569177e-4,32-41
nState,1,0.008832962356890453,4.471170264731638e-4,32-41
nState,2,0.019921531130811587,5.256260768569177e-4,32-41
Phase,1,0.00884006810722148,4.4752799206249235e-4,32-41
Phase,2,0.019921531130811587,5.256260768569177e-4,32-41
monoMulti,1,0.008215915532614946,0.0012599671957336572,37-46
monoMulti,2,0.018323295447145525,5.410721262646682e-4,37-46
nState,1,0.008215915532614946,0.0012599671957336572,37-46
nState,2,0.018323295447145525,5.410721262646682e-4,37-46
Phase,1,0.008221388566726183,0.0012621396418237862,37-46
Phase,2,0.018323295447145525,5.410721262646682e-4,37-46
monoMulti,1,0.008277297788342337,3.430188522904213e-4,42-51
monoMulti,2,0.016442011199708572,6.754039819090298e-4,42-51
nState,1,0.008277297788342337,3.430188522904213e-4,42-51
nState,2,0.016442011199708572,6.754039819090298e-4,42-51
Phase,1,0.008281857966685624,3.435457756031377e-4,42-51
Phase,2,0.016442011199708572,6.754039819090298e-4,42-51
monoMulti,1,0.007254417580626793,0.0014158217183505963,47-56
monoMulti,2,0.018310486445088335,8.782342665379472e-4,47-56
nState,1,0.007254417580626793,0.0014158217183505963,47-56
nState,2,0.018310486445088335,8.782342665379472e-4,47-56
Phase,1,0.007258383832623977,0.0014171670684569276,47-56
Phase,2,0.018310486445088335,8.782342665379472e-4,47-56
monoMulti,1,0.006964467701187293,8.336810772355773e-4,52-61
monoMulti,2,0.016928972772869602,9.848286588286057e-4,52-61
nState,1,0.006964467701187293,8.336810772355773e-4,52-61
nState,2,0.016928972772869602,9.848286588286057e-4,52-61
Phase,1,0.0069715568933541,8.330194160738038e-4,52-61
Phase,2,0.016928972772869602,9.848286588286057e-4,52-61
