Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
00,0.0086,0.0093,0.0101,0.009333333333333332,7.505553499465134e-4,1,1
00-01,0.0025,0.0033,0.0032,0.003,4.358898943540674e-4,1,2
00-01-10-11,0.0015,5e-4,8e-4,9.333333333333333e-4,5.131601439446884e-4,1,4
00-01-20,0.023,0.023,0.0222,0.022733333333333335,4.618802153516998e-4,1,3
00-01-20-21,4e-4,0.001,2e-4,5.333333333333334e-4,4.1633319989322655e-4,1,4
00-02,0.0656,0.0668,0.0633,0.06523333333333334,0.0017785762095938824,1,2
00-02-10,0.0211,0.0216,0.0233,0.022000000000000002,0.0011532562594670798,1,3
00-02-10-12,4e-4,5e-4,6e-4,5e-4,9.999999999999996e-5,1,4
00-02-12-20,0.0164,0.0182,0.0158,0.016800000000000002,0.0012489995996796794,1,4
00-02-12-20-21,5e-4,7e-4,6e-4,6e-4,9.999999999999999e-5,1,5
00-02-20,0.4384,0.4264,0.439,0.4346,0.007107742257566747,1,3
00-02-20-21,0.018,0.0183,0.017,0.017766666666666667,6.806859285554038e-4,1,4
00-02-20-22,0.0012,0.0018,8e-4,0.0012666666666666666,5.033222956847166e-4,1,4
00-10,0.003,0.0035,0.004,0.0035,5e-4,1,2
00-20,0.0639,0.0619,0.0604,0.062066666666666666,0.0017559422921421214,1,2
01,1e-4,4e-4,1e-4,2e-4,1.7320508075688773e-4,1,1
01-02,0.0086,0.0079,0.008,0.008166666666666668,3.7859388972001797e-4,1,2
01-02-10-20,0.0042,0.0041,0.0039,0.004066666666666666,1.5275252316519468e-4,1,4
01-02-11-12,4e-4,NA,NA,NA,NA,1,4
01-02-11-12-20,0.0038,0.0037,0.0042,0.0039,2.645751311064588e-4,1,5
01-02-20,0.0445,0.0466,0.043,0.0447,0.0018083141320025156,1,3
01-02-20-22,1e-4,2e-4,6e-4,3e-4,2.6457513110645904e-4,1,4
01-02-21-22,1e-4,NA,NA,NA,NA,1,4
01-20,7e-4,0.0016,0.0016,0.0013,5.196152422706632e-4,1,2
02,0.0196,0.0204,0.0191,0.0197,6.557438524302014e-4,1,1
02-10,6e-4,0.0015,9e-4,0.001,4.5825756949558405e-4,1,2
02-10-11-20-21,0.0047,0.0037,0.0041,0.004166666666666667,5.033222956847167e-4,1,5
02-10-12,1e-4,NA,NA,NA,NA,1,3
02-10-20,0.046,0.0488,0.044,0.046266666666666664,0.002411085509336686,1,3
02-10-20-22,2e-4,2e-4,2e-4,2e-4,0,1,4
02-12,5e-4,3e-4,6e-4,4.6666666666666666e-4,1.5275252316519465e-4,1,2
02-12-20,0.0293,0.0296,0.0287,0.0292,4.5825756949558464e-4,1,3
02-12-20-21,0.003,0.0029,0.0028,0.0029,1.0000000000000005e-4,1,4
02-12-21,2e-4,NA,1e-4,NA,NA,1,3
02-20,0.10780000000000001,0.1071,0.109,0.10796666666666667,9.609023536933038e-4,1,2
02-20-21,0.0271,0.0305,0.032,0.029866666666666666,0.0025106440076867404,1,3
02-20-22,9e-4,0.0016,0.0015,0.0013333333333333333,3.785938897200183e-4,1,3
02-21,0.0012,9e-4,8e-4,9.666666666666667e-4,2.081665999466132e-4,1,2
02-21-22,1e-4,1e-4,NA,NA,NA,1,3
02-22,2e-4,NA,3e-4,NA,NA,1,2
10,4e-4,2e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,1,1
10-11-20-21,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1,4
10-12-20-22,1e-4,NA,1e-4,NA,NA,1,4
10-20,0.0086,0.0102,0.0091,0.009300000000000001,8.185352771872454e-4,1,2
11,1e-4,NA,NA,NA,NA,1,1
11-12-20,2e-4,NA,1e-4,NA,NA,1,3
12,1e-4,NA,NA,NA,NA,1,1
12-20,8e-4,0.0011,0.001,9.666666666666667e-4,1.5275252316519468e-4,1,2
20,0.0205,0.0179,0.0209,0.019766666666666665,0.0016289055630494156,1,1
20-21,3e-4,8e-4,8e-4,6.333333333333334e-4,2.886751345948129e-4,1,2
20-22,2e-4,NA,2e-4,NA,NA,1,2
01-02-10-20-22,NA,2e-4,NA,NA,NA,1,5
01-21,NA,1e-4,NA,NA,NA,1,2
02-10-11,NA,1e-4,NA,NA,NA,1,3
02-11-21,NA,1e-4,NA,NA,NA,1,3
10-11,NA,1e-4,NA,NA,NA,1,2
01-02-10,NA,NA,1e-4,NA,NA,1,3
01-02-21,NA,NA,1e-4,NA,NA,1,3
01-11-20,NA,NA,2e-4,NA,NA,1,3
01-20-21,NA,NA,1e-4,NA,NA,1,3
10-12-20,NA,NA,1e-4,NA,NA,1,3
11-12,NA,NA,1e-4,NA,NA,1,2
00,0.0053,0.0045,0.004,0.0046,6.557438524302001e-4,1-3,1
00-01,0.001,0.0015,0.0015,0.0013333333333333333,2.886751345948129e-4,1-3,2
00-01-10-11,3e-4,2e-4,7e-4,3.9999999999999996e-4,2.6457513110645904e-4,1-3,4
00-01-20,0.0178,0.0147,0.0144,0.015633333333333332,0.0018823743871327334,1-3,3
00-01-20-21,1e-4,6e-4,4e-4,3.6666666666666667e-4,2.516611478423583e-4,1-3,4
00-02,0.046,0.0434,0.0493,0.046233333333333335,0.00295691280448601,1-3,2
00-02-10,0.0158,0.0166,0.0163,0.016233333333333332,4.0414518843273715e-4,1-3,3
00-02-10-12,5e-4,7e-4,4e-4,5.333333333333334e-4,1.5275252316519465e-4,1-3,4
00-02-12-20,0.0172,0.0183,0.0167,0.0174,8.185352771872454e-4,1-3,4
00-02-12-20-21,6e-4,8e-4,8e-4,7.333333333333333e-4,1.1547005383792521e-4,1-3,5
00-02-20,0.4168,0.4339,0.4247,0.42513333333333336,0.00855823190462454,1-3,3
00-02-20-21,0.0186,0.0193,0.0179,0.0186,7.00000000000001e-4,1-3,4
00-02-20-22,0.0013,0.0017,0.0012,0.0014,2.6457513110645904e-4,1-3,4
00-10,0.0022,0.0018,0.0019,0.001966666666666667,2.0816659994661336e-4,1-3,2
00-20,0.0411,0.0421,0.0415,0.04156666666666667,5.033222956847168e-4,1-3,2
01,1e-4,NA,4e-4,NA,NA,1-3,1
01-02,0.0083,0.0092,0.0078,0.008433333333333333,7.094598884597588e-4,1-3,2
01-02-10,1e-4,NA,1e-4,NA,NA,1-3,3
01-02-10-20,0.0062,0.0065,0.0065,0.0063999999999999994,1.7320508075688767e-4,1-3,4
01-02-10-20-22,1e-4,1e-4,NA,NA,NA,1-3,5
01-02-11-12,2e-4,2e-4,4e-4,2.666666666666667e-4,1.1547005383792516e-4,1-3,4
01-02-11-12-20,0.0052,0.0043,0.0061,0.0052,9.000000000000002e-4,1-3,5
01-02-20,0.057,0.0554,0.0524,0.054933333333333334,0.0023352373184182653,1-3,3
01-02-20-22,3e-4,4e-4,4e-4,3.6666666666666667e-4,5.7735026918962605e-5,1-3,4
01-02-21,1e-4,NA,NA,NA,NA,1-3,3
01-02-21-22,1e-4,1e-4,1e-4,1e-4,0,1-3,4
01-10-20,1e-4,NA,NA,NA,NA,1-3,3
01-11-20,1e-4,1e-4,NA,NA,NA,1-3,3
01-20,0.001,7e-4,0.001,9e-4,1.7320508075688773e-4,1-3,2
01-20-21,1e-4,1e-4,NA,NA,NA,1-3,3
02,0.0205,0.019,0.0206,0.020033333333333334,8.962886439832507e-4,1-3,1
02-10,0.0011,0.0016,8e-4,0.0011666666666666668,4.0414518843273807e-4,1-3,2
02-10-11-20-21,0.0057,0.0049,0.0055,0.005366666666666666,4.1633319989322666e-4,1-3,5
02-10-20,0.0517,0.0525,0.0577,0.05396666666666667,0.0032578111260988312,1-3,3
02-10-20-22,5e-4,6e-4,5e-4,5.333333333333334e-4,5.7735026918962544e-5,1-3,4
02-11-21,1e-4,1e-4,1e-4,1e-4,0,1-3,3
02-12,8e-4,7e-4,0.0011,8.666666666666667e-4,2.081665999466133e-4,1-3,2
02-12-20,0.0387,0.0397,0.0381,0.03883333333333333,8.082903768654749e-4,1-3,3
02-12-20-21,0.0049,0.0046,0.0036,0.004366666666666666,6.806859285554045e-4,1-3,4
02-12-21,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-3,3
02-20,0.1351,0.1293,0.1359,0.13343333333333332,0.0036018513757973577,1-3,2
02-20-21,0.042,0.0356,0.0386,0.038733333333333335,0.0032020826556060887,1-3,3
02-20-22,0.0021,0.0024,0.0024,0.0023,1.7320508075688767e-4,1-3,3
02-21,0.001,0.002,9e-4,0.0013,6.08276253029822e-4,1-3,2
02-22,5e-4,3e-4,4e-4,4e-4,1.0000000000000002e-4,1-3,2
10,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-3,1
10-11-20-21,1e-4,1e-4,1e-4,1e-4,0,1-3,4
10-20,0.0077,0.0083,0.0059,0.0073,0.0012489995996796798,1-3,2
11-12-20,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-3,3
12-20,0.0012,0.0012,0.0014,0.0012666666666666666,1.1547005383792521e-4,1-3,2
12-20-21,3e-4,1e-4,NA,NA,NA,1-3,3
12-20-22,2e-4,4e-4,NA,NA,NA,1-3,3
20,0.0209,0.0173,0.0174,0.018533333333333332,0.0020502032419575703,1-3,1
20-21,7e-4,7e-4,6e-4,6.666666666666666e-4,5.7735026918962605e-5,1-3,2
20-22,2e-4,3e-4,4e-4,3.0000000000000003e-4,1e-4,1-3,2
02-10-12,NA,4e-4,NA,NA,NA,1-3,3
02-21-22,NA,1e-4,3e-4,NA,NA,1-3,3
12,NA,1e-4,NA,NA,NA,1-3,1
12-22,NA,1e-4,NA,NA,NA,1-3,2
10-11,NA,NA,1e-4,NA,NA,1-3,2
10-12-20-22,NA,NA,1e-4,NA,NA,1-3,4
11-12,NA,NA,1e-4,NA,NA,1-3,2
00,0.0029,0.003,0.0028,0.0029,1.0000000000000005e-4,2-3,1
00-01,6e-4,0.001,0.0015,0.0010333333333333334,4.509249752822895e-4,2-3,2
00-01-10-11,6e-4,3e-4,3e-4,3.9999999999999996e-4,1.7320508075688773e-4,2-3,4
00-01-20,0.0128,0.0153,0.0125,0.013533333333333333,0.0015373136743466933,2-3,3
00-01-20-21,5e-4,7e-4,4e-4,5.333333333333334e-4,1.5275252316519465e-4,2-3,4
00-02,0.0323,0.0342,0.0321,0.03286666666666667,0.0011590225767142486,2-3,2
00-02-10,0.0114,0.0137,0.0107,0.011933333333333334,0.0015695009822658075,2-3,3
00-02-10-12,3e-4,4e-4,6e-4,4.333333333333333e-4,1.5275252316519465e-4,2-3,4
00-02-12-20,0.0172,0.0174,0.0187,0.017766666666666667,8.144527815247088e-4,2-3,4
00-02-12-20-21,6e-4,7e-4,2e-4,5e-4,2.6457513110645904e-4,2-3,5
00-02-20,0.4003,0.3996,0.3901,0.39666666666666667,0.005697660338536627,2-3,3
00-02-20-21,0.016,0.0183,0.0194,0.0179,0.0017349351572897474,2-3,4
00-02-20-22,0.0025,0.0015,0.003,0.0023333333333333335,7.637626158259734e-4,2-3,4
00-10,9e-4,0.001,6e-4,8.333333333333333e-4,2.081665999466133e-4,2-3,2
00-20,0.0339,0.0322,0.035,0.0337,0.0014106735979665902,2-3,2
01-02,0.0079,0.0088,0.0077,0.008133333333333334,5.859465277082316e-4,2-3,2
01-02-10-20,0.0055,0.0061,0.0075,0.006366666666666666,0.0010263202878893767,2-3,4
01-02-10-20-22,1e-4,NA,3e-4,NA,NA,2-3,5
01-02-11-12,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,2-3,4
01-02-11-12-20,0.0085,0.0082,0.0065,0.007733333333333333,0.0010785793124908963,2-3,5
