Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
00,8e-4,8e-4,0.0011,9.000000000000001e-4,1.7320508075688773e-4,1-10,1
00-01,2e-4,5e-4,3e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,2
00-01-10-11,2e-4,NA,1e-4,NA,NA,1-10,4
00-01-20,0.0053,0.0062,0.0059,0.0058,4.582575694955839e-4,1-10,3
00-01-20-21,1e-4,NA,1e-4,NA,NA,1-10,4
00-02,0.0167,0.0133,0.0155,0.015166666666666667,0.0017243356208503419,1-10,2
00-02-10,0.0054,0.0052,0.0065,0.0057,6.999999999999998e-4,1-10,3
00-02-10-12,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,4
00-02-12-20,0.0137,0.0145,0.0147,0.0143,5.291502622129179e-4,1-10,4
00-02-12-20-21,0.0015,0.0016,7e-4,0.0012666666666666668,4.932882862316248e-4,1-10,5
00-02-20,0.2948,0.3038,0.3046,0.30106666666666665,0.005441813423237999,1-10,3
00-02-20-21,0.0148,0.0156,0.0172,0.015866666666666668,0.0012220201853215572,1-10,4
00-02-20-22,0.003,0.0039,0.0039,0.0036,5.19615242270663e-4,1-10,4
00-10,5e-4,2e-4,3e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,2
00-20,0.0147,0.0157,0.0158,0.0154,6.082762530298224e-4,1-10,2
01-02,0.0056,0.005,0.0051,0.005233333333333334,3.2145502536643167e-4,1-10,2
01-02-10-20,0.0117,0.0094,0.0082,0.009766666666666667,0.0017785762095938798,1-10,4
01-02-10-20-22,2e-4,2e-4,4e-4,2.666666666666667e-4,1.1547005383792516e-4,1-10,5
01-02-11-12,4e-4,6e-4,3e-4,4.333333333333333e-4,1.5275252316519465e-4,1-10,4
01-02-11-12-20,0.0119,0.0112,0.0096,0.0109,0.0011789826122551605,1-10,5
01-02-20,0.0743,0.0741,0.0683,0.07223333333333333,0.00340783411176855,1-10,3
01-02-20-22,0.0018,0.0019,0.0023,0.002,2.6457513110645904e-4,1-10,4
01-02-21,2e-4,NA,NA,NA,NA,1-10,3
01-02-21-22,4e-4,3e-4,3e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,4
01-11,1e-4,NA,NA,NA,NA,1-10,2
01-20,5e-4,6e-4,4e-4,5e-4,9.999999999999996e-5,1-10,2
02,0.0222,0.0214,0.025,0.022866666666666667,0.0018903262505010445,1-10,1
02-10,4e-4,2e-4,4e-4,3.333333333333334e-4,1.1547005383792516e-4,1-10,2
02-10-11-20-21,0.0104,0.0118,0.0106,0.010933333333333333,7.571877794400365e-4,1-10,5
02-10-20,0.0731,0.0746,0.0753,0.07433333333333333,0.0011239810200058277,1-10,3
02-10-20-22,0.0032,0.003,0.0025,0.0029000000000000002,3.60555127546399e-4,1-10,4
02-12,0.0024,0.0016,0.0026,0.0021999999999999997,5.29150262212918e-4,1-10,2
02-12-20,0.058,0.0605,0.0598,0.05943333333333333,0.0012897028081435378,1-10,3
02-12-20-21,0.0125,0.0096,0.0103,0.0108,0.0015132745950421564,1-10,4
02-12-21,6e-4,2e-4,1e-4,3e-4,2.6457513110645904e-4,1-10,3
