Phase,Count,Frequency
00,1,1e-4
00-01,1,1e-4
00-01-02-20,1,1e-4
00-01-20,8,8e-4
00-02,39,0.0039
00-02-10,7,7e-4
00-02-12-20,15,0.0015
00-02-20,984,0.0984
00-02-20-21,14,0.0014
00-02-20-22,17,0.0017
00-20,33,0.0033
01-02,22,0.0022
01-02-10-20,43,0.0043
01-02-11,1,1e-4
01-02-11-12,1,1e-4
01-02-11-12-20,28,0.0028
01-02-11-12-21,1,1e-4
01-02-11-20,1,1e-4
01-02-12-20,19,0.0019
01-02-20,409,0.0409
01-02-20-21-22,2,2e-4
01-02-20-22,33,0.0033
01-02-21,2,2e-4
01-11-12-20,1,1e-4
01-11-20,1,1e-4
01-20,4,4e-4
01-20-22,1,1e-4
02,461,0.0461
02-10,3,3e-4
02-10-11-20,2,2e-4
02-10-11-20-21,26,0.0026
02-10-11-21,3,3e-4
02-10-20,436,0.0436
02-10-20-21,14,0.0014
02-10-20-22,29,0.0029
02-10-21,4,4e-4
02-11-12-20,1,1e-4
02-11-20,5,5e-4
02-11-20-21,1,1e-4
02-11-21,4,4e-4
02-12,48,0.0048
02-12-20,553,0.0553
02-12-20-21,56,0.0056
02-12-20-22,15,0.0015
02-12-21,18,0.0018
02-12-22,3,3e-4
02-20,4189,0.4189
02-20-21,539,0.053900000000000003
02-20-21-22,17,0.0017
02-20-22,750,0.075
02-21,130,0.013
02-21-22,29,0.0029
02-22,124,0.0124
10-12-20,2,2e-4
10-12-20-22,6,6e-4
10-20,12,0.0012
11-12-20,7,7e-4
12,10,0.001
12-20,146,0.0146
12-20-21,13,0.0013
12-20-22,31,0.0031
12-21,1,1e-4
12-21-22,2,2e-4
12-22,10,0.001
20,423,0.0423
20-21,37,0.0037
20-21-22,3,3e-4
20-22,118,0.0118
21,8,8e-4
21-22,6,6e-4
22,16,0.0016
