0.845,4.913	62.832,0.502	62.832,14.178	0.010,138.692
2.762,0.156	89.756,0.002
1.028,2.094	0.027,208.759
1.125,0.126	86.363,0.002
0.910,1.251	90.690,0.050	0.031,97.136
0.480,4.366	0.005,219.106
1.513,0.416	113.688,0.006	0.020,26.993
2.340,0.175	79.805,0.003
0.406,1.213	38.549,0.449	0.009,110.817
3.213,1.829	98.437,0.133	0.077,52.067
81.268,0.021	0.317,85.089
0.193,0.856	0.003,64.810
0.182,0.752	9.113,0.752
1.404,2.626	45.787,0.047	0.033,33.782
0.415,3.712	29.264,0.061	0.017,261.979
0.700,2.443	28.374,0.179	0.010,199.992
1.398,0.203	111.312,0.005
1.749,1.570	163.165,0.022	0.025,146.451
2.206,2.236	28.374,0.033	0.162,199.992
5.036,0.069	84.571,0.069
1.599,2.291	64.810,0.168	64.810,6.642	0.023,90.690
1.637,1.192	64.810,0.016	0.021,90.690
3.952,4.366	49.068,0.352	49.068,16.621	0.139,206.359
12.956,0.014	299.012,0.014	0.240,91.958
4.481,1.018	64.810,0.013	0.135,90.690
128.426,0.065	0.178,165.877
1.976,3.250	147.876,0.093	0.036,52.044
21.023,0.026	532.126,0.026	0.307,112.937
0.475,4.430	31.197,4.430	0.008,89.370
4.470,0.275	233.442,0.003	0.442,18.211
11.682,1.475	156.613,0.050	2.003,65.103
5.004,0.739	343.437,0.011	0.051,58.761
1.154,0.911	105.105,0.017	0.014,88.872
1.863,0.557	15.689,0.557	0.024,39.882
84.338,0.080	0.036,7.220	0.036,91.600
5.702,1.042	67.511,0.400	0.109,73.125
0.027,1.376	0.002,115.664
81.494,0.029	0.318,39.150
192.182,0.020	0.267,126.128	6.386,126.128
0.340,1.091	33.059,0.017	0.030,105.289
0.533,2.423	50.587,0.043	0.034,182.481
440.501,0.059	0.394,33.382
269.506,0.041	0.416,78.364
6.638,10.051	107.169,0.176	0.073,137.924
9.994,4.832	526.559,0.073	0.425,76.350
90.107,1.280	0.061,561.591
164.510,0.424	2.067,74.907
0.626,0.961	17.496,0.961	0.011,29.986
4.126,1.541	56.332,0.019	0.102,72.977
2.001,5.479	141.777,0.060
9.621,0.704	119.699,0.018
0.349,8.739	33.340,0.140	0.019,372.348
156.365,0.406	156.365,4.317	0.048,27.975
10.036,0.057	225.311,0.057	0.127,116.424
54.674,0.072	0.056,102.399
92.517,0.052	0.100,138.138
0.093,337.223
3.129,2.756	115.022,0.761	1.272,51.132
0.887,0.551	74.994,0.008	0.011,53.165
120.300,0.022	0.018,1.848	0.018,100.880
120.487,2.089	0.127,199.135
24.339,0.008	247.935,0.008	3.465,50.036
588.494,0.007
0.017,10.021	0.017,18.391
1.851,0.210	71.521,0.004
154.529,0.036	0.794,135.494
1.384,3.774	59.038,0.047	0.042,223.562
3.472,4.903	133.252,0.064	0.040,82.849
0.892,0.430	36.497,0.015	0.019,19.854
114.258,0.013	0.037,32.496	1.762,32.496
2.255,0.658	89.183,0.043	0.034,57.385
0.001,2.899	0.001,163.221
100.133,1.121	100.133,22.008	0.204,317.733
1.607,1.005	78.081,0.016	0.027,96.511
1.303,0.839	59.219,0.010	0.101,56.332
