1.044,1.671	0.013,114.803
0.163,1.201	0.014,106.276
0.003,1.657	0.003,81.143
0.011,81.143
13.539,0.017	121.519,0.017	2.913,86.217
0.019,27.130	0.019,88.361
1.001,0.952	44.710,0.021	0.041,95.085
0.365,0.598	0.365,17.062
0.261,1.399	0.003,137.377
1.340,1.216	51.015,0.254	51.015,22.828	0.014,109.451
0.804,2.133	76.743,0.063	0.804,19.650
104.277,0.028	2.500,2.169	22.437,2.169	2.500,116.451	22.437,116.451
2.761,1.091	136.400,0.941	0.040,58.320
99.001,0.209	0.162,96.278	7.840,4.382
0.399,0.764	0.014,70.646
2.309,0.248	165.717,0.004	2.309,23.078
91.946,0.206	91.946,10.995
0.858,10.006	65.336,0.340	0.058,97.608
153.180,0.360	0.652,86.878	26.289,86.878
35.672,0.015	0.143,16.723
1.001,8.754	98.934,0.091	0.158,61.952
3.419,0.660	290.214,0.029	1.164,38.230
0.179,0.733	0.002,53.997
1.137,0.347	59.081,0.005	0.013,33.803
2.141,7.748	31.219,7.748	0.030,137.989
4.813,3.649	151.403,0.325	0.155,212.161
1.094,2.701	75.150,0.053	0.023,119.556
138.561,0.012	1.406,68.844
291.949,0.017	0.312,57.818
6.778,1.881	573.958,0.023	3.032,128.129
1.168,5.212	91.168,0.284	91.168,20.622	0.017,378.800
41.051,1.467	0.170,424.223
87.085,0.172	0.014,5.724	0.014,82.300
0.873,8.078	0.010,55.291
0.216,3.933	0.009,49.206
0.796,0.807	58.654,0.013	0.026,53.581
3.150,0.009	311.285,0.009
0.088,0.526
199.642,2.199	0.697,129.953	5.335,129.953
0.231,0.609	22.150,0.008	0.003,50.616
3.008,6.594	165.849,0.452	0.137,107.887
13.062,6.099	405.950,0.063	0.420,93.400
0.826,4.421	41.009,0.078	0.010,311.717
186.204,0.008	0.153,56.173
136.291,0.261	136.291,1.848	0.218,178.386
4.705,2.963	220.043,0.468	220.043,21.906	0.096,138.561
89.910,0.347	89.910,2.711	0.300,236.974	4.899,236.974
1.807,0.957	172.324,0.011	0.401,66.269
46.742,0.035	0.030,85.081
0.191,0.691	14.413,0.011	0.010,63.320
1.009,3.404	97.777,0.057	0.022,101.577
4.508,14.173	79.569,0.317	0.989,269.944	17.452,269.944
138.626,0.399	0.068,19.532	3.464,19.532	0.068,138.230	3.464,138.230
1.163,0.373	81.855,0.013	0.016,34.444
4.941,1.957	78.085,0.032	0.067,189.345
0.890,0.736	60.644,0.014	0.030,65.330
55.957,0.021	0.103,1.219	0.103,117.118
35.672,0.004	0.623,16.723
1.157,5.065	89.185,0.140	0.012,93.177
173.912,0.108
136.428,0.110	0.023,65.732
2.709,0.227	121.120,0.004	2.709,10.750
7.696,0.671	337.974,0.671	0.091,16.416	0.091,31.851
183.582,0.096	0.035,98.529	3.366,98.529
4.895,2.232	139.896,0.092	139.896,4.951	0.051,120.124
5.781,3.101	162.026,0.048	0.107,128.380
5.584,0.323	119.692,0.006	0.061,26.922
101.045,0.030	0.675,97.398
264.318,0.094	264.318,4.084
0.805,1.030	74.263,0.021	0.053,73.079
99.717,0.028	0.217,97.898	4.539,97.898
4.607,3.360	267.859,0.114	0.410,93.706	23.820,93.706
2.212,0.784	190.490,0.013	0.045,75.244
30.200,0.089	0.117,49.419
4.468,0.289	172.496,0.289	0.068,51.089
21.828,1.160	245.446,0.078	0.357,114.388
3.349,2.712	163.613,0.142	0.149,239.733
0.415,0.250	36.484,0.004
0.033,115.929
8.312,0.544	398.577,0.008
0.779,0.969	62.585,0.012	0.017,71.854
68.071,0.062	68.071,1.340	0.012,90.783
0.605,1.949	53.868,0.030	0.012,174.699
2.613,1.096	193.527,0.144
0.624,7.442	40.828,0.241	0.007,102.247
1.537,1.697	92.546,0.023	0.133,110.221
2.373,0.583	172.074,0.009	0.031,54.132
492.331,0.089	492.331,5.529	0.436,283.512
748.494,0.037	0.723,135.139
0.849,0.447	55.083,0.006	0.010,22.948
106.042,0.049	0.561,25.400
4.895,0.050	105.717,0.003
0.467,2.661	36.035,0.161	0.421,61.313
2.429,0.370	121.374,0.006	0.033,34.826
4.950,4.015	178.526,0.069	0.061,327.604
1.890,0.147	88.267,0.147	0.031,243.963
7.573,0.673	105.225,0.010	0.206,33.886
1.845,4.711	149.228,0.099	0.078,182.844
34.185,0.120	34.185,6.646	0.164,99.598
8.548,1.730	497.727,0.029	0.654,56.485
0.762,0.949	35.665,0.024
0.176,2.013	15.197,0.122	0.003,171.453
67.502,1.873	0.021,291.189
7.510,0.013	349.876,0.013	0.312,83.355
354.672,0.063
3.601,2.254	111.182,0.035	0.091,144.538
0.692,1.925	67.350,0.051	0.111,115.817	10.775,115.817
0.933,1.543	59.373,0.159	0.042,121.121
4.506,9.050	427.966,0.134	0.055,879.259
3.319,2.744	323.506,0.043	0.351,133.488
6.458,0.412	136.972,0.014	0.546,20.582
2.142,2.270	43.547,0.023	0.072,87.124
0.230,61.687	6.408,61.687
0.831,0.223	41.920,0.012
30.934,0.016	0.222,94.588	1.342,94.588
111.992,2.153	0.457,22.850	0.457,126.473
0.923,0.907	86.023,0.010	0.029,60.575
0.526,2.122	43.188,0.040	0.013,85.101
1.386,0.550	58.739,0.224
1.983,6.296	89.808,0.323	0.048,130.745
2.014,2.561	126.695,0.064	0.080,42.665
5.835,3.161	129.855,0.042	0.316,129.097	7.032,129.097
0.498,0.660	21.924,0.011	0.009,52.286
2.847,0.646	263.023,0.035	0.052,57.110
104.890,0.118	1.064,675.373
8.447,0.463	163.363,0.006
311.710,0.014	4.035,58.359
235.300,0.153	0.058,257.131
6.848,2.069	87.641,0.195	0.187,74.968
87.992,0.047	0.602,112.130
0.852,0.789	29.784,0.011	0.852,21.305
0.676,0.327	30.953,0.327	0.007,30.052
699.859,0.039	0.359,138.693
1.675,1.782	109.337,0.020	0.019,109.652
0.208,0.953	11.854,0.953	0.007,54.218
6.204,0.008	126.822,0.008	0.114,50.133
187.165,2.645	0.702,4.053	0.702,74.067	27.574,48.334
1.109,5.208	101.257,0.177	0.018,349.179
0.789,1.414	30.352,0.024	0.025,129.155
6.370,1.500	207.245,0.087	1.123,109.599
14.535,4.451	295.462,0.045	0.486,170.812
6.097,0.015	393.155,0.015	0.176,95.095
24.667,0.078	0.005,6.423	0.005,601.458
9.393,0.014	146.600,0.014	0.189,59.997
107.133,0.115	0.017,3.975	0.017,153.749
183.795,0.003
3.158,0.456	198.549,0.010	0.069,35.820
0.428,0.508	0.006,35.886
395.195,5.420	6.048,63.707
0.879,1.832	59.797,0.064	0.035,52.341
0.763,1.550	43.014,0.026
0.093,1.724	0.001,108.804
2.411,4.667	40.873,0.082	0.027,122.677
0.624,0.237	34.839,0.020	0.010,9.219
7.505,0.989	164.092,0.015	0.127,56.970
33.690,0.079	33.690,7.862	0.647,57.875
0.004,61.994
4.647,0.747	183.438,0.042	0.329,57.457
6.117,1.119	93.696,0.141	4.079,108.644
107.232,0.224	0.019,205.524
0.393,1.816	0.010,78.833
