1.323,0.286	97.901,0.032
3.797,3.086	218.937,0.043	0.161,217.032
3.521,0.282	41.046,0.004	3.521,23.316
1.223,2.311	101.005,0.044	0.105,79.030
1.032,1.099	73.193,0.014	0.031,36.338
94.898,0.110	0.075,10.121	0.075,149.253
1.381,7.119	119.874,0.113	0.039,96.251
0.082,0.510	0.003,40.958
0.653,0.088	42.161,0.005
2.027,0.399	184.324,0.005	0.021,37.228
1.526,1.143	48.624,0.018	0.032,98.873
0.663,0.249	45.068,0.007	0.663,13.845
14.277,0.757	405.252,0.008	4.949,45.848
2.000,1.223	23.316,0.017	0.061,101.005
4.414,0.092	82.377,0.001	4.414,7.164
176.035,0.070	0.025,95.014
0.240,2.405	0.003,176.519
135.746,0.086	0.020,73.193
3.267,3.017	229.706,0.083
0.645,6.295	49.997,0.075	0.093,427.295
0.023,98.805
0.359,1.588	30.422,0.023	0.004,60.367
2.293,1.258	176.519,0.016	0.030,92.343
6.889,7.534	176.519,1.104	0.104,92.343
1.429,0.163	39.544,0.163	1.429,4.233	39.544,4.233	0.045,32.169
0.236,1.612	0.003,83.710
509.201,0.007
1.521,0.742	63.480,0.035	1.521,30.091
0.428,1.875	28.115,0.033	0.009,104.394
7.319,0.688	104.629,0.030
82.582,0.720	0.018,123.397
1.617,0.211	56.178,0.007
78.238,0.087	0.447,42.161
0.412,6.928	37.385,0.138	0.004,660.725
1.570,0.059	137.175,0.059	0.031,37.960
1.964,0.809	151.904,0.020	0.023,60.699
3.102,0.630	58.807,0.055	0.041,60.403
1.090,0.121	66.781,0.002
0.661,1.927	63.507,0.101	0.032,97.323
3.779,0.997	305.063,0.012	0.053,74.725
1.618,2.868	87.114,0.066	0.051,118.511
0.624,0.531	55.549,0.007	0.015,38.008	1.307,38.008
758.240,0.014	3.652,54.562
0.369,0.045	28.325,0.045
0.567,2.298	11.985,2.298	0.016,175.034
2.607,0.285	159.231,0.009	0.066,24.428
149.651,0.034	5.766,47.282
3.497,1.849	177.130,0.028	0.043,101.663
82.582,0.023	0.054,123.397	1.705,123.397
3.646,0.926	75.616,0.926	0.110,143.578
3.999,4.392	121.778,0.514	0.468,133.730	14.265,133.730
0.034,9.876	0.034,579.847
0.006,80.710
3.838,2.005	116.071,0.048
0.900,0.726	85.122,0.016	0.018,42.470
3.349,0.250
1.337,9.421	39.612,0.105	0.215,334.516
0.375,0.400	18.358,0.400	0.036,32.584
1.549,8.990	135.599,0.278	0.080,112.753
236.683,0.002
0.506,0.698	32.917,0.043	0.025,55.546
125.765,0.166	0.377,8.749	0.377,142.888
0.311,1.640	22.309,1.640	0.004,135.466
1.221,1.065	99.624,0.187	0.012,67.629
0.421,14.131	41.748,0.377	0.041,104.174
3.263,0.012	40.463,0.000
14.557,7.982	157.655,0.086	1.642,330.394	17.782,330.394
195.359,0.348	195.359,16.322	0.214,640.300	17.182,640.300
93.310,0.198	0.031,66.846
4.561,2.612	253.499,0.767	0.123,187.589
89.627,0.482	0.046,589.349
4.793,0.978	158.498,0.014	0.071,78.950
3.230,2.772	61.018,0.046	0.093,276.547
94.576,0.045	0.034,165.586
0.823,0.576	67.540,0.006
2.233,3.384	130.572,0.037	0.046,54.381
78.936,0.566	0.047,71.057
731.707,0.021
10.601,3.202	378.833,0.049	1.052,154.121
20.796,0.011	449.965,0.011	0.541,26.347
6.218,2.057	97.441,0.034	0.257,52.807
7.124,1.914	347.830,0.065	0.086,60.924
49.652,0.001
9.903,1.173	200.264,0.026	0.129,49.823
2.239,0.827	81.894,0.026
293.211,0.009
5.190,3.162	28.026,3.162	0.109,70.963
0.532,3.778	50.388,0.044	0.014,145.481
1.690,11.106	67.203,0.516	0.018,172.596
0.733,1.748	15.934,0.049	0.039,135.312
