0.129,0.698	0.001,48.445
0.878,0.861	80.498,0.009	0.031,41.901
116.427,0.053	116.427,1.748	0.134,150.450
0.648,4.005	64.299,0.119	0.011,185.763
1.950,2.159	64.299,0.082	0.076,185.763
306.246,0.020	0.038,68.888	3.742,68.888
0.412,2.511	19.547,0.169	0.006,250.679
2.129,1.399	54.387,0.020	0.029,45.514
0.097,2.701	0.001,177.670
0.792,0.885	36.475,0.016	0.014,65.855
2.840,1.960	62.161,0.022	0.029,92.454
306.014,0.009
58.982,0.073	58.982,2.635	0.014,167.051
78.283,0.099	0.020,2.759	0.949,2.759	0.020,243.849	0.949,243.849
0.036,120.525
222.640,0.053	0.892,40.708
2.857,0.174	165.656,0.174	0.086,101.410
15.870,0.026	15.870,1.930	0.013,173.475
1.841,1.008	62.132,0.022	0.030,83.781
0.933,0.626	86.843,0.011	0.024,28.225
189.173,0.312	0.541,116.234
0.197,85.351
1.133,0.389	84.327,0.072	0.020,35.229
0.231,0.538	0.004,35.423
0.202,0.072
35.229,0.333	0.008,163.983
67.018,2.507	0.029,208.663
128.625,0.226	128.625,5.168	0.044,291.215
0.202,0.072
0.007,150.450
0.774,0.660	67.166,0.011	0.111,60.939
0.539,1.034	0.017,94.415
0.575,1.514	54.561,0.026	0.014,73.754
0.997,0.568	72.294,0.061
1.469,0.616	103.023,0.058	103.023,4.155	0.018,44.296
6.263,1.794	397.734,0.029	0.273,58.473
6.463,1.027	397.734,0.031	0.102,58.473
2.889,1.646	125.265,0.017	0.030,122.504
2.918,0.440	88.672,0.012	0.169,25.866
99.421,0.015	0.108,130.668
1.499,3.108	71.182,0.053	0.059,79.818
4.933,3.062	259.182,0.046	0.076,201.430
2.956,2.141	129.165,0.145	0.075,58.151
2.132,5.020	62.042,0.060	0.025,221.654
224.906,0.008	0.320,62.114
3.467,0.013	241.965,0.013	0.081,68.244
1.868,0.826	54.589,0.270	0.039,49.118
45.514,0.311	0.102,609.596
3.788,4.136	39.555,0.222	0.052,135.485
1.399,8.248	45.514,0.092	0.020,609.596
1.324,1.541	36.632,0.046	0.026,77.013
2.180,1.057	188.308,0.014	0.023,78.258
1.456,0.954	60.834,0.010	0.325,33.092	13.562,33.092
9.645,2.454	313.595,0.068	0.290,183.463
1.112,1.750	69.658,0.962	0.014,133.124
0.795,1.173	68.809,0.022	68.809,1.972	0.050,105.405
74.936,0.475	74.936,6.376	0.181,152.965
6.146,1.511	373.895,0.018	0.115,68.995
0.087,2.681	4.358,2.681	0.087,133.743	4.358,133.743
474.628,0.179	0.206,117.824	20.213,117.824
0.633,0.564	18.662,0.021	0.633,12.225
58.473,0.151	58.473,3.910	0.011,67.166
2.310,1.346	108.672,0.031	0.046,108.684
3.268,0.114	190.316,0.001
150.722,3.594	0.019,122.997
2.903,0.327	162.899,0.011	0.052,30.476
0.583,4.944	0.010,213.840
0.494,2.984	0.005,98.315
