parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,1,02,02,02-20-21,1,1,-7.330214,6.62833,1
2,2,02-20,02,01-02-20,2,0.69,-2.991239,5.954457,0.69
2,2,02-20,20,01-02-20,2,0.31,5.818645,-4.045977,0.31
3,2,02-20,20,02-20,2,0.47,6.118073,-2.189093,0.47
3,2,02-20,02,02-20,2,0.53,-4.851235,6.541317,0.53
4,3,00-02-20,20,00-02-20,3,0.3,4.450407,-7.116309,0.3
4,3,00-02-20,02,00-02-20,3,0.34,-3.63045,4.385817,0.34
4,3,00-02-20,00,00-02-20,3,0.36,-0.378329,-1.664967,0.36
5,1,02,02,02-20,1,1,-7.415825,6.699222,1
6,2,02-20,20,02-20-21,2,0.89,6.033687,-6.005964,0.89
6,2,02-20,02,02-20-21,2,0.11,-2.152904,4.886183,0.11
7,4,00-02-20-21,20,00-02-20-21,4,0.16,2.408364,-5.426689,0.16
7,4,00-02-20-21,21,00-02-20-21,4,0.05,2.408309,0.980531,0.05
7,4,00-02-20-21,02,00-02-20-21,4,0.38,-9.95185,4.648525,0.38
7,4,00-02-20-21,00,00-02-20-21,4,0.41,-3.624939,-1.760102,0.41
8,2,02-20,20,02-20,2,0.96,7.155924,-3.922285,0.96
8,2,02-20,02,02-20,2,0.04,-3.20972,4.691359,0.04
9,3,00-02-20,20,00-02-20,3,0.42,4.76679,-6.666139,0.42
9,3,00-02-20,02,00-02-20,3,0.01,-3.478956,2.484633,0.01
9,3,00-02-20,00,00-02-20,3,0.57,0.255086,-1.730988,0.57
10,3,00-02-20,00,00-02-20,3,0.25,0.125479,-1.53689,0.25
10,3,00-02-20,20,00-02-20,3,0.61,6.723703,-4.803782,0.61
10,3,00-02-20,02,00-02-20,3,0.14,-2.432273,0.99568,0.14
11,2,02-20,20,02-20,2,0.02,4.987352,-2.150815,0.02
11,2,02-20,02,02-20,2,0.98,-5.997934,5.977738,0.98
12,3,02-20-22,02,02-20-22,3,0.39,-2.595233,7.915264,0.39
12,3,02-20-22,20,02-20-22,3,0.2,7.526926,-1.092029,0.2
12,3,02-20-22,22,02-20-22,3,0.41,2.849938,3.949246,0.41
13,3,02-12-20,12,02-12-20,3,0.28,1.315386,6.073538,0.28
13,3,02-12-20,02,02-12-20,3,0.16,-4.219886,6.073538,0.16
13,3,02-12-20,20,02-12-20,3,0.56,6.623302,-6.810496,0.56
14,3,00-02-20,20,00-02-20,3,0.46,5.317197,-8.677818,0.46
14,3,00-02-20,02,00-02-20,3,0.18,-5.136753,2.548302,0.18
14,3,00-02-20,00,00-02-20,3,0.36,0.009101,-3.67402,0.36
15,2,02-20,20,02-20,2,0.87,6.076529,-8.670748,0.87
15,2,02-20,02,02-20,2,0.13,-5.058514,3.704782,0.13
16,4,02-20-21-22,22,00-02-20-21,4,0.1,2.469667,2.872305,0.1
