1.267,1.095	94.545,0.016	0.019,104.164	1.452,104.164
93.313,0.177	0.022,97.860
0.943,2.500	87.156,0.077	0.012,103.052
1.407,0.300	83.261,0.025	0.028,9.564
70.354,0.063	0.049,134.727
1.844,2.549	148.029,0.027	0.086,221.382
26.439,0.059	0.007,3.516	0.007,120.523
0.366,1.080	29.797,0.019	0.004,17.292
222.269,0.228	0.284,122.104
48.338,0.023	0.007,1.574	0.007,39.045
94.173,0.022	1.481,133.869
59.999,0.130	0.017,87.052	0.885,87.052
7.301,2.380	259.295,0.081	0.231,43.369
2.486,3.358	42.590,0.036	0.026,141.159
73.844,0.057	0.017,3.126	0.017,289.168
2.167,0.027	82.077,0.027
7.452,0.005	28.102,0.005	0.220,43.760
2.538,1.782	85.301,0.018	0.031,101.287
1.707,0.481	159.202,0.481	0.121,49.851	11.280,38.505
2.501,0.002	65.264,0.002	0.121,12.597
265.733,0.042	0.266,114.665
119.346,1.131	0.023,291.341
145.695,0.076	0.024,214.438
189.062,0.000
33.423,0.024	33.423,2.352	0.013,177.896
0.734,0.730	38.558,0.025	0.012,53.177
1.561,2.227	90.507,0.053	0.047,86.670
162.013,0.816	0.154,259.295	4.562,259.295
0.726,2.648	50.478,0.098	50.478,6.833	0.013,184.203
0.043,1.885	2.941,0.027	0.007,80.749
2.149,0.274	162.316,0.021	0.025,11.730
309.951,0.146	0.044,51.405
87.977,1.516	0.029,138.431
7.230,1.286	510.058,0.019	0.136,111.808
6.545,1.214	540.166,0.018	0.092,94.839	7.590,94.839
47.658,0.208	0.053,175.804	1.768,175.804
203.602,0.117	203.602,4.339	0.128,283.948
91.526,0.190	0.017,157.451
0.961,3.809	65.222,0.043	0.015,137.453
452.848,0.019	1.987,1.542	1.987,121.541
0.986,2.245	65.222,0.027	0.022,137.453
706.061,1.033	0.536,107.122	50.027,82.741
0.011,206.067
25.786,0.319	0.007,2.844	0.007,88.557
102.694,2.977	0.054,130.526	3.026,130.526
0.806,0.465	75.110,0.235	0.075,33.972	7.032,33.972
23.907,0.024	0.007,87.687
236.342,0.064	0.397,179.577	25.023,5.246
1.099,2.304	74.898,0.097	0.012,99.455
170.485,0.070	0.579,74.207
113.890,0.014	113.890,1.125	0.063,80.025	4.743,80.025
6.075,0.037	94.897,0.037	0.076,73.433
35.216,0.320	0.146,75.908
49.310,0.053	0.015,4.464	0.015,126.037
78.266,0.063	0.033,266.964	1.859,266.964
154.535,0.018	154.535,1.590	0.035,128.867
2.047,0.213	105.020,0.003	0.127,16.356
114.872,0.005
1.417,2.511	50.628,0.188	0.015,131.096
0.180,0.814	6.920,0.012	0.004,70.851
1.723,2.443	95.802,0.033	0.052,217.535
47.423,0.077	0.105,2.036	0.105,158.391
173.794,0.034	1.044,255.676
166.164,0.229	0.056,51.463	5.558,51.463
210.653,0.007	0.115,0.622	0.115,26.064
142.171,0.038	0.136,16.570
323.354,0.043	0.758,187.608
133.017,0.019	0.505,104.128
1.716,1.098	88.577,0.032	0.042,104.539
1.612,1.799	100.694,0.036	0.018,101.842
121.392,0.053	121.392,2.730	0.042,137.526
227.653,0.021	0.182,119.539
0.776,1.229	53.715,0.014	0.037,86.767
0.947,0.388	86.487,0.005	0.104,25.620
1.422,0.405	109.627,0.018	0.080,17.771
166.568,1.304	0.064,146.182	3.318,146.182
196.727,0.030	0.028,2.353	0.028,191.529
2.677,0.070	81.425,0.070	0.056,65.349
0.184,1.933	16.777,0.028	0.005,112.373
265.613,0.012	0.121,48.886
246.789,0.139	0.033,191.980
0.037,141.530	3.364,141.530
107.288,0.418	0.014,196.727
1.796,1.081	61.708,0.082	0.027,96.417
5.413,0.008	150.141,0.008	0.131,50.237
86.508,0.758	0.018,59.326
1.806,1.362	175.743,0.015	0.076,100.496
1.309,0.073	85.011,0.073	0.017,46.053
0.719,0.011	39.598,0.011	0.012,49.451
100.622,0.640	0.034,119.521
0.317,0.563	25.195,0.012	0.020,28.705
23.210,0.983	0.028,64.207
61.192,0.030	0.021,1.365	0.021,78.192
329.644,0.017	0.821,22.413
1.418,1.755	60.556,1.755	0.015,219.460
35.802,0.292	0.480,66.999
12.709,0.006	12.709,0.448	0.012,41.413
196.727,0.032	0.158,2.407	0.158,191.529
61.367,0.141	0.034,460.989
1.011,0.147	85.589,0.147	1.011,2.269	85.589,2.269	0.014,128.686
0.290,0.147	0.004,13.249
1.147,0.018	105.452,0.018	0.047,109.128
24.656,0.200	0.133,526.491
6.828,0.011	86.312,0.011	0.214,74.162
64.922,0.122	0.031,87.086
1.389,0.129	83.896,0.129	0.014,6.384	0.014,110.404
0.619,3.797	45.143,0.075	0.006,42.071
138.878,0.082	138.878,1.518	0.073,104.591
105.191,0.014	0.253,65.794
101.122,0.010	101.122,0.888	0.023,64.295
253.999,0.012	0.038,18.855	3.281,18.855
0.858,1.851	71.301,0.203	0.012,174.073
84.254,0.211	0.411,5.562	5.011,5.562	0.411,26.797	5.011,26.797
2.269,0.036	81.461,0.036	0.024,42.826
236.636,0.122	0.081,327.064
9.993,0.007	147.639,0.007	0.155,42.462
2.588,2.619	83.554,0.110	0.032,92.713
255.841,0.025	0.225,1.004	2.734,1.004	0.225,93.129	2.734,93.129
377.264,0.073	0.497,19.029
70.377,0.098	0.120,2.137	0.120,34.588
60.756,0.036	0.726,47.608
1.127,0.862	44.602,0.015	0.056,67.079
3.395,0.037	147.237,0.037	0.159,186.648
1.461,0.511	76.335,0.005	0.021,50.426
2.409,0.014	156.118,0.014	0.320,68.494
163.287,0.154	0.034,4.059	0.034,99.379
1.463,4.326	142.959,0.435	0.077,132.349
7.548,0.072	142.959,0.072	0.080,132.349
0.206,0.573	20.520,0.006	0.009,43.959
331.093,1.484	0.643,411.431
13.764,0.652	0.169,246.061
0.025,293.087
175.478,0.040	0.080,35.516
106.633,0.177	106.633,9.666	0.041,80.108
1.316,0.135	107.140,0.135	0.024,59.042
32.195,0.069	0.029,105.150
224.458,0.317	0.104,7.201	0.104,78.631
1.361,0.070	34.877,0.001	1.361,4.595
144.660,0.520	0.027,504.948
1.758,0.026	26.947,0.026	0.033,41.423
64.662,0.385	0.039,274.487
33.597,0.213	0.075,5.704	0.075,187.194
36.421,0.818	0.023,242.712
0.145,1.021	12.513,0.012	0.003,47.781	0.239,47.781
2.514,0.521	92.756,0.016	0.030,6.393
227.233,0.035	0.035,2.499	0.035,78.069
162.054,0.032
