2.288,0.199	112.507,0.107	2.288,11.273	112.507,6.068
124.660,0.028	0.030,2.464	0.030,94.533
0.347,0.463	0.041,21.426
168.434,0.008	0.214,40.200
124.660,0.028	0.030,2.464	0.030,94.533
1.060,0.827	65.192,0.010	0.030,43.337
2.363,5.897	98.223,0.077	0.025,105.113
0.216,3.419	20.509,0.041	0.002,283.345
119.290,2.431	0.014,137.239
0.381,2.214	0.045,102.475
2.271,0.566	126.451,0.006	0.045,42.780
0.576,0.564	54.286,0.021	0.006,47.906
0.682,0.752	30.335,0.101	0.014,50.650
102.475,0.093	102.475,5.101	0.022,186.375
1.668,1.808	39.264,0.046	39.264,4.192	0.085,163.393
1.206,3.884	95.998,0.071	0.014,237.756
2.086,0.230	153.972,0.006	0.033,12.704
1.980,2.195	129.941,0.085	0.032,212.990
0.317,0.659	0.004,21.426
65.561,0.143	0.017,12.903	0.017,150.626
0.713,0.343	40.340,0.003	0.054,30.176
5.628,0.505	321.940,0.015	0.225,50.128
7.542,0.132	78.180,0.132	7.542,11.643	78.180,11.643	0.098,102.203
119.171,0.059	0.033,107.344	2.121,107.344
0.040,1.115	0.001,96.460
107.344,0.047	0.016,4.011	0.016,94.012
148.800,0.050	0.662,124.660	4.264,124.660
4.256,0.649	263.512,0.062	0.070,59.733
0.724,1.871	25.263,0.290	0.009,65.192
1.047,6.084	94.119,0.073	0.012,198.782
244.406,0.014
3.793,0.577	73.798,0.007
1.143,0.212	103.936,0.016	1.143,11.972
112.657,0.247	0.023,199.873
6.310,0.047	190.205,0.047	0.115,237.357
1.473,0.777	98.962,0.009	0.015,19.520
1.856,0.764	91.770,0.764	0.020,94.820
0.647,1.351	61.491,0.022	0.097,126.005	9.220,126.005
80.666,0.009	0.426,44.410
29.995,0.106	0.017,3.864	0.017,141.533
1.935,3.051	113.738,0.044	0.026,209.266
82.419,0.904	1.311,80.331
0.124,2.503	0.002,157.597
89.695,0.222	0.018,443.588	0.952,443.588
2.542,0.868	99.857,0.016	0.054,75.794
