111.912,0.008
1.659,0.011	30.752,0.011	0.028,32.856
1.021,1.606	69.760,0.041	0.069,148.505
1.443,2.403	99.059,0.049	0.024,146.098
0.471,0.781	46.030,0.009
0.226,2.439	12.261,0.041	0.002,73.184
0.107,0.929	8.647,0.219	0.005,84.485
43.472,0.122	0.024,146.671
1.325,1.707	61.424,0.057	0.067,145.914
2.742,0.091	18.064,0.091	0.040,102.810
0.005,78.817
3.682,1.367	87.192,0.071	0.041,115.382
130.810,0.072	130.810,4.586	1.249,183.427
0.652,1.175	63.215,0.015	0.132,29.984
88.277,0.398	0.316,43.472
1.732,1.220	83.596,0.053	0.361,106.251
0.001,269.226
2.559,3.764	203.707,0.579	203.707,16.692	0.033,108.543
1.399,0.488	63.942,0.064	0.076,22.308
4.788,0.920	333.002,0.014	0.093,27.588
4.367,2.803	191.898,0.028	0.053,53.099
95.391,0.119	95.391,3.582	0.307,82.555
31.189,0.028	31.189,1.989	0.063,186.459	0.581,186.459
21.612,0.007	0.035,0.539	0.035,17.193
6.087,0.098	275.368,0.031
110.874,0.061	0.070,1.125	0.070,82.212
7.823,0.107
0.172,0.411	0.009,9.526
1.332,0.631	86.560,0.070	0.086,59.758
164.597,0.010	0.148,30.752
108.059,0.227	108.059,14.820	0.240,256.101
6.603,1.772	123.030,0.026	0.932,130.161	17.374,130.161
87.192,0.252	0.202,5.962	0.202,115.382
0.164,2.499	12.719,0.050	0.008,58.325
1.114,1.297	81.710,0.015	0.015,76.314
4.803,1.944	342.773,0.029	0.160,84.604	11.395,84.604
493.870,0.010	10.595,76.786
561.829,0.034	3.805,179.148
115.136,0.008	0.044,17.328
300.476,0.131	0.495,585.448
2.083,1.015	108.395,0.312	0.054,39.578
586.156,0.066	0.214,191.618	12.441,191.618
0.344,0.799	23.694,0.062	0.013,62.330
217.217,1.084	0.278,145.178
2.466,1.222	236.801,0.147	0.028,83.022
88.043,0.917	88.043,8.306	0.011,89.790
287.397,0.058	0.302,172.911
25.489,0.207	0.029,3.773	0.029,140.953
199.882,0.056	0.103,5.333	0.103,250.833
0.293,2.357	17.669,0.045	0.004,25.286
4.324,0.861	78.693,0.010	0.074,72.849
60.251,0.379	0.074,63.458
0.527,0.564	9.971,0.008	0.013,34.408
1.143,2.409	51.728,0.762	0.013,236.314
7.030,1.388	97.422,1.388	0.367,9.366	0.367,381.742
4.198,0.155	195.642,0.003
0.390,5.452	0.042,174.030
1.409,1.510	103.673,0.031	0.284,150.479
44.498,2.525	44.498,8.848	0.059,55.506
43.836,0.185	0.014,46.915
