5.601,0.028	157.128,0.028	0.217,46.324
0.565,3.693	47.431,0.043	0.009,112.843
3.356,0.949	87.148,0.029	0.182,60.364
2.936,0.404	260.526,0.006	0.043,28.229
15.842,0.403	0.003,3.302	0.003,51.855
136.293,0.076	0.100,89.022
292.277,0.042	0.260,224.900
12.418,0.051	0.003,4.972	0.003,168.674
0.991,0.112	29.960,0.014
2.000,0.409	98.310,0.004	2.000,13.863
6.300,1.572	146.763,0.313	0.401,118.729	9.344,118.729
2.233,0.123	63.601,0.123	0.140,2.517	0.140,63.391
0.450,1.603	41.512,0.178	41.512,13.709	0.157,123.695
3.737,0.053	92.888,0.053	0.109,3.278	0.109,66.951
2.699,0.395	35.023,0.006	0.031,30.595
292.277,0.333	292.277,5.712	0.071,94.328
148.813,0.003	0.439,20.403
0.340,1.945	0.004,168.674
89.022,0.061	0.013,68.538
0.832,7.840	39.780,0.128	0.014,45.159
7.667,3.316	260.128,0.101	0.079,198.823
72.217,0.603	0.025,213.306
2.625,0.883	198.823,0.010	0.100,66.781
2.375,1.122	234.886,0.043	0.049,68.889
1.237,0.883	112.843,0.030	0.017,47.584
229.124,0.047	0.032,81.262
2.714,0.708	98.775,0.014	0.303,47.550
0.480,0.910	0.021,76.723
1.879,3.389	68.538,0.217	0.023,293.843
0.734,0.476	66.781,0.006	0.010,35.023
1.940,1.830	116.407,0.030	0.024,171.536
0.705,0.894	61.281,0.024	0.008,37.093
0.304,4.143	11.120,0.100	0.003,377.226
63.391,0.384	0.109,452.524	2.226,452.524
429.047,0.011	0.342,47.754
0.079,0.545	0.007,51.236
0.621,2.420	47.600,0.028	0.007,85.183
12.747,0.184	0.002,223.035
4.303,0.036	87.183,0.036	0.072,80.750
0.644,0.445	52.479,0.005	0.060,39.907
7.042,0.253	0.002,677.670
34.553,0.850	0.039,7.141	0.039,166.227
2.040,2.029	103.436,0.033	0.386,118.112
0.415,0.329	24.753,0.016	0.006,31.339
28.780,0.241	0.006,8.590	0.006,162.022
0.705,2.233	52.211,0.032	0.010,128.055
1.546,1.981	90.554,0.020	0.038,159.577
1.522,0.091	106.792,0.051
0.291,0.668	0.010,64.916
119.695,0.056	0.135,210.251
1.195,1.249	26.101,0.016	0.025,43.249
148.279,0.533	148.279,13.466	0.603,104.539	12.087,104.539
106.865,0.094	0.037,29.570
1.466,0.192	135.277,0.002
0.218,1.349	3.340,1.349	0.011,40.115
2.514,0.036	196.468,0.036	0.054,102.589
0.134,0.141
0.361,1.202	34.907,0.013	0.005,118.695
0.510,2.881	19.880,0.182	19.880,7.671	0.011,121.410
1.533,0.004	56.319,0.004
16.432,0.816	127.871,0.011	0.993,58.643
0.080,66.289
174.838,0.075	0.564,112.047
1.913,0.612	146.614,0.008	0.021,28.819
2.829,0.015	247.373,0.015	0.278,62.359
3.632,0.672	55.303,0.013	0.039,24.339
4.544,4.038	135.633,0.228	0.139,329.284
126.750,0.119	126.750,10.426	0.098,137.126
3.682,1.178	179.370,0.033	0.039,37.488
56.870,0.191	0.026,74.798
0.439,0.332	14.143,0.332	0.006,32.988
1.746,3.928	160.694,0.074	0.028,129.408	2.544,129.408
21.044,0.052	21.044,2.260	0.014,54.595
32.186,1.339	0.018,3.745	0.018,158.613
3.645,1.670	109.260,0.050	0.037,24.386
0.645,0.844	29.438,0.009	0.029,56.268
109.908,0.576	0.093,109.419	4.365,109.419
1.822,5.229	88.518,0.570	0.025,220.783
0.162,0.222	5.910,0.222	0.005,19.280
1.401,1.721	74.899,0.095	74.899,8.034	0.019,145.254
0.980,1.258	20.944,0.040	0.127,38.924
3.151,0.957	120.858,0.048	120.858,2.481	0.953,49.337
1.926,1.008	88.634,0.018	88.634,1.533	0.025,86.670
95.335,9.941	0.146,314.617
267.709,0.026	0.087,105.107
543.624,0.191	543.624,5.932	0.389,172.088
1.378,0.827	0.188,80.218
5.942,0.006	394.765,0.006	0.115,36.700
2.190,0.045	67.291,0.000
28.564,0.452	0.004,538.960
0.421,1.357	37.595,0.047	0.005,70.341
0.530,8.254	51.692,0.117	0.015,140.686
0.002,100.001
4.360,2.487	220.746,0.029	0.045,215.370
2.892,0.534	73.989,0.006	0.046,31.520
0.878,1.363	0.011,52.539
0.160,1.562	14.549,0.033	0.002,104.352
47.575,0.078	0.008,131.436
2.574,2.062	178.817,0.057	178.817,3.053	0.028,110.941
