0.896,1.746	39.931,0.036	0.018,93.199
3.536,0.006	84.764,0.006	0.277,30.124
3.386,0.002	104.767,0.002	0.263,12.459
73.975,0.645	73.975,2.936	0.041,118.205
3.536,0.006	84.764,0.006	0.277,30.124
0.135,1.280	10.216,0.122	0.004,58.675
0.385,2.703	24.089,0.040	0.005,131.237
1.711,1.563	54.562,0.018	0.034,136.806
30.124,0.122	0.061,106.402
3.041,0.950	94.640,0.034	0.060,85.152
1.884,2.080	103.696,0.047	0.021,131.532
143.497,0.066	1.049,26.340
91.780,0.025	91.780,1.588	0.348,77.316
1.195,4.468	75.645,0.095	0.019,137.812
3.232,0.112	140.539,0.112	0.088,120.950
0.206,1.698	12.273,0.043	0.002,115.744
142.570,0.060	0.024,158.436
36.701,0.033	0.032,116.328	1.084,116.328
3.766,0.682	192.893,0.038	0.038,65.720
2.049,0.933	155.008,0.089	155.008,4.089	0.065,42.758
132.861,0.168	0.513,167.998
1.560,0.042	120.773,0.042	0.058,34.998
18.063,0.121	0.066,88.634
0.933,1.133	80.885,0.014	0.011,70.839
54.250,0.195	0.076,128.815
51.175,0.364	0.065,213.353
2.658,2.612	112.932,0.036	0.087,212.391
0.822,0.949	78.646,0.077	78.646,7.550	0.015,93.107
22.703,0.021	22.703,0.430	0.006,30.322
122.713,0.077	122.713,4.851	0.034,310.585
0.590,1.079	55.877,0.020	0.064,97.772	6.076,97.772
3.333,0.176	325.582,0.176	0.051,199.000
185.384,0.015	0.290,92.133
0.668,1.194	20.377,0.028	0.012,86.799
1.607,1.426	95.142,0.062	95.142,3.711	0.019,85.721
227.118,0.025	0.041,94.398	2.333,94.398
2.151,0.160	56.198,0.003	0.022,12.872
1.401,0.054	65.934,0.054	0.430,166.640
0.280,0.605	22.711,0.018	0.003,59.364
1.414,1.449	21.516,0.018	0.068,78.698
22.892,0.073	22.892,1.760	0.019,125.442
5.006,0.651	168.370,0.007	0.060,15.542
2.256,0.416	104.850,0.010	0.025,16.035
89.971,0.378	0.017,351.387
5.178,1.193	220.807,0.022	0.244,95.547
3.747,1.706	113.962,0.044	0.042,158.590
3.506,0.286	98.572,0.005	0.154,27.351
104.766,0.032	0.073,37.093
93.619,0.025	0.039,94.859	1.624,94.859
1.349,0.844	70.838,0.029	0.034,72.283
168.419,0.025	0.130,1.832	5.521,1.832	0.130,148.979	5.521,148.979
1.639,2.845	62.048,0.037	0.097,90.475
61.382,0.059	61.382,5.164	0.145,123.787
262.703,0.134	0.046,74.394
6.120,0.514	325.611,0.057
4.468,2.425	164.298,0.087	0.049,83.897
2.291,0.478	17.542,0.010	0.023,17.027
456.780,0.026	0.385,104.850
4.632,0.708	350.417,0.708	0.148,339.432
543.031,0.026	1.891,124.509
153.647,0.021	0.152,13.022
5.012,5.516	341.665,0.069	0.126,281.942
189.579,0.212	0.036,1.948	0.036,147.985
137.742,0.005	0.050,27.622	1.564,27.622
6.892,0.124	208.975,0.124	0.262,5.274	0.262,122.996
1.757,2.169	122.432,0.082	0.035,185.171
3.636,0.136	182.690,0.136	0.085,123.202
193.312,0.011	0.096,39.635	4.131,39.635
0.022,0.359	0.001,33.360
60.862,1.249	0.014,193.312
5.915,0.027	175.131,0.027	0.076,146.787
1.986,0.508	110.378,0.006	0.060,45.829
623.645,0.053	0.202,4.320	0.202,118.660
10.615,0.062	10.615,3.373	0.042,119.062
105.480,0.080	0.621,6.890	0.621,523.421
