1.080,0.081	97.627,0.004
185.183,0.244	0.179,173.404
1.039,0.060	75.775,0.060	1.039,1.743	75.775,1.743	0.013,86.816
1.576,1.603	124.108,0.022	0.044,98.839	3.427,98.839
0.299,2.760	24.817,0.039	0.010,153.858
0.826,2.267	31.199,0.023	0.017,81.498
83.830,0.015	0.859,1.112	0.859,84.317
0.128,2.737	0.013,54.713
0.978,1.065	88.441,0.011	0.029,29.198
6.912,0.101	212.794,0.101	0.086,8.459	0.086,93.819
2.716,2.171	198.452,0.185	198.452,7.327	0.041,85.935
40.494,0.037	0.024,2.479	0.024,170.633
124.840,0.069	124.840,3.730	0.018,90.577	1.459,90.577
0.675,2.340	40.527,0.094	0.011,156.372
100.387,0.017	0.355,12.457
1.133,0.952	33.658,0.011	0.045,74.868
36.720,0.007	0.125,34.389
34.193,0.233	0.027,265.808
3.484,3.078	219.274,0.051	0.055,76.591
1.804,0.355	169.919,0.355	0.020,117.154
3.563,2.733	231.635,0.203	0.088,99.738
119.248,0.354	0.109,105.241	6.435,105.241
88.441,0.052	0.061,29.198
144.847,0.087	0.363,206.169	3.970,206.169
0.849,2.160	60.265,0.056	0.013,83.302
0.001,55.507
1.460,0.611	145.794,0.022	145.794,2.181	0.016,60.714
0.118,0.868	0.002,31.199
58.462,0.088	58.462,4.920	0.010,274.241
58.177,0.057	58.177,2.786	0.033,223.191
2.095,0.889	93.322,0.013	0.025,43.361
1.658,1.483	120.448,0.021	0.077,105.874	5.567,105.874
2.988,0.019	294.036,0.019	0.231,50.817
87.412,0.077	0.873,6.148	0.873,189.291
17.750,0.087	17.750,4.139	0.017,131.540
0.555,0.439	29.952,0.005	0.007,22.670
1.510,0.033	45.405,0.033	0.035,64.097
1.533,0.265	97.598,0.003	0.020,22.667
44.403,0.471	0.024,51.066
54.719,0.962	54.719,7.688	0.040,89.492
100.292,0.058	0.024,55.114	2.222,55.114
0.249,1.056	20.651,0.060	0.004,25.438
0.765,0.613	12.408,0.006	0.011,22.190
1.891,0.597	15.325,0.015	0.042,50.118
32.201,0.158	0.008,4.950	0.008,483.278
3.174,1.611	92.533,0.017	0.102,71.460
2.547,1.445	146.256,0.015	0.086,90.949	4.963,90.949
189.608,0.094	0.159,84.323
2.855,2.057	15.288,0.029	0.055,35.918
0.951,0.730	49.808,0.020	0.409,25.775
186.411,0.066	0.052,172.669	4.545,172.669
1.301,5.999	35.046,0.093	0.021,120.599
226.360,0.008	0.626,17.025
6.146,0.113	222.613,0.001	6.146,8.274
5.446,0.823	0.076,16.249
6.171,2.042	133.218,0.318	0.264,202.885
0.041,0.293	0.001,28.977
119.735,0.192	0.082,5.090	0.082,251.460
532.463,0.016	0.096,0.952	6.767,0.952	0.096,61.296	6.767,61.296
0.431,5.753	15.847,0.128	0.017,177.780
0.038,131.281
30.764,0.117	0.087,52.874
2.250,0.009	133.490,0.009	0.065,33.619
303.703,0.026	0.232,216.251
18.498,0.081	18.498,0.451	0.009,39.115
