Phase,RACIPE,DSGRN,JSD,Parameter,nState
00-01-20,0.001593308105954989,0.0017924716191993627,0.11208737078571929,Phase,3
00-02,0.0019916351324437364,0,0.11208737078571929,Phase,3
00-02-10,0.0013941445927106153,0.00219079864568811,0.11208737078571929,Phase,3
00-02-20,0.18004381597291377,0.20195180242979485,0.11208737078571929,Phase,3
00-02-20-22,0.0013941445927106153,0,0.11208737078571929,Phase,3
00-20,0.001593308105954989,0,0.11208737078571929,Phase,3
01-02,5.974905397331209e-4,0,0.11208737078571929,Phase,3
01-02-11-20,9.958175662218682e-4,0,0.11208737078571929,Phase,3
01-02-20,0.10754829715196176,0.13961362278430592,0.11208737078571929,Phase,3
01-02-20-21-22,1.9916351324437363e-4,0,0.11208737078571929,Phase,3
01-02-20-22,0.001593308105954989,0,0.11208737078571929,Phase,3
01-02-21,1.9916351324437363e-4,1.9916351324437363e-4,0.11208737078571929,Phase,3
01-11-20,1.9916351324437363e-4,1.9916351324437363e-4,0.11208737078571929,Phase,3
01-20,1.9916351324437363e-4,0,0.11208737078571929,Phase,3
02,0.0033857797251543517,0,0.11208737078571929,Phase,3
02-10,1.9916351324437363e-4,0,0.11208737078571929,Phase,3
02-10-11-20,3.9832702648874725e-4,0,0.11208737078571929,Phase,3
02-10-20,0.10456084445329615,0.13383788090021909,0.11208737078571929,Phase,3
02-10-20-22,0.0011949810794662419,0,0.11208737078571929,Phase,3
02-11-12-20,1.9916351324437363e-4,0,0.11208737078571929,Phase,3
02-11-21,7.966540529774945e-4,9.958175662218682e-4,0.11208737078571929,Phase,3
02-12,5.974905397331209e-4,0,0.11208737078571929,Phase,3
02-12-20,0.09938259310894244,0.14359689304919337,0.11208737078571929,Phase,3
02-12-20-22,7.966540529774945e-4,0,0.11208737078571929,Phase,3
02-12-21,7.966540529774945e-4,9.958175662218682e-4,0.11208737078571929,Phase,3
02-20,0.13423620792670782,0,0.11208737078571929,Phase,3
02-20-21,0.09380601473809998,0.14598685520812588,0.11208737078571929,Phase,3
02-20-21-22,9.958175662218682e-4,0,0.11208737078571929,Phase,3
02-20-22,0.18542123083051185,0.20055765783708424,0.11208737078571929,Phase,3
