Phase,Count,Frequency
00-01-20,8,8e-4
00-02,15,0.0015
00-02-10,7,7e-4
00-02-12-20,38,0.0038
00-02-12-20-21,2,2e-4
00-02-20,939,0.0939
00-02-20-21,32,0.0032
00-02-20-22,39,0.0039
00-12-20,3,3e-4
00-20,19,0.0019
01-02,24,0.0024
01-02-10-20,82,0.0082
01-02-10-20-22,6,6e-4
01-02-11-12,7,7e-4
01-02-11-12-20,65,0.0065
01-02-11-20,5,5e-4
01-02-12-20,11,0.0011
01-02-20,582,0.0582
01-02-20-21-22,1,1e-4
01-02-20-22,69,0.0069
01-02-21,2,2e-4
01-02-21-22,6,6e-4
01-11-20,1,1e-4
01-12,1,1e-4
01-12-20,9,9e-4
01-20,1,1e-4
02,394,0.0394
02-10,3,3e-4
02-10-11-20,3,3e-4
02-10-11-20-21,64,0.0064
02-10-11-21,1,1e-4
02-10-12-20-22,1,1e-4
02-10-20,568,0.0568
02-10-20-21,3,3e-4
02-10-20-22,72,0.0072
02-10-21,5,5e-4
02-11-12-20,4,4e-4
02-11-20,8,8e-4
02-11-20-21,4,4e-4
02-11-21,9,9e-4
02-12,61,0.0061
02-12-20,551,0.0551
02-12-20-21,65,0.0065
02-12-20-22,5,5e-4
02-12-21,16,0.0016
02-12-22,1,1e-4
02-20,3351,0.3351
02-20-21,506,0.0506
02-20-21-22,5,5e-4
02-20-22,1049,0.1049
02-21,140,0.014
02-21-22,53,0.0053
02-22,154,0.0154
10-11-20-21,1,1e-4
10-12-20,2,2e-4
10-12-20-22,7,7e-4
10-20,24,0.0024
10-21,1,1e-4
11-12,1,1e-4
11-12-20,8,8e-4
11-12-20-22,1,1e-4
11-12-21-22,2,2e-4
11-21,1,1e-4
12,10,0.001
12-20,126,0.0126
12-20-21,22,0.0022
12-20-22,51,0.0051
12-21,3,3e-4
12-21-22,2,2e-4
12-22,12,0.0012
20,408,0.0408
20-21,47,0.0047
20-22,150,0.015
21,15,0.0015
21-22,12,0.0012
22,24,0.0024
