0.136,70.292
0.984,2.367	18.438,0.157	18.438,8.298	0.022,124.733
260.408,0.061	0.063,3.456	0.063,106.900
2.864,0.108	199.821,0.108	0.036,184.259
3.564,64.894
2.623,2.162	243.727,0.133	243.727,6.621	0.286,107.975
0.405,0.290	37.014,0.006	0.011,22.392
0.115,1.531	9.379,0.203	0.001,120.561
88.497,0.064	88.497,2.408	0.016,185.941
1.333,0.065	80.437,0.065	0.026,321.877
1.609,0.346	112.166,0.004	0.019,34.086
1.930,1.393	167.710,0.018	0.030,121.048
100.077,0.030	0.021,115.064
35.170,0.611
106.600,0.004
1.428,1.130	139.938,0.011	0.025,80.550
1.093,2.849	65.310,0.053	0.011,126.221
0.116,0.643	9.577,0.009	0.002,59.513
0.455,0.416	32.860,0.416	0.007,23.252
0.676,0.830	63.001,0.124	0.010,62.352
96.120,0.005	0.019,34.280	1.250,34.280
105.147,0.708	0.067,83.017
1.277,2.192	81.856,0.086	81.856,3.472	0.048,88.497
2.234,0.437	114.848,0.013	0.024,33.675
0.338,0.693	23.434,0.069	0.003,28.059
2.456,3.253	105.119,0.119	105.119,10.547	0.032,289.176
87.459,0.055	0.031,187.040
129.564,0.025	0.044,51.473	1.678,51.473
104.839,0.094	104.839,0.857	0.019,66.163
4.753,1.831	94.502,0.026	0.196,49.054
60.033,1.113	0.009,412.673
38.300,1.822	32.068,20.327
38.980,0.045	0.021,3.023	0.021,198.838
0.503,0.586	41.259,0.021	0.009,54.897
85.517,0.212	0.355,53.466
60.670,0.023	0.067,78.118	1.062,78.118
0.367,1.033	32.457,0.020	0.007,65.687
97.174,0.825	0.211,34.719
102.649,0.193	0.723,2.878	0.723,21.507
1.126,0.314	50.359,0.314	0.092,143.073
90.598,0.050	90.598,1.160	0.041,108.955
258.404,0.022	0.187,34.475	5.833,34.475
1.348,0.269	120.855,0.269	0.020,68.365
1.206,0.031	26.007,0.031	0.023,112.242
1.384,2.620	59.099,0.064	0.014,135.714
50.407,0.057	50.407,2.526	0.030,180.587
2.367,0.143	115.345,0.143	0.045,27.649
0.219,0.572	19.616,0.036	0.003,37.221
0.438,7.660	30.538,0.256	0.006,435.214
1.960,0.630	33.846,0.123	0.028,44.440
1.593,3.178	158.784,0.032	0.260,251.241
29.626,0.039	0.010,76.397
3.783,0.070	239.738,0.004
5.296,1.742	167.284,0.030	0.392,72.164
0.344,0.716	30.684,0.008	0.007,19.091
0.243,0.076	17.723,0.001	0.004,5.582
0.421,1.611	0.028,86.865
169.656,0.015	0.161,31.894	6.647,31.894
3.845,0.017	232.321,0.017	0.044,32.126
83.577,0.145	0.011,0.600	0.011,59.552
9.120,0.450	0.146,394.332	9.120,22.436
0.649,0.722	35.736,0.193	0.008,34.634
89.900,0.070	89.900,2.591	0.132,61.954
0.265,0.452	14.328,0.012	0.003,38.184
106.119,0.067	0.135,5.475	3.432,5.475	0.135,316.548	3.432,316.548
488.669,1.769	488.669,6.019	1.639,82.068
2.330,2.084	171.610,0.118	171.610,6.197	0.182,109.448
127.356,0.047	0.545,138.474
1.253,0.970	112.036,0.023	0.020,76.608
253.996,0.015	253.996,1.338	0.140,71.613
231.115,0.552	231.115,6.765	0.045,387.106	2.324,387.106
52.253,0.349	0.020,4.235	0.020,144.764
2.442,1.898	189.031,0.141	0.028,132.467
401.718,0.045	401.718,4.505	0.175,211.838
149.856,0.045	0.033,3.468	0.033,321.445
180.204,0.044	180.204,1.998	0.537,190.102
65.797,1.245	0.008,225.067
44.819,0.004	0.076,22.005
331.313,0.287	0.249,46.847
0.857,3.853	56.963,0.047	0.133,303.401
7.278,0.004	584.350,0.004	0.093,19.041
221.585,0.014	0.105,60.948	5.742,60.948
555.328,0.018	0.313,180.249
100.033,0.035	0.144,2.547	0.144,146.017
511.892,0.387	9.286,9.979
100.219,0.017	100.219,1.554	0.198,132.211
4.241,3.761	261.848,0.137	0.075,316.370
2.490,0.430	136.333,0.004	0.026,30.608
13.483,0.016	13.483,1.572	0.007,123.611
67.357,0.048	0.014,214.668
0.481,2.749	33.474,0.034	0.013,59.791
106.013,0.152	0.060,1.541	0.060,117.660
2.559,0.028	213.748,0.028	0.033,60.064
1.784,1.349	36.260,0.050	36.260,3.274	0.023,87.549
2.295,0.352	99.123,0.005	0.049,31.383
2.112,2.317	25.289,0.029	0.079,93.771
36.651,0.092	0.037,694.749
1.630,0.024	104.784,0.024	0.037,165.952
49.354,1.462	0.010,374.987
1.002,1.020	94.308,0.017	0.017,21.105
124.457,0.005	0.069,19.322	3.711,19.322
4.155,5.139	191.458,0.102	0.373,71.773
0.753,0.039	66.726,0.001
25.074,0.122	0.004,122.396
0.034,620.684
0.357,1.962	21.734,0.214	0.005,187.486
578.733,0.016	578.733,1.007	0.255,78.237
3.678,0.115	89.063,0.115	0.058,308.926
38.316,0.071	0.012,97.665
3.395,2.833	142.026,0.035	0.243,189.918
1.232,1.137	58.914,0.031	0.028,103.767
468.623,0.021	0.279,113.252
0.280,0.173	19.451,0.008	0.004,11.197
1.171,0.009	88.475,0.009	0.025,54.497
4.156,0.039	141.403,0.039	0.134,43.661
72.166,0.058	0.022,347.941
3.977,0.012	42.128,0.012	0.085,38.575
