parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,basinDiscret
1,1,02,02,02,1,1,-2.875271,6.135289,1
2,2,02-20,02,00-02-20-21,2,0.94,-5.480955,6.962698,0.94
2,2,02-20,20,00-02-20-21,2,0.06,4.165238,-2.530989,0.06
3,2,02-20,02,01-02-20,2,0.7,-3.983346,6.740102,0.7
3,2,02-20,20,01-02-20,2,0.3,8.023278,-4.038731,0.3
4,2,02-20,02,02-10-20,2,0.25,-4.777265,7.52559,0.25
4,2,02-20,20,02-10-20,2,0.75,7.642562,-3.206133,0.75
5,2,02-22,22,02,2,0.87,4.575777,3.348166,0.87
5,2,02-22,02,02,2,0.13,1.835707,5.965072,0.13
6,2,02-20,20,00-02-20-21,2,0.54,7.929124,-2.914947,0.54
6,2,02-20,02,00-02-20-21,2,0.46,-1.803996,6.75455,0.46
7,3,00-02-20,20,00-02-20,3,0.22,5.207052,-7.46264,0.22
7,3,00-02-20,02,00-02-20,3,0.12,-5.631776,4.482924,0.12
7,3,00-02-20,00,00-02-20,3,0.66,-1.302473,-1.784793,0.66
8,2,02-20,20,00-02-20,2,0.13,3.226706,-2.301533,0.13
8,2,02-20,02,00-02-20,2,0.87,-9.645194,6.913606,0.87
9,2,02-21,02,02-20-21,2,0.89,-5.959943,7.538703,0.89
9,2,02-21,21,02-20-21,2,0.11,6.094248,1.340899,0.11
10,3,02-10-20,02,02-10-20,3,0.46,-5.290604,8.330364,0.46
10,3,02-10-20,20,02-10-20,3,0.14,6.329743,-3.9362,0.14
10,3,02-10-20,10,02-10-20,3,0.4,0.417857,-1.90368,0.4
11,3,00-02-20,00,00-02-20,3,0.38,0.704117,-1.52808,0.38
11,3,00-02-20,02,00-02-20,3,0.24,-5.627036,5.091094,0.24
11,3,00-02-20,20,00-02-20,3,0.38,6.809489,-8.063679,0.38
12,2,02-20,20,00-02-20,2,0.74,7.389826,-5.792605,0.74
12,2,02-20,02,00-02-20,2,0.26,-5.037677,6.919432,0.26
13,2,02-20,02,02-20,2,0.53,-5.557872,6.846293,0.53
13,2,02-20,20,02-20,2,0.47,6.644962,-5.04992,0.47
14,1,20,20,20,1,1,5.136247,-0.708288,1
15,1,20,20,20,1,1,6.73607,-8.00498,1
16,3,00-02-20,20,00-02-20,3,0.31,7.12864,-6.440127,0.31
16,3,00-02-20,02,00-02-20,3,0.31,-5.313201,6.331739,0.31
16,3,00-02-20,00,00-02-20,3,0.38,0.749527,0.282307,0.38
17,2,02-20,02,00-02-20,2,0.76,-6.46964,6.979807,0.76
17,2,02-20,20,00-02-20,2,0.24,6.029232,-4.220665,0.24
18,2,00-02,00,00-02-20,2,0.53,-3.107108,-0.622188,0.53
18,2,00-02,02,00-02-20,2,0.47,-8.991169,5.895133,0.47
19,3,02-10-20,10,02-10-20,3,0.65,-1.134613,-0.940901,0.65
19,3,02-10-20,20,02-10-20,3,0.21,5.037969,-1.264689,0.21
19,3,02-10-20,02,02-10-20,3,0.14,-6.923035,4.539067,0.14
20,2,02-20,02,00-02-20,2,0.8,-6.61232,5.962366,0.8
20,2,02-20,20,00-02-20,2,0.2,5.977304,-3.008083,0.2
21,2,02-20,20,02-12-20,2,0.79,6.586768,-7.777008,0.79
21,2,02-20,02,02-12-20,2,0.21,-5.690441,5.098965,0.21
22,2,02-20,02,02-20,2,0.61,-3.898383,6.375337,0.61
22,2,02-20,20,02-20,2,0.39,6.716141,-0.499126,0.39
23,2,02-20,02,00-02-20-21,2,0.62,-4.381467,6.46756,0.62
23,2,02-20,20,00-02-20-21,2,0.38,6.354889,-3.539955,0.38
24,2,02-20,20,00-02-20,2,0.78,6.843548,-6.218834,0.78
24,2,02-20,02,00-02-20,2,0.22,-5.237602,5.072932,0.22
25,3,00-02-20,02,00-02-20,3,0.23,-7.834733,4.800342,0.23
25,3,00-02-20,20,00-02-20,3,0.16,4.549279,-3.70442,0.16
25,3,00-02-20,00,00-02-20,3,0.61,-1.56592,-0.528527,0.61
26,3,02-20-21,02,00-02-20-21,3,0.77,-4.963801,8.175807,0.77
26,3,02-20-21,21,00-02-20-21,3,0.05,6.159996,3.29745,0.05
26,3,02-20-21,20,00-02-20-21,3,0.18,6.715869,-3.07536,0.18
27,2,02-20,20,02-20,2,0.04,6.450506,-4.173615,0.04
27,2,02-20,02,02-20,2,0.96,-4.998539,7.547203,0.96
28,2,12-20,20,02-12-20,2,0.84,7.017518,-5.29728,0.84
28,2,12-20,12,02-12-20,2,0.16,0.95742,5.685135,0.16
29,2,02-21,02,02-20-21,2,0.87,-5.715471,6.047955,0.87
29,2,02-21,21,02-20-21,2,0.13,6.711354,-0.209561,0.13
30,2,02-20,20,00-02-20,2,0.79,6.562151,-5.268407,0.79
30,2,02-20,02,00-02-20,2,0.21,-2.350823,5.613499,0.21
31,1,02,02,02-20,1,1,-6.775246,8.688857,1
32,2,20-22,22,20-22,2,0.78,5.0063,4.342197,0.78
32,2,20-22,20,20-22,2,0.22,5.25915,0.868613,0.22
33,3,01-02-20,01,01-02-20,3,0.51,-5.55501,1.667239,0.51
33,3,01-02-20,20,01-02-20,3,0.06,5.283382,-4.459114,0.06
