Phase,RACIPE,DSGRN,JSD,Parameter,nState
01-02-10-20,0.0036496350364963502,0,0.36083095385258973,Phase,5
01-02-10-20-22,0.014598540145985401,0.0364963503649635,0.36083095385258973,Phase,5
01-02-11-12-20,0.23722627737226276,0.4781021897810219,0.36083095385258973,Phase,5
01-02-11-20,0.0036496350364963502,0,0.36083095385258973,Phase,5
01-02-12-20,0.032846715328467155,0,0.36083095385258973,Phase,5
01-02-20,0.06204379562043796,0,0.36083095385258973,Phase,5
01-02-20-22,0.010948905109489052,0,0.36083095385258973,Phase,5
01-12-20,0.021897810218978103,0,0.36083095385258973,Phase,5
01-20,0.0036496350364963502,0,0.36083095385258973,Phase,5
02-10-11,0.0036496350364963502,0,0.36083095385258973,Phase,5
02-10-11-20,0.0072992700729927005,0,0.36083095385258973,Phase,5
02-10-11-20-21,0.1897810218978102,0.4854014598540146,0.36083095385258973,Phase,5
02-10-20,0.043795620437956206,0,0.36083095385258973,Phase,5
02-10-20-21,0.04744525547445255,0,0.36083095385258973,Phase,5
02-10-20-22,0.0036496350364963502,0,0.36083095385258973,Phase,5
02-10-21,0.0364963503649635,0,0.36083095385258973,Phase,5
02-11-20,0.040145985401459854,0,0.36083095385258973,Phase,5
02-11-20-21,0.014598540145985401,0,0.36083095385258973,Phase,5
02-11-21,0.025547445255474453,0,0.36083095385258973,Phase,5
02-12-20,0.0364963503649635,0,0.36083095385258973,Phase,5
02-20,0.043795620437956206,0,0.36083095385258973,Phase,5
02-20-21,0.06569343065693431,0,0.36083095385258973,Phase,5
02-20-22,0.0036496350364963502,0,0.36083095385258973,Phase,5
02-21,0.021897810218978103,0,0.36083095385258973,Phase,5
11-12-20,0.01824817518248175,0,0.36083095385258973,Phase,5
12-20,0.0072992700729927005,0,0.36083095385258973,Phase,5
Multistable,1,1,0,monoMulti,5
2,0.07664233576642336,0,0.3592851266988074,nState,5
3,0.35766423357664234,0,0.3592851266988074,nState,5
4,0.12408759124087591,0,0.3592851266988074,nState,5
5,0.4416058394160584,1,0.3592851266988074,nState,5
00-01-20,9.928514694201747e-4,0.0013899920571882446,0.1032689594287888,Phase,3
00-02,0.0019857029388403494,0,0.1032689594287888,Phase,3
00-02-10,0.0013899920571882446,0.0021842732327243845,0.1032689594287888,Phase,3
00-02-10-20,1.9857029388403494e-4,0,0.1032689594287888,Phase,3
00-02-20,0.1852660841938046,0.20611596505162827,0.1032689594287888,Phase,3
00-02-20-22,9.928514694201747e-4,0,0.1032689594287888,Phase,3
00-20,7.942811755361397e-4,0,0.1032689594287888,Phase,3
01-02,3.971405877680699e-4,0,0.1032689594287888,Phase,3
01-02-20,0.11179507545671168,0.13880063542494042,0.1032689594287888,Phase,3
01-02-20-21-22,1.9857029388403494e-4,0,0.1032689594287888,Phase,3
01-02-20-22,3.971405877680699e-4,0,0.1032689594287888,Phase,3
02,0.003772835583796664,0,0.1032689594287888,Phase,3
02-10,3.971405877680699e-4,0,0.1032689594287888,Phase,3
02-10-11,0,1.9857029388403494e-4,0.1032689594287888,Phase,3
02-10-12-20-22,1.9857029388403494e-4,0,0.1032689594287888,Phase,3
02-10-20,0.10424940428911834,0.12946783161239078,0.1032689594287888,Phase,3
02-10-20-22,0.0013899920571882446,0,0.1032689594287888,Phase,3
02-11-21,1.9857029388403494e-4,3.971405877680699e-4,0.1032689594287888,Phase,3
02-12,0.0011914217633042098,0,0.1032689594287888,Phase,3
02-12-20,0.10603653693407467,0.15369340746624305,0.1032689594287888,Phase,3
02-12-20-22,0.0015885623510722795,0,0.1032689594287888,Phase,3
02-12-21,0.0011914217633042098,0.0013899920571882446,0.1032689594287888,Phase,3
02-20,0.11854646544876886,0,0.1032689594287888,Phase,3
02-20-21,0.09173947577442415,0.1358220810166799,0.1032689594287888,Phase,3
02-20-21-22,1.9857029388403494e-4,0,0.1032689594287888,Phase,3
02-20-22,0.18606036536934076,0.20194598888006354,0.1032689594287888,Phase,3
02-21,0.01926131850675139,0,0.1032689594287888,Phase,3
02-21-22,0.011517077045274026,0.014098490865766481,0.1032689594287888,Phase,3
02-22,0.004368546465448769,0,0.1032689594287888,Phase,3
10-12-20,0,1.9857029388403494e-4,0.1032689594287888,Phase,3
10-20,5.957108816521049e-4,0,0.1032689594287888,Phase,3
11-12-20,7.942811755361397e-4,9.928514694201747e-4,0.1032689594287888,Phase,3
12,5.957108816521049e-4,0,0.1032689594287888,Phase,3
12-20,0.021445591739475776,0,0.1032689594287888,Phase,3
12-20-21,1.9857029388403494e-4,3.971405877680699e-4,0.1032689594287888,Phase,3
12-20-22,0.010921366163621922,0.012907069102462271,0.1032689594287888,Phase,3
12-21,1.9857029388403494e-4,0,0.1032689594287888,Phase,3
20,0.0013899920571882446,0,0.1032689594287888,Phase,3
20-21,0.0013899920571882446,0,0.1032689594287888,Phase,3
20-22,0.0055599682287529786,0,0.1032689594287888,Phase,3
21,5.957108816521049e-4,0,0.1032689594287888,Phase,3
Monostable,0.006354249404289118,0,0.0031844292914874404,monoMulti,3
Multistable,0.9936457505957109,1,0.0031844292914874404,monoMulti,3
1,0.006354249404289118,0,0.10084455908482598,nState,3
2,0.176131850675139,0,0.10084455908482598,nState,3
3,0.812351072279587,1,0.10084455908482598,nState,3
4,0.004765687053216839,0,0.10084455908482598,nState,3
5,3.971405877680699e-4,0,0.10084455908482598,nState,3
00-02,0.004690706537672237,0.004983875696276752,0.03283291373229435,Phase,2
00-02-20,2.931691586045148e-4,0,0.03283291373229435,Phase,2
00-20,0.003518029903254178,0.004104368220463207,0.03283291373229435,Phase,2
01-02,0.006156552330694811,0.00732922896511287,0.03283291373229435,Phase,2
01-20,2.931691586045148e-4,2.931691586045148e-4,0.03283291373229435,Phase,2
02,0.024626209322779244,0,0.03283291373229435,Phase,2
02-10,5.863383172090296e-4,5.863383172090296e-4,0.03283291373229435,Phase,2
02-12,0.01465845793022574,0.022280856053943126,0.03283291373229435,Phase,2
02-20,0.7892113749633538,0.8261506889475227,0.03283291373229435,Phase,2
02-20-22,0.008795074758135445,0,0.03283291373229435,Phase,2
02-21,0.012606273819994136,0.012019935502785108,0.03283291373229435,Phase,2
02-22,0.03664614482556435,0.040457343887423045,0.03283291373229435,Phase,2
10-20,0.003518029903254178,0.0038111990618586926,0.03283291373229435,Phase,2
12,0.0032248607446496626,0,0.03283291373229435,Phase,2
12-20,0.008795074758135445,0.008795074758135445,0.03283291373229435,Phase,2
12-20-21,5.863383172090296e-4,0,0.03283291373229435,Phase,2
12-21,2.931691586045148e-4,2.931691586045148e-4,0.03283291373229435,Phase,2
12-22,0.002638522427440633,0.0032248607446496626,0.03283291373229435,Phase,2
20,0.018469656992084433,0,0.03283291373229435,Phase,2
20-21,0.014072119613016711,0.022280856053943126,0.03283291373229435,Phase,2
20-22,0.03723248314277338,0.039871005570214016,0.03283291373229435,Phase,2
21,0.002931691586045148,0,0.03283291373229435,Phase,2
21-22,0.002931691586045148,0.003518029903254178,0.03283291373229435,Phase,2
22,0.0032248607446496626,0,0.03283291373229435,Phase,2
Monostable,0.05247727939020815,0,0.026748706668898867,monoMulti,2
Multistable,0.9475227206097918,1,0.026748706668898867,monoMulti,2
1,0.05247727939020815,0,0.03179501141059134,nState,2
2,0.9378481383758429,1,0.03179501141059134,nState,2
3,0.009674582233948988,0,0.03179501141059134,nState,2
00-01-20,0.0015527950310559005,0,0.2369559188917923,Phase,4
00-01-20-21,0,0.0015527950310559005,0.2369559188917923,Phase,4
00-02-12-20,0.05745341614906832,0.08695652173913043,0.2369559188917923,Phase,4
00-02-20,0.046583850931677016,0,0.2369559188917923,Phase,4
00-02-20-21,0.052795031055900624,0.11024844720496894,0.2369559188917923,Phase,4
00-02-20-22,0.03881987577639751,0.059006211180124224,0.2369559188917923,Phase,4
00-02-21,0.003105590062111801,0,0.2369559188917923,Phase,4
00-20,0.0015527950310559005,0,0.2369559188917923,Phase,4
01-02-10,0.0015527950310559005,0,0.2369559188917923,Phase,4
01-02-10-20,0.11335403726708075,0.15993788819875776,0.2369559188917923,Phase,4
01-02-11-12,0.0015527950310559005,0.003105590062111801,0.2369559188917923,Phase,4
01-02-20,0.029503105590062112,0,0.2369559188917923,Phase,4
01-02-20-22,0.13198757763975155,0.2127329192546584,0.2369559188917923,Phase,4
01-02-21-22,0.015527950310559006,0.017080745341614908,0.2369559188917923,Phase,4
02,0.0015527950310559005,0,0.2369559188917923,Phase,4
02-10-20,0.043478260869565216,0,0.2369559188917923,Phase,4
02-10-20-22,0.09316770186335403,0.15993788819875776,0.2369559188917923,Phase,4
02-12,0.0015527950310559005,0,0.2369559188917923,Phase,4
02-12-20,0.037267080745341616,0,0.2369559188917923,Phase,4
02-12-20-21,0.08850931677018634,0.17391304347826086,0.2369559188917923,Phase,4
02-12-20-22,0.0015527950310559005,0,0.2369559188917923,Phase,4
02-12-21,0.018633540372670808,0,0.2369559188917923,Phase,4
02-20,0.024844720496894408,0,0.2369559188917923,Phase,4
02-20-21,0.043478260869565216,0,0.2369559188917923,Phase,4
02-20-22,0.11801242236024845,0,0.2369559188917923,Phase,4
02-21,0.0015527950310559005,0,0.2369559188917923,Phase,4
02-21-22,0.0015527950310559005,0,0.2369559188917923,Phase,4
02-22,0.0015527950310559005,0,0.2369559188917923,Phase,4
10-11-20-21,0.0015527950310559005,0.003105590062111801,0.2369559188917923,Phase,4
10-12-20-22,0.006211180124223602,0.009316770186335404,0.2369559188917923,Phase,4
10-21,0.0015527950310559005,0,0.2369559188917923,Phase,4
11-12-21-22,0.003105590062111801,0.003105590062111801,0.2369559188917923,Phase,4
12-20,0.0015527950310559005,0,0.2369559188917923,Phase,4
12-20-21,0.009316770186335404,0,0.2369559188917923,Phase,4
12-20-22,0.003105590062111801,0,0.2369559188917923,Phase,4
12-21,0.0015527950310559005,0,0.2369559188917923,Phase,4
