Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.027338547816316304,0.0029150381615704038,1-10
monoMulti,2,0.15286642645440326,0.005259742752241231,1-10
monoMulti,3,0.0531670432155149,0.0034330410350747686,1-10
monoMulti,4,0.03214481818334947,0.006091166542170451,1-10
monoMulti,5,0.02138993806195178,0.007252617427574786,1-10
nState,1,0.027338547816316304,0.0029150381615704038,1-10
nState,2,0.17490474207375004,0.006569668091549603,1-10
nState,3,0.4901801955703452,0.008660460711826003,1-10
nState,4,0.8234857280497648,0.00650229204749254,1-10
nState,5,0.88455905241185,0.017233514180658636,1-10
Phase,1,0.029495919648134212,0.0019281730675218124,1-10
Phase,2,0.18475629392198453,0.008153234084776598,1-10
Phase,3,0.49892497874169506,0.008510126144817385,1-10
Phase,4,0.8409873989848339,0.006249822406672312,1-10
Phase,5,0.888197452995893,0.01940069295385731,1-10
monoMulti,1,0.019916490165233378,0.007536051617693426,11-20
monoMulti,2,0.04627714702531423,0.002648718405655999,11-20
monoMulti,3,0.008135505606482216,0.0014224803677136617,11-20
monoMulti,4,0.004947734822436057,0.0012482609884768904,11-20
monoMulti,5,0,0,11-20
nState,1,0.019916490165233378,0.007536051617693426,11-20
nState,2,0.06501338274263833,0.0020563939482253213,11-20
nState,3,0.2229190948349431,8.067250526096175e-4,11-20
nState,4,0.5340282559483481,0.016406206988713624,11-20
nState,5,0.6289537216818318,0.01137554993486446,11-20
Phase,1,0.01994549767216989,0.007575641121380869,11-20
Phase,2,0.06744825909031364,0.002505149468480446,11-20
Phase,3,0.22723432908852825,0.0012644680530449145,11-20
Phase,4,0.5472261231603631,0.016757713930209014,11-20
Phase,5,0.6371985306132985,0.011046488546073414,11-20
monoMulti,1,0.014572762327875468,0.003020324762595513,21-30
monoMulti,2,0.034237994215318784,0.0036851228304971913,21-30
monoMulti,3,0.0048914181638569565,3.338257785729968e-4,21-30
monoMulti,4,0.0017184969554629409,0.0016761761074690802,21-30
monoMulti,5,0,0,21-30
nState,1,0.014572762327875468,0.003020324762595513,21-30
nState,2,0.04682562567780911,0.002773816239286508,21-30
nState,3,0.16315073482831757,0.006302215796027052,21-30
nState,4,0.4216917803953932,0.007139008357734021,21-30
nState,5,0.4707709041229182,0.03211489784537314,21-30
Phase,1,0.014617140628836307,0.0029825156034910334,21-30
Phase,2,0.048306914612629946,0.00255310704850468,21-30
Phase,3,0.16602510315617774,0.006244380117252879,21-30
Phase,4,0.4301727962285862,0.009338200785768039,21-30
Phase,5,0.47605828007732176,0.030964996036929655,21-30
monoMulti,1,0.010696468905293964,0.0018124967828083947,31-40
monoMulti,2,0.027953121101385918,9.081784158804638e-4,31-40
monoMulti,3,0.0035826736629691837,2.3261641756294263e-4,31-40
monoMulti,4,0.0012001378816976279,0.0014954203171877387,31-40
monoMulti,5,6.419165900483866e-4,0.001111832148185168,31-40
nState,1,0.01069646890529396,0.0018124967828083924,31-40
nState,2,0.0374156646652629,0.0021040803422318127,31-40
nState,3,0.13490908249195455,4.1184363221909083e-4,31-40
nState,4,0.3460303950711346,0.010143381275790541,31-40
nState,5,0.4054007232282578,0.02446437441825594,31-40
Phase,1,0.010719323717358576,0.0018316525355214716,31-40
Phase,2,0.038617651382782836,0.001957547270031486,31-40
Phase,3,0.13741550803376526,5.52861275106562e-4,31-40
Phase,4,0.3503349077565725,0.010913550775016918,31-40
Phase,5,0.40886162179181107,0.025742772407087066,31-40
monoMulti,1,0.009755017309358044,0.0023900308554308134,41-50
monoMulti,2,0.028025369699167815,0.00344005340549519,41-50
monoMulti,3,0.003097553690662003,3.619681424219062e-4,41-50
monoMulti,4,0.0010247643500351134,0.0017749439200461137,41-50
monoMulti,5,0,0,41-50
