Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.020520812803611604,0.0015628216802745295,2-11
monoMulti,2,0.10803572796177023,0.0012394510310312398,2-11
monoMulti,3,0.02843164735409713,0.0026201219315625263,2-11
monoMulti,4,0.019417041614373257,0.006238967125470683,2-11
monoMulti,5,0.004119359975469693,0.003614355471357134,2-11
nState,1,0.020520812803611604,0.0015628216802745295,2-11
nState,2,0.13187200534659507,0.0013680197768186832,2-11
nState,3,0.43147737950521503,0.0061080170500266776,2-11
nState,4,0.7882704911692581,0.018479813704068326,2-11
nState,5,0.8743757839461828,0.05574669802299366,2-11
Phase,1,0.020531831292074712,0.001564189912025132,2-11
Phase,2,0.13952091471560518,0.003150458712964376,2-11
Phase,3,0.4399121651767347,0.007329055163923383,2-11
Phase,4,0.8102065845975573,0.015177691023003285,2-11
Phase,5,0.8765282093176582,0.05495279536990605,2-11
monoMulti,1,0.0249894957719169,0.005568363046068121,7-16
monoMulti,2,0.05550325866346048,0.0017911123878908046,7-16
monoMulti,3,0.01113306951889049,0.0022693201183301144,7-16
monoMulti,4,0.004494573956076621,0.0034950673633236196,7-16
monoMulti,5,0,0,7-16
nState,1,0.0249894957719169,0.005568363046068121,7-16
nState,2,0.07849220332546171,0.0023586345389895328,7-16
nState,3,0.2728452548958612,0.00643219371455448,7-16
nState,4,0.6192884042586496,0.02024951093544655,7-16
nState,5,0.6698251959843956,0.025027254340318408,7-16
Phase,1,0.025090222830416106,0.005589319144246269,7-16
Phase,2,0.08213040741238577,0.002923215426146064,7-16
Phase,3,0.27778857237278826,0.006638923010543297,7-16
Phase,4,0.6397600623657965,0.013732798146872519,7-16
Phase,5,0.6728129293560899,0.02518040438851903,7-16
monoMulti,1,0.02038096619921174,0.006608142363110976,12-21
monoMulti,2,0.040843851945757,8.312160198629684e-4,12-21
monoMulti,3,0.007260215234308717,4.937958045440108e-4,12-21
monoMulti,4,0.00321429909597741,7.885023737574464e-4,12-21
monoMulti,5,0,0,12-21
