Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0067,0.0072,0.0087,0.007533333333333333,0.0010408329997330659,1-10,2
0002,3e-4,3e-4,1e-4,2.3333333333333333e-4,1.1547005383792513e-4,1-10,1
0002-0021-2020,6e-4,7e-4,2e-4,5e-4,2.6457513110645904e-4,1-10,3
0002-1020,1e-4,1e-4,NA,NA,NA,1-10,2
0002-2001-2020,4e-4,4e-4,8e-4,5.333333333333334e-4,2.309401076758503e-4,1-10,3
0002-2020,0.0022,0.0019,0.0015,0.0018666666666666666,3.5118845842842467e-4,1-10,2
0012,3e-4,1e-4,6e-4,3.333333333333333e-4,2.516611478423583e-4,1-10,1
0012-0020-0102,1e-4,NA,NA,NA,NA,1-10,3
0012-0020-0202,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,3
0012-0021-0202,1e-4,2e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,3
0012-0021-0202-1200-2020-2100,1e-4,NA,NA,NA,NA,1-10,6
0012-0021-0202-2020,0.0033,0.004,0.0038,0.0037,3.60555127546399e-4,1-10,4
0012-0021-2020,2e-4,2e-4,4e-4,2.666666666666667e-4,1.1547005383792516e-4,1-10,3
0012-0102-1020,1e-4,1e-4,NA,NA,NA,1-10,3
0012-0102-1020-1100,1e-4,NA,NA,NA,NA,1-10,4
0012-0102-2020,5e-4,1e-4,1e-4,2.3333333333333333e-4,2.309401076758503e-4,1-10,3
0012-0202,9e-4,7e-4,0.0018,0.0011333333333333334,5.859465277082316e-4,1-10,2
0012-0202-1011-1020,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0012-0202-1020,7e-4,9e-4,5e-4,7e-4,1.9999999999999998e-4,1-10,3
0012-0202-1200-2020,4e-4,NA,NA,NA,NA,1-10,4
0012-0202-2010,1e-4,NA,NA,NA,NA,1-10,3
0012-0202-2011,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0012-0202-2011-2020,0.0027,0.0035,0.0039,0.0033666666666666667,6.110100926607785e-4,1-10,4
0012-0202-2011-2020-2101,1e-4,1e-4,NA,NA,NA,1-10,5
0012-0202-2020,0.025,0.0203,0.0228,0.0227,0.0023515952032609707,1-10,3
0012-0202-2020-2100,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0012-0202-2020-2200,1e-4,NA,NA,NA,NA,1-10,4
0012-1020,1e-4,NA,NA,NA,NA,1-10,2
0012-2011-2020,1e-4,NA,NA,NA,NA,1-10,3
0012-2020,0.0019,0.0015,0.0012,0.0015333333333333334,3.5118845842842467e-4,1-10,2
0020,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,1
0020-0102,3e-4,3e-4,3e-4,3e-4,0,1-10,2
0020-0200,1e-4,NA,NA,NA,NA,1-10,2
0020-0201,1e-4,NA,NA,NA,NA,1-10,2
0020-0202,0.0018,0.0024,0.0026,0.0022666666666666664,4.163331998932265e-4,1-10,2
0020-0202-0210,3e-4,4e-4,NA,NA,NA,1-10,3
0021-0102-2020,4e-4,8e-4,9e-4,7e-4,2.6457513110645904e-4,1-10,3
0021-0201-2020,1e-4,NA,NA,NA,NA,1-10,3
0021-0202,0.0017,0.0022,0.0021,0.002,2.6457513110645915e-4,1-10,2
0021-0202-0211,5e-4,3e-4,1e-4,3e-4,2e-4,1-10,3
0021-0202-0211-1210-2020,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0021-0202-0211-2020,0.0032,0.0032,0.0032,0.0032,0,1-10,4
0021-0202-0211-2020-2210,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,5
0021-0202-1020,4e-4,0.001,3e-4,5.666666666666667e-4,3.7859388972001824e-4,1-10,3
0021-0202-1200-2020-2100,1e-4,NA,NA,NA,NA,1-10,5
0021-0202-2020,0.0207,0.0203,0.0226,0.0212,0.0012288205727444507,1-10,3
0021-0202-2020-2100,1e-4,NA,NA,NA,NA,1-10,4
0021-0202-2020-2200,1e-4,NA,NA,NA,NA,1-10,4
0021-2020,6e-4,0.0014,0.0011,0.0010333333333333334,4.0414518843273807e-4,1-10,2
0022,1e-4,3e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,1
0022-0102-2020,2e-4,2e-4,NA,NA,NA,1-10,3
0022-0202,0.0014,0.0014,0.0015,0.0014333333333333333,5.7735026918962605e-5,1-10,2
0022-0202-1020,1e-4,6e-4,2e-4,3e-4,2.6457513110645904e-4,1-10,3
0022-0202-1201-2020,1e-4,1e-4,3e-4,1.6666666666666666e-4,1.1547005383792513e-4,1-10,4
0022-0202-1210-2020,1e-4,NA,NA,NA,NA,1-10,4
0022-0202-2020,0.0102,0.0123,0.0106,0.011033333333333334,0.0011150485789118486,1-10,3
0022-0202-2020-2100,1e-4,NA,NA,NA,NA,1-10,4
0022-0202-2020-2101,1e-4,2e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,4
0022-0202-2020-2110,1e-4,1e-4,NA,NA,NA,1-10,4
0022-0202-2020-2200,1e-4,NA,NA,NA,NA,1-10,4
0022-0202-2021,5e-4,3e-4,4e-4,4e-4,1.0000000000000002e-4,1-10,3
0022-0212-2020,6e-4,5e-4,4e-4,5e-4,9.999999999999996e-5,1-10,3
0022-0212-2021,2e-4,1e-4,NA,NA,NA,1-10,3
0022-2020,0.0018,0.0012,0.0018,0.0015999999999999999,3.4641016151377546e-4,1-10,2
0101-2020,1e-4,NA,1e-4,NA,NA,1-10,2
0102,4e-4,1e-4,2e-4,2.3333333333333333e-4,1.5275252316519468e-4,1-10,1
0102-1002-2001-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,4
0102-1002-2020,7e-4,1e-4,7e-4,5e-4,3.4641016151377546e-4,1-10,3
0102-1020,1e-4,1e-4,1e-4,1e-4,0,1-10,2
0102-1101-1120-2001-2020,1e-4,NA,NA,NA,NA,1-10,5
0102-1101-2001-2020,1e-4,1e-4,NA,NA,NA,1-10,4
0102-2001-2020,6e-4,6e-4,9e-4,7e-4,1.7320508075688773e-4,1-10,3
0102-2010,1e-4,1e-4,NA,NA,NA,1-10,2
0102-2020,0.0043,0.0051,0.0052,0.004866666666666667,4.932882862316247e-4,1-10,2
0111-0120-0201-2020,1e-4,NA,NA,NA,NA,1-10,4
0111-2020,1e-4,1e-4,1e-4,1e-4,0,1-10,2
0112,1e-4,NA,NA,NA,NA,1-10,1
0112-0120-0202,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0112-0120-0202-1012-2020,3e-4,NA,3e-4,NA,NA,1-10,5
0112-0120-0202-2020,0.0024,0.0026,0.0032,0.0027333333333333333,4.163331998932267e-4,1-10,4
0112-0121-0202,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,3
0112-0121-0202-1012-1021-2020,4e-4,2e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,1-10,6
0112-0121-0202-2012-2020,2e-4,NA,NA,NA,NA,1-10,5
0112-0121-0202-2020,0.0014,0.001,0.0012,0.0012,1.9999999999999998e-4,1-10,4
0112-0121-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0112-0202,6e-4,1e-4,1e-4,2.666666666666667e-4,2.8867513459481284e-4,1-10,2
0112-0202-1012,1e-4,NA,2e-4,NA,NA,1-10,3
0112-0202-1012-2011-2020,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0112-0202-1012-2020,8e-4,9e-4,0.0013,0.001,2.6457513110645904e-4,1-10,4
