Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0053,0.0059,0.0054,0.005533333333333334,3.2145502536643167e-4,1,2
0000,1e-4,NA,NA,NA,NA,1,1
0001-0020,1e-4,3e-4,NA,NA,NA,1,2
0001-2000,1e-4,1e-4,1e-4,1e-4,0,1,2
0002,0.0018,0.0011,0.0019,0.0016,4.358898943540673e-4,1,1
0002-0010,1e-4,1e-4,NA,NA,NA,1,2
0002-0011-2010,1e-4,NA,NA,NA,NA,1,3
0002-0020,0.0019,0.0011,0.0019,0.0016333333333333334,4.6188021535170057e-4,1,2
0002-0021,3e-4,6e-4,NA,NA,NA,1,2
0002-0021-1020,1e-4,NA,NA,NA,NA,1,3
0002-0021-2020,0.0012,0.0015,0.0014,0.0013666666666666666,1.5275252316519474e-4,1,3
0002-1001-1020,2e-4,NA,NA,NA,NA,1,3
0002-1010,2e-4,NA,NA,NA,NA,1,2
0002-1020,0.0015,0.0018,0.0018,0.0017,1.7320508075688767e-4,1,2
0002-2000,0.0015,0.001,0.002,0.0015,5e-4,1,2
0002-2001,1e-4,2e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,1,2
0002-2001-2020,0.0024,0.0015,0.0015,0.0018,5.19615242270663e-4,1,3
0002-2010,0.0013,0.001,0.0016,0.0013,3.0000000000000003e-4,1,2
0002-2020,0.0202,0.0202,0.017,0.019133333333333332,0.0018475208614068014,1,2
0010-0200,1e-4,NA,NA,NA,NA,1,2
0011-0020,1e-4,NA,NA,NA,NA,1,2
0011-0201,1e-4,NA,2e-4,NA,NA,1,2
0011-0201-2010,3e-4,8e-4,3e-4,4.6666666666666666e-4,2.886751345948129e-4,1,3
0011-0201-2010-2100,1e-4,NA,NA,NA,NA,1,4
0012-0020-0202,0.0018,0.002,0.0011,0.0016333333333333334,4.725815626252608e-4,1,3
0012-0021-0102-2020,2e-4,NA,NA,NA,NA,1,4
0012-0021-0202,4e-4,4e-4,3e-4,3.6666666666666667e-4,5.7735026918962605e-5,1,3
0012-0021-0202-2020,0.0023,0.002,0.0019,0.0020666666666666667,2.0816659994661325e-4,1,4
0012-0021-2020,5e-4,2e-4,1e-4,2.666666666666667e-4,2.0816659994661328e-4,1,3
0012-0102-1020,2e-4,2e-4,2e-4,2e-4,0,1,3
0012-0102-2011-2020,1e-4,NA,NA,NA,NA,1,4
0012-0102-2020,0.0012,7e-4,0.0012,0.0010333333333333332,2.8867513459481284e-4,1,3
0012-0202,4e-4,4e-4,0.0011,6.333333333333334e-4,4.0414518843273807e-4,1,2
0012-0202-1011-1020,1e-4,2e-4,NA,NA,NA,1,4
0012-0202-1020,0.0017,0.0031,0.0014,0.0020666666666666667,9.073771725877465e-4,1,3
0012-0202-1200-2020,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1,4
0012-0202-2010,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,3
0012-0202-2010-2100,1e-4,NA,NA,NA,NA,1,4
0012-0202-2011,3e-4,NA,NA,NA,NA,1,3
0012-0202-2011-2020,0.0015,0.0021,0.0022,0.0019333333333333333,3.7859388972001824e-4,1,4
0012-0202-2011-2020-2101,2e-4,NA,3e-4,NA,NA,1,5
0012-0202-2020,0.0228,0.0239,0.024,0.023566666666666666,6.658328118479392e-4,1,3
0012-0202-2020-2100,3e-4,2e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1,4
0012-1020,3e-4,5e-4,2e-4,3.333333333333333e-4,1.5275252316519468e-4,1,2
0012-2011-2020,5e-4,1e-4,3e-4,3e-4,2e-4,1,3
0012-2020,0.004,0.0024,0.0041,0.0035,9.53939201416946e-4,1,2
0020,0.0016,0.0023,0.0016,0.0018333333333333333,4.0414518843273796e-4,1,1
0020-0100,2e-4,NA,NA,NA,NA,1,2
0020-0102,0.0011,8e-4,0.0011,0.001,1.7320508075688773e-4,1,2
0020-0102-0110,1e-4,NA,3e-4,NA,NA,1,3
0020-0200,0.0013,0.0016,0.0011,0.0013333333333333333,2.5166114784235834e-4,1,2
0020-0201,6e-4,6e-4,9e-4,7e-4,1.7320508075688773e-4,1,2
0020-0201-0210,2e-4,NA,1e-4,NA,NA,1,3
0020-0202,0.0182,0.0177,0.0203,0.018733333333333334,0.001379613472438324,1,2
0020-0202-0210,8e-4,0.001,0.0021,0.0013,6.999999999999999e-4,1,3
0020-0210,1e-4,3e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1,2
0021,2e-4,2e-4,NA,NA,NA,1,1
0021-0102,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1,2
0021-0102-1020,3e-4,NA,NA,NA,NA,1,3
0021-0102-2020,0.003,0.0016,0.0012,0.0019333333333333333,9.451631252505218e-4,1,3
0021-0201,1e-4,NA,NA,NA,NA,1,2
0021-0201-2020,1e-4,2e-4,NA,NA,NA,1,3
0021-0202,0.0034,0.0039,0.0025,0.0032666666666666664,7.094598884597586e-4,1,2
0021-0202-0211,1e-4,6e-4,2e-4,3e-4,2.6457513110645904e-4,1,3
0021-0202-0211-1020,2e-4,NA,NA,NA,NA,1,4
0021-0202-0211-2020,0.002,0.0018,0.0018,0.0018666666666666666,1.1547005383792521e-4,1,4
0021-0202-1020,9e-4,0.001,9e-4,9.333333333333333e-4,5.7735026918962605e-5,1,3
0021-0202-1200-2020,3e-4,4e-4,NA,NA,NA,1,4
0021-0202-2020,0.022,0.0239,0.0222,0.0227,0.0010440306508910557,1,3
0021-0202-2020-2100,2e-4,5e-4,2e-4,3.0000000000000003e-4,1.7320508075688773e-4,1,4
0021-0211-2020,1e-4,3e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1,3
0021-2020,9e-4,6e-4,8e-4,7.666666666666667e-4,1.5275252316519468e-4,1,2
0022,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,1
0022-0102-2020,1e-4,2e-4,NA,NA,NA,1,3
0022-0202,3e-4,1e-4,1e-4,1.6666666666666666e-4,1.1547005383792513e-4,1,2
0022-0202-2020,0.002,0.0012,0.0017,0.0016333333333333332,4.041451884327381e-4,1,3
0022-0212,1e-4,NA,NA,NA,NA,1,2
0022-0212-2020,1e-4,NA,1e-4,NA,NA,1,3
0022-2020,5e-4,3e-4,1e-4,3e-4,2e-4,1,2
0100-2000,1e-4,1e-4,1e-4,1e-4,0,1,2
0101-0110-2010,1e-4,NA,NA,NA,NA,1,3
0101-2020,5e-4,0.0012,0.001,9e-4,3.605551275463989e-4,1,2
