Phase,Count,Frequency
0002-0021-2020,1,1e-4
0002-2020,1,1e-4
0012,1,1e-4
0012-0021-0202,4,4e-4
0012-0021-0202-2020,10,0.001
0012-0021-2020,3,3e-4
0012-0022-0202,1,1e-4
0012-0022-0202-2020,4,4e-4
0012-0022-2020,2,2e-4
0012-0202,7,7e-4
0012-0202-2011-2020,4,4e-4
0012-0202-2011-2020-2201,1,1e-4
0012-0202-2012-2020,1,1e-4
0012-0202-2020,62,0.0062
0012-0202-2021,1,1e-4
0012-0212-2020,2,2e-4
0012-2011-2020,1,1e-4
0012-2020,8,8e-4
0020-0202,1,1e-4
0021,1,1e-4
0021-0022-0202,1,1e-4
0021-0022-0202-2020,2,2e-4
0021-0102-2020,2,2e-4
0021-0112-0202-2020,1,1e-4
0021-0202,12,0.0012
0021-0202-0211,1,1e-4
0021-0202-0211-2020,4,4e-4
0021-0202-0221-2020,3,3e-4
0021-0202-2020,64,0.0064
0021-0202-2020-2211,1,1e-4
0021-0202-2021,2,2e-4
0021-0212-2020,2,2e-4
0021-2020,8,8e-4
0022,2,2e-4
0022-0102-2020,3,3e-4
0022-0112-2020,1,1e-4
0022-0202,15,0.0015
0022-0202-0212-2020,1,1e-4
0022-0202-1020,1,1e-4
0022-0202-2020,124,0.0124
0022-0202-2020-2101,1,1e-4
0022-0202-2020-2201,1,1e-4
0022-0202-2021,5,5e-4
0022-0202-2021-2201,1,1e-4
0022-0212,1,1e-4
0022-0212-2020,11,0.0011
0022-1020,1,1e-4
0022-2020,17,0.0017
0102-1020,1,1e-4
0102-2001-2020,1,1e-4
0102-2002-2020,1,1e-4
0102-2020,12,0.0012
0112-0120-0202-2020,5,5e-4
0112-0120-0202-2120,1,1e-4
0112-0120-2020,1,1e-4
0112-0121-0202-1120-2012-2020,1,1e-4
0112-0121-0202-2020,5,5e-4
0112-0121-0202-2120,2,2e-4
0112-0122-0202-1120-2020,1,1e-4
0112-0122-0202-2020,1,1e-4
0112-0202,4,4e-4
0112-0202-1012,1,1e-4
0112-0202-1012-2011-2020,1,1e-4
0112-0202-1012-2020,3,3e-4
0112-0202-1120-2020,1,1e-4
0112-0202-2012-2020,5,5e-4
0112-0202-2020,29,0.0029
0112-0202-2020-2120,1,1e-4
0112-0202-2020-2201,1,1e-4
0112-0202-2111-2120-2201,1,1e-4
0112-0212-2020,1,1e-4
0112-1012-2020,1,1e-4
0112-1012-2021,1,1e-4
0112-2020,7,7e-4
0120-0121-0202-2020,1,1e-4
0120-0201-2020,1,1e-4
0120-0202,5,5e-4
0120-0202-0210-2020,6,6e-4
0120-0202-0220-2020,4,4e-4
0120-0202-1002-2020,1,1e-4
0120-0202-1020,1,1e-4
0120-0202-2011-2020,1,1e-4
0120-0202-2020,58,0.0058
0120-0212-2020,1,1e-4
0120-0220-2020,1,1e-4
0120-2020,5,5e-4
0121-0122-0202,1,1e-4
0121-0122-0202-2020,1,1e-4
0121-0202,8,8e-4
0121-0202-0211-1021-2020,1,1e-4
0121-0202-0211-2020,7,7e-4
0121-0202-0211-2020-2210,1,1e-4
0121-0202-0221-2020,2,2e-4
0121-0202-1002-2020,1,1e-4
0121-0202-1021-2020,10,0.001
0121-0202-1120-2020,6,6e-4
0121-0202-2020,85,0.0085
0121-0202-2021,1,1e-4
0121-0211-2020,2,2e-4
0121-0212-2021,1,1e-4
0121-1021-2020,1,1e-4
0121-2020,4,4e-4
0122,2,2e-4
0122-0202,9,9e-4
0122-0202-0212-2020,1,1e-4
0122-0202-1022-2020,11,0.0011
0122-0202-1022-2021,2,2e-4
0122-0202-1120,1,1e-4
0122-0202-1120-1220-2020,1,1e-4
0122-0202-1120-2020,16,0.0016
0122-0202-1210-2020,1,1e-4
0122-0202-2020,111,0.0111
0122-0202-2020-2022,2,2e-4
0122-0202-2020-2120,1,1e-4
0122-0202-2021,8,8e-4
0122-0202-2022,2,2e-4
0122-0202-2120,2,2e-4
0122-0212-1022-2020,1,1e-4
0122-0212-2020,1,1e-4
0122-0212-2022,1,1e-4
0122-0222-2020,1,1e-4
0122-1021,1,1e-4
0122-1022,1,1e-4
0122-1022-2020,1,1e-4
0122-2020,13,0.0013
0122-2021,3,3e-4
0200-2020,2,2e-4
0200-2020-2100,1,1e-4
0201-0210-2020,1,1e-4
0201-0220-2020,2,2e-4
0201-2020,5,5e-4
0201-2020-2100,2,2e-4
0202,649,0.0649
0202-0210,7,7e-4
0202-0210-0220-1210-1220-2120,1,1e-4
0202-0210-0220-2020,1,1e-4
0202-0210-2020,73,0.0073
0202-0210-2020-2101-2110,1,1e-4
0202-0210-2020-2110,4,4e-4
0202-0210-2020-2210,2,2e-4
0202-0210-2120,1,1e-4
0202-0211,4,4e-4
0202-0211-0221-1021-2020,2,2e-4
0202-0211-0221-2020,1,1e-4
0202-0211-1012-1021-2020,1,1e-4
0202-0211-1021-2020,6,6e-4
0202-0211-1021-2020-2210,2,2e-4
0202-0211-1120-2020,1,1e-4
0202-0211-1121-2120,1,1e-4
0202-0211-1210,1,1e-4
0202-0211-1210-2020,3,3e-4
0202-0211-2020,40,0.004
0202-0211-2020-2110,5,5e-4
0202-0211-2020-2120,1,1e-4
0202-0211-2020-2210,8,8e-4
0202-0211-2021,1,1e-4
0202-0211-2120-2210,2,2e-4
0202-0211-2210,1,1e-4
0202-0212-0221-1220-2020,1,1e-4
0202-0212-1220-2020,1,1e-4
0202-0212-2020,5,5e-4
0202-0212-2020-2110,1,1e-4
0202-0220,28,0.0028
0202-0220-1020,1,1e-4
0202-0220-2012-2020,1,1e-4
0202-0220-2020,136,0.0136
0202-0220-2020-2101,1,1e-4
0202-0220-2020-2120,1,1e-4
0202-0220-2120,10,0.001
0202-0221,10,0.001
0202-0221-1012-2020,1,1e-4
0202-0221-1021,1,1e-4
0202-0221-1021-1102-2020,1,1e-4
0202-0221-1021-2020,4,4e-4
0202-0221-1220,1,1e-4
0202-0221-1220-2020,11,0.0011
0202-0221-2002-2020,1,1e-4
0202-0221-2002-2021,1,1e-4
0202-0221-2012-2020,2,2e-4
0202-0221-2020,100,0.01
0202-0221-2020-2021,1,1e-4
0202-0221-2020-2120,2,2e-4
0202-0221-2021,2,2e-4
0202-0221-2120,9,9e-4
0202-0221-2220,3,3e-4
0202-0222-1022,1,1e-4
0202-0222-1220-2020,1,1e-4
0202-0222-2020,11,0.0011
0202-0222-2022,1,1e-4
0202-0222-2120,2,2e-4
0202-1002,5,5e-4
0202-1002-1021,1,1e-4
0202-1002-1021-2020,4,4e-4
0202-1002-1022-2020,2,2e-4
0202-1002-2001-2010,1,1e-4
0202-1002-2001-2020,4,4e-4
0202-1002-2002-2020,4,4e-4
0202-1002-2010,2,2e-4
0202-1002-2020,66,0.0066
0202-1012,5,5e-4
0202-1012-1021-2020,4,4e-4
0202-1012-1022-1102-2020,1,1e-4
0202-1012-1022-2020,4,4e-4
0202-1012-1102-2020,5,5e-4
0202-1012-2010,1,1e-4
0202-1012-2011,1,1e-4
0202-1012-2011-2020,6,6e-4
0202-1012-2011-2020-2201,1,1e-4
0202-1012-2012-2020,1,1e-4
0202-1012-2020,81,0.0081
0202-1012-2021,1,1e-4
0202-1020,5,5e-4
0202-1021,8,8e-4
0202-1021-1022-2020,1,1e-4
0202-1021-1102-2020,3,3e-4
0202-1021-1210-2020,1,1e-4
0202-1021-2020,33,0.0033
