parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,3,0202-1012-2020,0202,0202-1012-2020,3,0.4,-4.284114,5.249206,-4.661245,3.229206,0.4
1,3,0202-1012-2020,1012,0202-1012-2020,3,0.06,1.727237,-6.036291,1.790018,2.425398,0.06
1,3,0202-1012-2020,2020,0202-1012-2020,3,0.54,7.049978,-6.055468,5.801138,-3.504327,0.54
2,2,0202-2020,0202,0202-2020,2,0.17,-3.201562,5.617096,-3.522245,6.491728,0.17
2,2,0202-2020,2020,0202-2020,2,0.83,7.06363,-3.999236,7.621194,-5.672419,0.83
3,2,0202-2120,2120,0202-2120,2,0.69,4.939872,-3.73474,7.531874,-4.086685,0.69
3,2,0202-2120,0202,0202-2120,2,0.31,-3.953693,6.03764,-2.512671,6.573401,0.31
4,3,0112-0202-2020,0112,0112-0202-2020,3,0.01,-3.696179,-0.646099,0.868987,2.862435,0.01
4,3,0112-0202-2020,2020,0112-0202-2020,3,0.93,5.30907,-5.676868,4.688645,-9.690767,0.93
4,3,0112-0202-2020,0202,0112-0202-2020,3,0.06,-3.696179,5.390119,-5.55459,2.862435,0.06
5,3,0021-0202-2020,0202,0021-0202-2020,3,0.23,-5.845765,6.343074,0.895151,6.905584,0.23
5,3,0021-0202-2020,2020,0021-0202-2020,3,0.24,5.568161,-5.321427,5.540491,-4.636756,0.24
5,3,0021-0202-2020,0021,0021-0202-2020,3,0.53,-0.523024,-0.108137,5.540491,0.46795,0.53
6,2,0202-2020,0202,0202-2020,2,0.8,-2.580332,7.09039,-3.23494,6.013421,0.8
6,2,0202-2020,2020,0202-2020,2,0.2,7.496237,-1.981434,3.972791,-2.438294,0.2
7,3,0202-1210-2020,0202,0202-1210-2020,3,0.06,-4.541218,3.741952,-5.962205,6.740342,0.06
7,3,0202-1210-2020,2020,0202-1210-2020,3,0.8,6.692603,-5.003249,6.120176,-3.359578,0.8
7,3,0202-1210-2020,1210,0202-1210-2020,3,0.14,0.288983,3.741952,0.206619,-3.359578,0.14
8,2,0202-2020,0202,0202-2020,2,0.72,-5.236054,3.649423,-5.566137,7.030343,0.72
8,2,0202-2020,2020,0202-2020,2,0.28,5.882504,-6.380079,5.551281,-4.797965,0.28
9,2,0202-2020,0202,-1,2,0.98,-5.15719,6.901867,-8.054643,5.551281,0.98
9,2,0202-2020,2020,-1,2,0.02,5.961369,-3.127636,3.062775,-7.429356,0.02
10,2,0202-2020,2020,0202-2020,2,0.26,7.041871,-4.127352,4.865936,-4.119309,0.26
10,2,0202-2020,0202,0202-2020,2,0.74,-1.633143,6.4232,-6.935286,6.102606,0.74
11,5,0112-0202-2011-2020-2201,2201,0112-0202-2011-2020-2201,5,0.34,1.6311,2.4237,-4.977578,0.463136,0.34
11,5,0112-0202-2011-2020-2201,2011,0112-0202-2011-2020-2201,5,0.27,6.492806,-3.551229,1.501482,0.447445,0.27
11,5,0112-0202-2011-2020-2201,2020,0112-0202-2011-2020-2201,5,0.02,6.492832,-3.551229,4.238887,-4.876334,0.02
11,5,0112-0202-2011-2020-2201,0112,0112-0202-2011-2020-2201,5,0.05,-3.909126,0.803714,1.501462,6.737403,0.05
11,5,0112-0202-2011-2020-2201,0202,0112-0202-2011-2020-2201,5,0.32,-3.909126,6.778642,-4.977578,6.753089,0.32
12,4,0202-1201-2001-2020,0202,0202-1201-2001-2020,4,0.37,-4.825209,6.4232,-7.603363,6.102606,0.37
12,4,0202-1201-2001-2020,2001,0202-1201-2001-2020,4,0.25,7.03852,0.731604,-1.507889,-0.122718,0.25
12,4,0202-1201-2001-2020,2020,0202-1201-2001-2020,4,0.29,7.041871,-4.662696,4.865936,-6.264692,0.29
