Phase,Count,Frequency
0002,2,2e-4
0002-0020,1,1e-4
0002-0021,2,2e-4
0002-2020,18,0.0018
0012-0021-0202-2020,4,4e-4
0012-0022-0202,1,1e-4
0012-0102-2020,1,1e-4
0012-0202,5,5e-4
0012-0202-1020,2,2e-4
0012-0202-2011-2020,1,1e-4
0012-0202-2011-2020-2101,1,1e-4
0012-0202-2012-2020,2,2e-4
0012-0202-2020,82,0.0082
0012-0202-2021,1,1e-4
0012-0212-2020,1,1e-4
0012-2020,23,0.0023
0020,4,4e-4
0020-0102,2,2e-4
0020-0200,1,1e-4
0020-0201,1,1e-4
0020-0202,37,0.0037
0020-0202-0210,1,1e-4
0020-0221,1,1e-4
0021,1,1e-4
0021-0022-2020,1,1e-4
0021-0102,1,1e-4
0021-0202,26,0.0026
0021-0202-0211-2020,1,1e-4
0021-0202-2020,66,0.0066
0021-0202-2021,1,1e-4
0021-0211-0212-2020,1,1e-4
0021-0212,1,1e-4
0021-0212-2020,1,1e-4
0021-2020,6,6e-4
0022,5,5e-4
0022-0202,17,0.0017
0022-0202-1020,1,1e-4
0022-0202-2020,41,0.0041
0022-0202-2020-2021,1,1e-4
0022-0202-2021,2,2e-4
0022-0212-2021,1,1e-4
0022-2020,19,0.0019
0022-2021,1,1e-4
0022-2022,1,1e-4
0102,4,4e-4
0102-2000,1,1e-4
0102-2001-2020,3,3e-4
0102-2002-2020,2,2e-4
0102-2010,2,2e-4
0102-2020,47,0.0047
0102-2020-2100,1,1e-4
0112,1,1e-4
0112-0120-0202-2020,1,1e-4
0112-0120-0202-2120,1,1e-4
0112-0121-0202-2020,2,2e-4
0112-0122-0202,1,1e-4
0112-0122-0202-2020,2,2e-4
0112-0202,2,2e-4
0112-0202-2011-2020,1,1e-4
0112-0202-2020,22,0.0022
0112-0202-2120,1,1e-4
0112-0212-2011-2020,1,1e-4
0112-1120-2020,1,1e-4
0112-2011,1,1e-4
0112-2020,9,9e-4
0120,2,2e-4
0120-0200-2020,2,2e-4
0120-0202,33,0.0033
0120-0202-0210-2020,2,2e-4
0120-0202-0211-2020,1,1e-4
0120-0202-0220-2020,1,1e-4
0120-0202-1020,1,1e-4
