parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,3,0202-1210-2020,0202,0202-1210-2020,3,0.14,-4.877353,4.799527,-5.295838,6.597513,0.14
1,3,0202-1210-2020,1210,0202-1210-2020,3,0.3,0.418436,4.799527,0.460514,-4.886151,0.3
1,3,0202-1210-2020,2020,0202-1210-2020,3,0.56,5.800441,-5.213149,5.795016,-4.886186,0.56
2,2,0202-2020,0202,0202-2020,2,0.01,-4.789947,2.588059,-2.705511,7.950348,0.01
2,2,0202-2020,2020,0202-2020,2,0.99,6.919145,-8.856629,6.338016,-3.627321,0.99
3,3,0120-0202-2020,2020,0120-0202-2020,3,0.43,5.528229,-7.907078,7.190211,-6.233985,0.43
3,3,0120-0202-2020,0202,0120-0202-2020,3,0.15,-6.193604,3.421991,-3.007693,6.359954,0.15
3,3,0120-0202-2020,0120,0120-0202-2020,3,0.42,-0.749066,-1.94804,7.190195,0.405335,0.42
4,3,0212-1220-2020,1220,0212-1220-2020,3,0.62,1.667651,2.253296,4.678075,-9.461759,0.62
4,3,0212-1220-2020,2020,0212-1220-2020,3,0.17,5.509827,-1.140967,7.606804,-9.461841,0.17
4,3,0212-1220-2020,0212,0212-1220-2020,3,0.21,-4.774605,2.971085,-0.921007,2.585198,0.21
5,4,0202-0211-1210-2020,0211,0202-0211-1210-2020,4,0.02,-6.013257,5.73568,0.301082,-0.480799,0.02
5,4,0202-0211-1210-2020,1210,0202-0211-1210-2020,4,0.07,0.462978,5.73568,0.350595,-5.85118,0.07
5,4,0202-0211-1210-2020,0202,0202-0211-1210-2020,4,0.27,-6.013403,5.73568,-5.093867,5.477812,0.27
5,4,0202-0211-1210-2020,2020,0202-0211-1210-2020,4,0.64,6.744761,-3.976705,6.627897,-5.851257,0.64
6,3,0202-2020-2200,0202,0202-2020-2200,3,0.57,-4.718336,7.334557,-7.677964,6.048358,0.57
6,3,0202-2020-2200,2200,0202-2020-2200,3,0.25,2.194409,1.723206,-1.435079,-0.417418,0.25
6,3,0202-2020-2200,2020,0202-2020-2200,3,0.18,4.832267,-3.881305,5.024172,-5.883625,0.18
7,3,0202-2020-2200,2020,0202-2020-2200,3,0.13,6.183734,-3.842475,2.588071,-5.593967,0.13
7,3,0202-2020-2200,2200,0202-2020-2200,3,0.4,3.279592,1.762037,-3.87118,-0.12776,0.4
7,3,0202-2020-2200,0202,0202-2020-2200,3,0.47,-3.36687,7.373389,-10.114065,6.338016,0.47
8,3,0021-0202-2020,0202,0021-0202-2020,3,0.91,-6.860831,7.373389,-9.121021,6.338016,0.91
8,3,0021-0202-2020,0021,0021-0202-2020,3,0.01,-0.321358,0.914137,2.586163,-0.12776,0.01
8,3,0021-0202-2020,2020,0021-0202-2020,3,0.08,5.289471,-4.690337,2.588071,-5.106683,0.08
9,3,0021-0202-2020,0202,0021-0202-2020,3,0.32,-4.395302,2.588071,-6.255923,6.527663,0.32
9,3,0021-0202-2020,0021,0021-0202-2020,3,0.15,0.891022,-3.03502,6.338016,0.587908,0.15
9,3,0021-0202-2020,2020,0021-0202-2020,3,0.53,7.373389,-9.316799,6.338016,-5.239525,0.53
10,2,0202-2020,0202,0202-2020,2,0.58,-3.025347,4.649703,-8.574138,7.321013,0.58
10,2,0202-2020,2020,0202-2020,2,0.42,6.525256,-6.566185,4.127998,-4.610965,0.42
11,2,0202-2020,0202,0202-2020,2,0.78,-4.410639,6.284672,-6.947032,5.87446,0.78
11,2,0202-2020,2020,0202-2020,2,0.22,5.787227,-1.334792,5.20327,-6.189347,0.22
12,2,0202-2020,2020,0202-1012-2011-2020,2,0.08,3.2407,-5.369745,5.263339,-4.025892,0.08
12,2,0202-2020,0202,0202-1012-2011-2020,2,0.92,-3.022893,6.9975,-5.076435,5.790837,0.92
13,2,0202-2020,2020,0202-2020,2,0.89,6.647833,-7.196903,6.465624,-4.341778,0.89
13,2,0202-2020,0202,0202-2020,2,0.11,-4.036468,5.565338,-5.440042,6.601523,0.11
14,2,0202-2020,0202,0202-2020,2,0.13,-4.481125,5.73568,-4.996986,5.477812,0.13
14,2,0202-2020,2020,0202-2020,2,0.87,6.744761,-2.719228,6.627897,-7.286333,0.87
15,3,0202-0210-2020,0202,0202-0210-2020,3,0.34,-5.889266,7.788545,-6.531287,4.690055,0.34
15,3,0202-0210-2020,2020,0202-0210-2020,3,0.12,5.73568,-4.975478,5.477812,-6.535914,0.12
15,3,0202-0210-2020,0210,0202-0210-2020,3,0.54,-0.640742,7.788545,-0.998862,-0.358451,0.54
16,2,0202-2020,0202,0202-2020,2,0.98,-2.254245,7.606804,-5.708421,7.468307,0.98
16,2,0202-2020,2020,0202-2020,2,0.02,7.006829,-2.940032,2.585198,-3.576666,0.02
17,2,0202-2020,0202,0202-2020,2,0.09,-6.043224,6.098683,-1.918405,3.373771,0.09
17,2,0202-2020,2020,0202-2020,2,0.91,5.794489,-4.871969,8.25351,-6.628019,0.91
18,2,0202-2020,0202,0202-2020,2,0.87,-8.07409,8.255506,-5.64227,6.494047,0.87
18,2,0202-2020,2020,0202-2020,2,0.13,4.690055,-3.549856,5.018567,-4.909547,0.13
19,3,0202-2002-2021,2002,0202-2002-2021,3,0.58,0.841984,-0.122619,0.074327,3.614594,0.58
19,3,0202-2002-2021,0202,0202-2002-2021,3,0.21,-4.925378,4.316289,-3.198543,6.069941,0.21
19,3,0202-2002-2021,2021,0202-2002-2021,3,0.21,0.841984,-4.874513,6.403456,-0.603111,0.21
20,2,0202-2020,0202,0202-2020,2,0.98,-1.771124,8.25351,-4.496036,5.509365,0.98
20,2,0202-2020,2020,0202-2020,2,0.02,6.098681,-1.317163,3.373771,-4.061324,0.02
21,2,0202-2020,2020,0202-2020,2,0.89,6.837082,-5.667039,8.06252,-3.326516,0.89
21,2,0202-2020,0202,0202-2020,2,0.11,-3.823755,5.736555,-1.882352,8.251114,0.11
22,2,0202-2020,2020,0202-2020,2,0.53,8.255506,-4.693818,6.494047,-5.552218,0.53
22,2,0202-2020,0202,0202-2020,2,0.47,-4.502719,5.018567,-2.225285,6.837082,0.47
23,1,0202,0202,-1,1,1,-6.852717,7.669156,-5.112206,6.252269,1
24,2,0202-2020,2020,0202-2020,2,0.18,4.690055,-4.323423,5.018567,-6.208088,0.18
24,2,0202-2020,0202,0202-2020,2,0.82,-6.887654,8.255506,-6.310502,6.494047,0.82
25,3,0202-0221-2020,0221,0202-0221-2020,3,0.3,-1.579218,2.389282,2.829827,0.764258,0.3
25,3,0202-0221-2020,0202,0202-0221-2020,3,0.3,-1.579218,7.583955,-3.291637,4.890901,0.3
25,3,0202-0221-2020,2020,0202-0221-2020,3,0.4,7.03062,-2.334997,8.414979,-1.829862,0.4
26,3,0202-2020-2200,2020,0202-2020-2200,3,0.27,8.764907,-2.248059,3.684777,-5.682021,0.27
26,3,0202-2020-2200,2200,0202-2020-2200,3,0.64,4.319556,4.08107,-0.535475,0.15625,0.64
26,3,0202-2020-2200,0202,0202-2020-2200,3,0.09,-0.426102,7.353938,-2.988275,6.098992,0.09
27,2,0202-0221,0221,0202-0221,2,0.62,-4.662762,3.180432,0.712095,0.992738,0.62
27,2,0202-0221,0202,0202-0221,2,0.38,-4.662764,9.018705,-4.3900690000000004,6.525256,0.38
28,3,0202-2020-2101,2020,0202-2020-2101,3,0.62,6.243206,-2.346977,8.874388,-6.046849,0.62
28,3,0202-2020-2101,0202,0202-2020-2101,3,0.22,-3.693417,6.252269,-1.264179,5.349087,0.22
28,3,0202-2020-2101,2101,0202-2020-2101,3,0.16,6.243193,0.137434,-1.264197,-1.183506,0.16
29,3,0202-0211-2020,0202,0202-0210-2020,3,0.35,-8.780441,7.15261,-4.978391,2.83442,0.35
29,3,0202-0211-2020,0211,0202-0210-2020,3,0.51,-8.780441,7.15261,0.597682,1.080661,0.51
29,3,0202-0211-2020,2020,0202-0210-2020,3,0.14,4.276166,-4.163404,6.546694,-9.294433,0.14
30,3,0122-1022-2020,0122,0122-1022-2020,3,0.33,-4.203099,0.500229,5.682011,3.106182,0.33
30,3,0122-1022-2020,1022,0122-1022-2020,3,0.15,0.876051,-2.950481,5.682011,3.037685,0.15
30,3,0122-1022-2020,2020,0122-1022-2020,3,0.52,7.214176,-2.950481,7.583955,-3.306681,0.52
31,3,0202-0220-2020,0220,0202-2020,3,0.27,-2.780551,1.128595,3.733458,-0.665048,0.27
31,3,0202-0220-2020,2020,0202-2020,3,0.03,3.209363,-4.585649,6.839338,-6.703077,0.03
31,3,0202-0220-2020,0202,0202-2020,3,0.7,-8.584136,7.130922,-4.648333,5.679577,0.7
32,2,0202-2020,0202,0202-2020,2,0.92,-6.48062,1.475094,-8.758154,6.067522,0.92
32,2,0202-2020,2020,0202-2020,2,0.08,5.619444,-10.855453,2.832812,-4.83422,0.08
33,3,0202-0220-2020,0220,0202-0220-2020,3,0.43,-0.166922,2.351723,2.782325,-0.049994,0.43
33,3,0202-0220-2020,0202,0202-0220-2020,3,0.5,-4.8367000000000004,8.490354,-2.940895,6.484853,0.5
33,3,0202-0220-2020,2020,0202-0220-2020,3,0.07,4.980028,-2.239557,7.660457,-3.990995,0.07
34,3,0202-2020-2200,2200,0202-2020-2200,3,0.24,3.367006,1.677056,-0.33851,-1.631719,0.24
34,3,0202-2020-2200,2020,0202-2020-2200,3,0.67,8.747792,-3.705606,4.995992,-7.673587,0.67
34,3,0202-2020-2200,0202,0202-2020-2200,3,0.09,-1.929954,6.30707,-6.094862,3.810137,0.09
