Phase,RACIPE,DSGRN,JSD,Parameter,nState
0002-0021-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0012-0021-0202,0,3.3211557622052476e-4,0.06321320012699684,Phase,3
0012-0022-0202-2020,6.642311524410495e-4,0,0.06321320012699684,Phase,3
0012-0112-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0012-0202,6.642311524410495e-4,0,0.06321320012699684,Phase,3
0012-0202-2011,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0012-0202-2012-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0012-0202-2020,0.019262703420790436,0.021919628030554632,0.06321320012699684,Phase,3
0021-0022-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0021-0121-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0021-0202,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0021-0202-1020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0021-0202-2020,0.017270009963467288,0.018598472268349386,0.06321320012699684,Phase,3
0022-0102-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0022-0202,9.963467286615742e-4,0,0.06321320012699684,Phase,3
0022-0202-1020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0022-0202-2020,0.050813683161740286,0.055131185652607106,0.06321320012699684,Phase,3
0022-0202-2020-2210,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0022-0202-2021,0.0029890401859847225,0.0033211557622052474,0.06321320012699684,Phase,3
0022-0212-2020,0.002656924609764198,0.0029890401859847225,0.06321320012699684,Phase,3
0022-2020,9.963467286615742e-4,0,0.06321320012699684,Phase,3
0112-0121-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0112-0122-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0112-0202,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0112-0202-1012,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0112-0202-1120,6.642311524410495e-4,6.642311524410495e-4,0.06321320012699684,Phase,3
0112-0202-2011-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0112-0202-2012,0,3.3211557622052476e-4,0.06321320012699684,Phase,3
0112-0202-2012-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0112-0202-2020,0.005978080371969445,0.008967120557954168,0.06321320012699684,Phase,3
0112-2011-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0112-2012,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0112-2012-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0120-0122-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0120-0202,6.642311524410495e-4,0,0.06321320012699684,Phase,3
0120-0202-0210,0,3.3211557622052476e-4,0.06321320012699684,Phase,3
0120-0202-0220-2020,6.642311524410495e-4,0,0.06321320012699684,Phase,3
0120-0202-1020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0120-0202-2020,0.016605778811026237,0.01893058784456991,0.06321320012699684,Phase,3
0121-0122-0202-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0121-0202,0.001328462304882099,0,0.06321320012699684,Phase,3
0121-0202-0211,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0121-0202-2020,0.02457655264031883,0.028229823978744604,0.06321320012699684,Phase,3
0121-0202-2020-2120,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
0121-0202-2120,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0121-0211-2020,3.3211557622052476e-4,3.3211557622052476e-4,0.06321320012699684,Phase,3
0121-0212-2020,3.3211557622052476e-4,0,0.06321320012699684,Phase,3
