Phase,RACIPE,DSGRN,JSD,Parameter,nState
-1,0,0.01738122827346466,0.0478453497733916,Phase,2
0002-2020,1.9312475859405175e-4,1.9312475859405175e-4,0.0478453497733916,Phase,2
0012-0202,0.0013518733101583623,0.0013518733101583623,0.0478453497733916,Phase,2
0020-0202,1.9312475859405175e-4,1.9312475859405175e-4,0.0478453497733916,Phase,2
0021-0202,9.656237929702588e-4,9.656237929702588e-4,0.0478453497733916,Phase,2
0021-0202-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0021-0212-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0021-0221-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0021-2020,9.656237929702588e-4,0.0013518733101583623,0.0478453497733916,Phase,2
0022,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0022-0102,1.9312475859405175e-4,1.9312475859405175e-4,0.0478453497733916,Phase,2
0022-0202,0.004441869447663191,0.004441869447663191,0.0478453497733916,Phase,2
0022-0202-0212-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0022-0202-2020,9.656237929702588e-4,0,0.0478453497733916,Phase,2
0022-2020,0.0036693704132869836,0.003862495171881035,0.0478453497733916,Phase,2
0022-2021,3.862495171881035e-4,3.862495171881035e-4,0.0478453497733916,Phase,2
0102-2020,7.72499034376207e-4,7.72499034376207e-4,0.0478453497733916,Phase,2
0112-0202,9.656237929702588e-4,9.656237929702588e-4,0.0478453497733916,Phase,2
0112-0202-2012,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0112-0202-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0112-2020,0.0017381228273464658,0.0019312475859405175,0.0478453497733916,Phase,2
0112-2120,1.9312475859405175e-4,1.9312475859405175e-4,0.0478453497733916,Phase,2
0120-0202,5.793742757821553e-4,5.793742757821553e-4,0.0478453497733916,Phase,2
0120-2020,0.001544998068752414,0.001544998068752414,0.0478453497733916,Phase,2
0121-0202,7.72499034376207e-4,5.793742757821553e-4,0.0478453497733916,Phase,2
0121-0202-2020,3.862495171881035e-4,0,0.0478453497733916,Phase,2
0121-2020,0.002317497103128621,0.002317497103128621,0.0478453497733916,Phase,2
0122-0202,0.0036693704132869836,0.0036693704132869836,0.0478453497733916,Phase,2
0122-0202-2020,0.0013518733101583623,0,0.0478453497733916,Phase,2
0122-0212-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0122-0222-1120-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0122-2020,0.005407493240633449,0.005407493240633449,0.0478453497733916,Phase,2
0122-2021,5.793742757821553e-4,3.862495171881035e-4,0.0478453497733916,Phase,2
0201-2020,5.793742757821553e-4,5.793742757821553e-4,0.0478453497733916,Phase,2
0202,0.025878717651602934,0,0.0478453497733916,Phase,2
0202-0210,9.656237929702588e-4,7.72499034376207e-4,0.0478453497733916,Phase,2
0202-0211,7.72499034376207e-4,0.0011587485515643105,0.0478453497733916,Phase,2
0202-0211-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0211-2020-2102-2110,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0212-0220-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0212-2020,7.72499034376207e-4,0,0.0478453497733916,Phase,2
0202-0220,0.0028968713789107765,0.003089996137504828,0.0478453497733916,Phase,2
0202-0220-1020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0220-2020,0.0011587485515643105,0,0.0478453497733916,Phase,2
0202-0220-2120,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0221,0.0021243723445345695,0.0021243723445345695,0.0478453497733916,Phase,2
0202-0221-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-0222-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1002,9.656237929702588e-4,9.656237929702588e-4,0.0478453497733916,Phase,2
0202-1002-1021-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1002-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1012,0.0019312475859405175,0.0019312475859405175,0.0478453497733916,Phase,2
0202-1012-2011-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1012-2020,3.862495171881035e-4,0,0.0478453497733916,Phase,2
0202-1020,0.001544998068752414,0.0017381228273464658,0.0478453497733916,Phase,2
0202-1021,9.656237929702588e-4,0.0013518733101583623,0.0478453497733916,Phase,2
0202-1021-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1022,0.003089996137504828,0.0036693704132869836,0.0478453497733916,Phase,2
0202-1022-2020,5.793742757821553e-4,0,0.0478453497733916,Phase,2
0202-1022-2021,3.862495171881035e-4,0,0.0478453497733916,Phase,2
0202-1102,0.0017381228273464658,0.0019312475859405175,0.0478453497733916,Phase,2
0202-1102-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1102-2021,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1110,1.9312475859405175e-4,1.9312475859405175e-4,0.0478453497733916,Phase,2
0202-1111,1.9312475859405175e-4,3.862495171881035e-4,0.0478453497733916,Phase,2
0202-1112-2020,5.793742757821553e-4,0,0.0478453497733916,Phase,2
0202-1120,9.656237929702588e-4,0.0011587485515643105,0.0478453497733916,Phase,2
0202-1121,5.793742757821553e-4,5.793742757821553e-4,0.0478453497733916,Phase,2
0202-1200,0.001544998068752414,0.001544998068752414,0.0478453497733916,Phase,2
0202-1201,3.862495171881035e-4,3.862495171881035e-4,0.0478453497733916,Phase,2
0202-1201-1210-2020-2101-2110,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1201-2020,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1202-2020,7.72499034376207e-4,0,0.0478453497733916,Phase,2
0202-1202-2022,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1202-2120,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-1210,0.0017381228273464658,0.0017381228273464658,0.0478453497733916,Phase,2
0202-1210-2020,7.72499034376207e-4,0,0.0478453497733916,Phase,2
0202-1220,0.004441869447663191,0.004248744689069139,0.0478453497733916,Phase,2
0202-1220-2020,0.0013518733101583623,0,0.0478453497733916,Phase,2
0202-1220-2120,1.9312475859405175e-4,0,0.0478453497733916,Phase,2
0202-2001,7.72499034376207e-4,7.72499034376207e-4,0.0478453497733916,Phase,2
0202-2002,0.003089996137504828,0.00328312089609888,0.0478453497733916,Phase,2
