Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,0.9504169867402597,0.0036214192779041054,1
monoMulti,3,0.9536687828329223,0.013073989079980327,1
monoMulti,4,0.89196515589827,0.02067968361749156,1
monoMulti,5,0.9271414510503129,0.12619470854660217,1
monoMulti,6,1,0,1
monoMulti,7,NA,NA,1
nState,1,0,0,1
nState,2,0.9505893988802198,0.003643927264185345,1
nState,3,0.9991780592010259,0.0014236432246369501,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
nState,7,NA,NA,1
Phase,1,0.05233103894891456,0.0014068163400901776,1
Phase,2,0.9690340312454533,0.0034342199474916924,1
Phase,3,0.9999999999999996,3.236828524569469e-16,1
Phase,4,1.0000000000000002,2.220446049250313e-16,1
Phase,5,0.9999999999999999,1.3597399555105182e-16,1
Phase,6,1,0,1
Phase,7,NA,NA,1
monoMulti,1,0.02480683608396398,0.005729281114976817,1-3
monoMulti,2,0.306125615237222,0.005494826698477075,1-3
monoMulti,3,0.2728841378536066,0.007395486891839706,1-3
monoMulti,4,0.21605476389277875,0.01754086820351639,1-3
monoMulti,5,0.18184015488101476,0.09103909022086733,1-3
monoMulti,6,0.07881759922000932,0.13651608637965726,1-3
monoMulti,7,NA,NA,1-3
nState,1,0.02480683608396398,0.005729281114976817,1-3
nState,2,0.31161719852450576,0.005255392338852246,1-3
nState,3,0.9031105287049037,0.011145227232925953,1-3
nState,4,1,0,1-3
nState,5,1,0,1-3
nState,6,1,0,1-3
nState,7,NA,NA,1-3
Phase,1,0.041220240020611996,0.005164526537232085,1-3
Phase,2,0.34703661482156917,0.008614427299479454,1-3
Phase,3,0.9218407535383485,0.010345049485195986,1-3
Phase,4,1.0000000000000009,3.510833468576701e-16,1-3
Phase,5,1,2.220446049250313e-16,1-3
Phase,6,1,0,1-3
Phase,7,NA,NA,1-3
monoMulti,1,0.03733193047960755,0.00413457816492953,2-3
monoMulti,2,0.1503946004842307,0.0014395354035943388,2-3
monoMulti,3,0.10300471457617232,9.022600166077221e-4,2-3
monoMulti,4,0.0667719784289272,0.00774702730300445,2-3
monoMulti,5,0.030996988578020673,0.01712900747247446,2-3
monoMulti,6,0.16937177002806314,0.12326990282595783,2-3
monoMulti,7,0,0,2-3
nState,1,0.03733193047960755,0.00413457816492953,2-3
nState,2,0.1590257100895715,0.0019701354390068765,2-3
nState,3,0.7712887446712555,0.0022330751570491763,2-3
nState,4,0.9700963869511591,0.012770731587922928,2-3
nState,5,1,0,2-3
nState,6,1,0,2-3
nState,7,1,0,2-3
Phase,1,0.04417349483228173,0.004713368155515249,2-3
Phase,2,0.18453138147444534,0.0017223446809782558,2-3
Phase,3,0.7965072526968242,0.003323509894097215,2-3
Phase,4,0.9838634299132494,0.0091460563298131,2-3
Phase,5,0.9999999999999999,1.3597399555105182e-16,2-3
Phase,6,1,0,2-3
Phase,7,1,0,2-3
monoMulti,1,0.05218145436231503,0.003006182701744617,2-4
monoMulti,2,0.11475986830367162,0.0024938629897124777,2-4
monoMulti,3,0.06420484203462781,0.004588132946612083,2-4
monoMulti,4,0.04157042898928195,0.006411609786852954,2-4
monoMulti,5,0.028281478270669087,0.016020384474965024,2-4
monoMulti,6,0,0,2-4
monoMulti,7,0,0,2-4
nState,1,0.05218145436231503,0.003006182701744617,2-4
nState,2,0.12869693471359464,0.0015643619983293265,2-4
nState,3,0.6822159169543196,0.00225517607423988,2-4
nState,4,0.92723944533071,0.020386307858545345,2-4
nState,5,0.9763303901606332,0.040996966837115505,2-4
nState,6,1,0,2-4
nState,7,1,0,2-4
Phase,1,0.060504418194087715,0.002982372370826109,2-4
Phase,2,0.1511110470055609,7.43322855664602e-4,2-4
Phase,3,0.7087752489048325,0.003016763092931446,2-4
Phase,4,0.9604059735556063,0.013030973885784726,2-4
Phase,5,0.9891829583405449,0.01873566574176535,2-4
Phase,6,1,0,2-4
Phase,7,1,0,2-4
monoMulti,1,0.07349095312570801,0.009816127754564167,3-5
monoMulti,2,0.07243701420838944,0.0015711706749412988,3-5
monoMulti,3,0.03037960536132341,0.004758546871366078,3-5
