Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.08613364170221986,0.004041697354788664,1-10
monoMulti,2,0.08571802043534718,0.0028474063749214735,1-10
monoMulti,3,0.039457621873162436,9.972336379165175e-4,1-10
monoMulti,4,0.0262696175636716,0.003920369359929629,1-10
monoMulti,5,0.006680832231112103,0.0058279097838020676,1-10
monoMulti,6,0,0,1-10
monoMulti,7,0,0,1-10
nState,1,0.08613364170221986,0.004041697354788659,1-10
nState,2,0.13117464963492673,0.003436863253960582,1-10
nState,3,0.49052630628059923,0.0068888998593448604,1-10
nState,4,0.7882559921471243,0.0066963252757495165,1-10
nState,5,0.9288226415124622,0.004009079591871609,1-10
nState,6,0.9131489641501331,0.1504304067819555,1-10
nState,7,1,0,1-10
Phase,1,0.09350518414637161,0.003674987596832009,1-10
Phase,2,0.150922446604115,0.003917972755169256,1-10
Phase,3,0.5209070955442524,0.008305714106042784,1-10
Phase,4,0.8338305890063589,0.0017118132722757059,1-10
Phase,5,0.9773516432110783,0.019621760393761855,1-10
Phase,6,0.9399053241141383,0.1040870318986967,1-10
Phase,7,1,0,1-10
monoMulti,1,0.05469563505356545,0.0025528027418167073,11-20
monoMulti,2,0.03330850483770894,3.1338941613797344e-4,11-20
monoMulti,3,0.005418715669703587,4.7722855055610684e-4,11-20
monoMulti,4,0.0030391503289845466,0.001644766464332316,11-20
monoMulti,5,0,0,11-20
monoMulti,6,0,0,11-20
monoMulti,7,0,0,11-20
nState,1,0.05469563505356545,0.0025528027418167073,11-20
nState,2,0.07708422553862565,0.0019331646424266661,11-20
nState,3,0.1805046453026626,0.0017732275221394379,11-20
nState,4,0.35918828164400096,0.026136465000554755,11-20
nState,5,0.5275468517575583,0.07482598441963112,11-20
nState,6,0.627118268435998,0.05571920761213525,11-20
nState,7,0.8362418914624385,0.28363736413843516,11-20
Phase,1,0.057031468636779346,0.004110377625998612,11-20
Phase,2,0.08893459241665098,0.0025576991722260577,11-20
Phase,3,0.1934232572459308,0.0026657187107269244,11-20
Phase,4,0.3983334482993105,0.02477256927860553,11-20
Phase,5,0.6526219618997282,0.09675289091896307,11-20
Phase,6,0.7512770843805324,0.058216139302470625,11-20
Phase,7,0.8688148808493587,0.2272192915658878,11-20
monoMulti,1,0.03443411519693989,0.0046854845524222765,21-30
monoMulti,2,0.030536564858788282,3.0994658290692435e-4,21-30
monoMulti,3,0.003360472420834393,8.07003840986083e-4,21-30
monoMulti,4,5.667923941113496e-4,4.908997134021183e-4,21-30
monoMulti,5,0,0,21-30
monoMulti,6,0,0,21-30
monoMulti,7,0,0,21-30
nState,1,0.03443411519693989,0.004685484552422285,21-30
nState,2,0.060968761486192895,0.0014370725245348734,21-30
nState,3,0.12621436559034666,0.0027289996543046367,21-30
nState,4,0.22871632626725685,0.007388931737585939,21-30
nState,5,0.33582888454251403,0.02130924708712298,21-30
nState,6,0.3471258266634468,0.06209004155247077,21-30
nState,7,0.7704260414863776,0.3976337602403036,21-30
Phase,1,0.03564976466258689,0.004831335874445898,21-30
Phase,2,0.07101168447216823,0.0027127249014720885,21-30
Phase,3,0.13535649784063813,0.003602734834215595,21-30
Phase,4,0.26149918251990684,0.009097727550465846,21-30
Phase,5,0.4689490571635202,0.008926423700249505,21-30
Phase,6,0.47074305966274593,0.09344942427768643,21-30
Phase,7,0.7750037369413924,0.3897049591306409,21-30
monoMulti,1,0.023454212978662514,0.0019094671237082526,31-40
monoMulti,2,0.03013620118501798,0.0017108929744757164,31-40
monoMulti,3,0.00227797865781106,4.417218660203625e-4,31-40
monoMulti,4,5.764153811835902e-4,5.009345782471e-4,31-40
monoMulti,5,0.0033576215416669768,0.005815571102754946,31-40
monoMulti,6,0,0,31-40
monoMulti,7,0,0,31-40
nState,1,0.023454212978662514,0.0019094671237082526,31-40
nState,2,0.05470803368631203,0.0025445182835072988,31-40
nState,3,0.09665077348526303,0.0031333611297975914,31-40
nState,4,0.18529179238471527,0.008922448700912548,31-40
nState,5,0.28477476552694486,0.017210064482715517,31-40
nState,6,0.2523169708896522,0.1434278787689198,31-40
nState,7,0.8495983135651329,0.2605033624492326,31-40
Phase,1,0.02562388124260328,0.002444552103765994,31-40
Phase,2,0.06480764335879502,0.0021619701140318413,31-40
Phase,3,0.1041745864444044,0.00398545580435039,31-40
Phase,4,0.21501261164729665,0.005220971842909921,31-40
Phase,5,0.4134029889717301,0.02462402233966587,31-40
Phase,6,0.3654692128427702,0.17571545758217436,31-40
Phase,7,0.9166666666666666,0.14433756729740643,31-40
monoMulti,1,0.016526664298486867,0.0017841111809578868,41-50
monoMulti,2,0.028769346746843748,9.434758090415015e-4,41-50
monoMulti,3,0.002564595283016533,4.324002656944236e-4,41-50
monoMulti,4,2.724917805426901e-4,4.7196960854484763e-4,41-50
monoMulti,5,0,0,41-50
monoMulti,6,0,0,41-50
monoMulti,7,0,0,41-50
nState,1,0.016526664298486867,0.0017841111809578868,41-50
nState,2,0.04768606377442373,0.002018588974472035,41-50
nState,3,0.07818009628615281,0.001705020506696346,41-50
nState,4,0.15445873335579824,0.008496569072620069,41-50
nState,5,0.2260300254355112,0.017948266937483318,41-50
nState,6,0.27114358451312504,0.06951506232488804,41-50
nState,7,0.39695816820703655,0.5308981609477924,41-50
Phase,1,0.017007798924674106,0.0019723063200850705,41-50
Phase,2,0.05781052382581175,0.0019719127375816808,41-50
Phase,3,0.08339893303433125,0.0021553449851673366,41-50
Phase,4,0.1806498928931058,0.006360729069705129,41-50
Phase,5,0.3059332118981672,0.03236021955652379,41-50
Phase,6,0.3475809937355959,0.09782479066116279,41-50
Phase,7,0.40250624987980727,0.5277452926720386,41-50
monoMulti,1,0.01426606284788249,0.004085039801881564,51-60
monoMulti,2,0.028484347077666422,0.0018677238358511426,51-60
monoMulti,3,0.00230868019890008,5.211710651778019e-4,51-60
monoMulti,4,2.941318843165031e-4,5.094513677621548e-4,51-60
monoMulti,5,0,0,51-60
monoMulti,6,0,0,51-60
monoMulti,7,NA,NA,51-60
nState,1,0.01426606284788249,0.004085039801881564,51-60
nState,2,0.04653966181353837,0.0016355079458307649,51-60
nState,3,0.06705606611287922,0.0011118633848029706,51-60
nState,4,0.12500043380090997,0.007207092966898838,51-60
nState,5,0.22328134068438196,0.03589958953472025,51-60
nState,6,0.43974032739392543,0.11994186258468943,51-60
nState,7,NA,NA,51-60
Phase,1,0.014700986357504718,0.0040116502239949245,51-60
Phase,2,0.056133463689655744,0.0028282474548381176,51-60
Phase,3,0.07071253336491838,0.0013091075923041574,51-60
Phase,4,0.1472406621693297,0.008331534800381422,51-60
Phase,5,0.31254975053830797,0.049004474273818766,51-60
Phase,6,0.6179197916065703,0.12560011167464452,51-60
Phase,7,NA,NA,51-60
monoMulti,1,0.01298860975614522,8.055469424897864e-4,61-70
monoMulti,2,0.02926102662471561,0.001929378373007844,61-70
monoMulti,3,0.00229886591080233,2.0629006955948567e-4,61-70
monoMulti,4,8.714793029725721e-4,8.42972778879679e-4,61-70
monoMulti,5,0,0,61-70
monoMulti,6,0,0,61-70
monoMulti,7,0,0,61-70
nState,1,0.01298860975614522,8.055469424897864e-4,61-70
nState,2,0.04525502459085452,7.206208642393592e-4,61-70
nState,3,0.06221640073695736,0.003140738077520086,61-70
nState,4,0.12428494028143898,0.01487099139351435,61-70
nState,5,0.1534461247227016,0.023099192216188866,61-70
nState,6,0.22855210102973023,0.08694601298640826,61-70
nState,7,0.5223931543909484,0.44933495379810545,61-70
Phase,1,0.013643853233079137,0.001721155574057988,61-70
Phase,2,0.05489342545381274,0.001370299153232484,61-70
Phase,3,0.06599151223281795,0.003308759863853675,61-70
Phase,4,0.14191577615121695,0.013944381449287405,61-70
Phase,5,0.2333684554374878,0.06640182959005288,61-70
Phase,6,0.31796251149280175,0.06054585009063494,61-70
Phase,7,0.5245575399333035,0.44634677054560795,61-70
monoMulti,1,0.01231211897782944,0.003024805030425693,71-80
monoMulti,2,0.02980938592671705,0.002546465310009281,71-80
monoMulti,3,0.001999855626713503,4.0273104171839304e-4,71-80
monoMulti,4,8.895766478932349e-4,8.892395677168651e-4,71-80
monoMulti,5,0,0,71-80
monoMulti,6,0,0,71-80
monoMulti,7,0,0,71-80
