Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.08577194506505557,0.01062827782010914,2-11
monoMulti,2,0.056985706715046325,8.989025953104207e-4,2-11
monoMulti,3,0.01852631912054464,0.002650155284209605,2-11
monoMulti,4,0.009453139204545977,0.0027705295610553184,2-11
monoMulti,5,0,0,2-11
monoMulti,6,0,0,2-11
monoMulti,7,0,0,2-11
nState,1,0.08577194506505557,0.010628277820109146,2-11
nState,2,0.10549204325487066,0.002283211950711458,2-11
nState,3,0.3911046644957088,0.004683314138329699,2-11
nState,4,0.675312585255751,0.008442007348621687,2-11
nState,5,0.9783843596066535,0.03743938739941434,2-11
nState,6,1,0,2-11
nState,7,1,0,2-11
Phase,1,0.09287913620655934,0.010829119135869397,2-11
Phase,2,0.12460895335687966,0.0033392133816213423,2-11
Phase,3,0.41729010165737707,0.006092305659293722,2-11
Phase,4,0.7261711968288387,0.00353414567605485,2-11
Phase,5,0.9892570223975098,0.01860738303208798,2-11
Phase,6,1,0,2-11
Phase,7,1,0,2-11
monoMulti,1,0.0637087317733911,0.004037711509427608,7-16
monoMulti,2,0.03871241647089917,0.0011715198025268256,7-16
monoMulti,3,0.0070770041028834,2.5663639891339356e-4,7-16
monoMulti,4,0.00314937219881944,0.0013438245707809897,7-16
monoMulti,5,0.0025010540215683135,0.004331952637830786,7-16
monoMulti,6,0,0,7-16
monoMulti,7,0,0,7-16
nState,1,0.0637087317733911,0.004037711509427609,7-16
nState,2,0.08595317180717249,0.004188047050522271,7-16
nState,3,0.2251781132317183,0.007341987092046988,7-16
nState,4,0.4439829609748591,0.019517913884540345,7-16
nState,5,0.6271769803724092,0.04334603827103112,7-16
nState,6,0.8119284122358945,0.3257495454675798,7-16
nState,7,1,0,7-16
Phase,1,0.06747268498587095,0.005011044875479054,7-16
Phase,2,0.09944585941457122,0.0034480623489406615,7-16
Phase,3,0.24112562068176935,0.0074619188955830145,7-16
Phase,4,0.4958037334317853,0.026245560548272772,7-16
Phase,5,0.7640051324573233,0.035625644815158244,7-16
Phase,6,0.8243465773551968,0.30424065254416877,7-16
Phase,7,1,0,7-16
monoMulti,1,0.05708080518139156,0.006612887810488238,12-21
monoMulti,2,0.03398099406234893,9.233654728729281e-4,12-21
monoMulti,3,0.005305357750653777,0.0013255227322903158,12-21
monoMulti,4,0.0011246483314613666,9.739750647970455e-4,12-21
monoMulti,5,0.0031072273572658998,0.00538187565345251,12-21
monoMulti,6,0,0,12-21
monoMulti,7,0,0,12-21
nState,1,0.05708080518139156,0.006612887810488238,12-21
nState,2,0.07338297122760305,3.396386698569118e-4,12-21
nState,3,0.16986202541961756,0.006620050012194535,12-21
nState,4,0.32600414567048863,0.012170907999616263,12-21
nState,5,0.4437266667278085,0.013502943505620722,12-21
nState,6,0.6374146122774065,0.31621585004359765,12-21
nState,7,0.40985798617120744,0.08537266454421359,12-21
Phase,1,0.058813953424062065,0.007337405955242025,12-21
Phase,2,0.08558700819979427,7.050677464663825e-5,12-21
Phase,3,0.18249343154585407,0.007858795983386006,12-21
Phase,4,0.3727101216680648,0.01714802575897466,12-21
Phase,5,0.5922540465020595,0.03139164121761854,12-21
Phase,6,0.7259398437049277,0.2376020207223659,12-21
Phase,7,0.5136828716881473,0.023529432368557243,12-21
monoMulti,1,0.03916880000582735,0.0030747851084160136,17-26
monoMulti,2,0.03239796270219095,0.0015412642570887703,17-26
monoMulti,3,0.004760229873339667,9.045137812349824e-4,17-26
monoMulti,4,0,0,17-26
monoMulti,5,0,0,17-26
monoMulti,6,0,0,17-26
monoMulti,7,0,0,17-26
nState,1,0.03916880000582735,0.0030747851084160136,17-26
nState,2,0.0673697224735269,0.0019709567700084865,17-26
nState,3,0.1359464964354213,0.0034566519169748444,17-26
nState,4,0.259390949527887,0.01820958435240739,17-26
nState,5,0.417048324317603,0.019356708618639494,17-26
nState,6,0.5766251344733909,0.38851393557826014,17-26
nState,7,0.7302915015403699,0.4671488225651917,17-26
Phase,1,0.04236524152962511,0.0019156734509391058,17-26
Phase,2,0.07831111687324444,0.0021249443175615284,17-26
Phase,3,0.14552715265397112,0.003513748056569056,17-26
Phase,4,0.2978455792418428,0.02975508014485626,17-26
Phase,5,0.5563155952202556,0.01239352729948752,17-26
Phase,6,0.6589267758881641,0.3427497727263907,17-26
Phase,7,0.7302915015403699,0.4671488225651917,17-26
monoMulti,1,0.032288103851800504,0.0028428794072647523,22-31
monoMulti,2,0.03051784857995649,0.0017355589556028073,22-31
monoMulti,3,0.003953782341926074,9.503368906526091e-4,22-31
monoMulti,4,5.956235155435727e-4,5.192569297513196e-4,22-31
monoMulti,5,0,0,22-31
monoMulti,6,0,0,22-31
monoMulti,7,0,0,22-31
nState,1,0.032288103851800504,0.0028428794072647523,22-31
nState,2,0.05961586158287409,5.697629158508302e-4,22-31
nState,3,0.11521936691929015,0.005359690722266685,22-31
nState,4,0.20993074771028816,0.02296638219581008,22-31
nState,5,0.3922853215421065,0.0871124431019024,22-31
nState,6,0.3631162773276563,0.012800242099517852,22-31
nState,7,0.5094274603551591,0.08708672362530824,22-31
Phase,1,0.034134222315426246,0.002469298589403729,22-31
Phase,2,0.06863072133917299,5.002930472085857e-4,22-31
Phase,3,0.12305873065084698,0.006274671250150936,22-31
Phase,4,0.23803568528950397,0.02652090169349802,22-31
Phase,5,0.5234547769029366,0.12073993311195023,22-31
Phase,6,0.455156793554128,0.06300999057537693,22-31
Phase,7,0.6440099998076917,0.09390242703619144,22-31
monoMulti,1,0.02574823978827911,0.002934201866151915,27-36
monoMulti,2,0.030365618338701654,0.004023057418744762,27-36
monoMulti,3,0.002710759165488863,7.833139646995439e-4,27-36
monoMulti,4,0,0,27-36
monoMulti,5,0,0,27-36
monoMulti,6,0,0,27-36
monoMulti,7,NA,NA,27-36
nState,1,0.02574823978827911,0.002934201866151915,27-36
nState,2,0.05817188563955348,0.004435529809809001,27-36
nState,3,0.10610356628105139,0.003347923593829174,27-36
nState,4,0.1942930317168125,0.0037150477773527572,27-36
nState,5,0.2994874885100279,0.015784239373683468,27-36
nState,6,0.41249141226761565,0.1802088934051906,27-36
nState,7,NA,NA,27-36
Phase,1,0.026899407520981983,0.0027566327765763733,27-36
