Phase,Count,Frequency
0001-3010,1,1e-4
0003,73,0.0073
0003-0030,1,1e-4
0003-1030,1,1e-4
0003-2030,1,1e-4
0003-3000,2,2e-4
0003-3003,1,1e-4
0003-3020,1,1e-4
0003-3030,37,0.0037
0003-3031,1,1e-4
0013,9,9e-4
0013-0303-3030,1,1e-4
0013-0303-3031,1,1e-4
0013-0313,1,1e-4
0013-3030,4,4e-4
0023,5,5e-4
0023-0103,1,1e-4
0023-3030,3,3e-4
0030,58,0.0058
0030-0103,1,1e-4
0030-0300,1,1e-4
0030-0301,1,1e-4
0030-0302,1,1e-4
0030-0303,30,0.003
0030-0313,1,1e-4
0030-0320,1,1e-4
0031,6,6e-4
0031-0103,1,1e-4
0031-0303,4,4e-4
0032,3,3e-4
0032-0303,2,2e-4
0033,25,0.0025
0033-0303,10,0.001
0033-0303-3030,4,4e-4
0033-3030,3,3e-4
0102-3000,1,1e-4
0102-3030,1,1e-4
0103,46,0.0046
0103-1031,1,1e-4
0103-3000,1,1e-4
0103-3030,30,0.003
0103-3031,1,1e-4
0113,1,1e-4
0113-3030,1,1e-4
0123,2,2e-4
0130,6,6e-4
0130-0303,1,1e-4
0131,1,1e-4
0132,1,1e-4
0132-3030,1,1e-4
0133,3,3e-4
0133-0303,1,1e-4
0202-3030,1,1e-4
0203,39,0.0039
0203-1003-3030,1,1e-4
0203-2030,2,2e-4
0203-3000,3,3e-4
0203-3030,37,0.0037
0203-3031,1,1e-4
0213,1,1e-4
0213-3030,3,3e-4
0223,3,3e-4
0223-3032,1,1e-4
0230,3,3e-4
0230-0303,6,6e-4
0233,2,2e-4
0233-0303,1,1e-4
0300,49,0.0049
0300-0330-3030,1,1e-4
0300-3030,28,0.0028
0300-3030-3130,1,1e-4
0300-3130,2,2e-4
0301,38,0.0038
0301-1030,1,1e-4
0301-1300,1,1e-4
0301-3000,1,1e-4
0301-3010,1,1e-4
0301-3020,2,2e-4
0301-3030,13,0.0013
0301-3130,1,1e-4
0302,31,0.0031
0302-1030,1,1e-4
0302-2300,2,2e-4
0302-3000,1,1e-4
0302-3020,1,1e-4
0302-3030,38,0.0038
0302-3130,1,1e-4
0302-3300,3,3e-4
0303,2532,0.2532
0303-0310,1,1e-4
0303-0310-3030,1,1e-4
0303-0320,1,1e-4
0303-0330,13,0.0013
0303-0330-3030,2,2e-4
0303-0332,1,1e-4
0303-1030,27,0.0027
0303-1031,4,4e-4
0303-1032,1,1e-4
0303-1130,1,1e-4
0303-1300,1,1e-4
0303-1303-3031-3033,1,1e-4
0303-1330,1,1e-4
0303-2003,3,3e-4
0303-2030,25,0.0025
0303-2031,3,3e-4
0303-2033,1,1e-4
0303-2130,6,6e-4
0303-2303-3030,1,1e-4
0303-2330,1,1e-4
