Phase,Count,Frequency
0000-0003-0030-0300-0303-3000-3030,1,1e-4
0000-0003-0030-3000-3030,1,1e-4
0001-0003-0030-0301-0303-3030,1,1e-4
0002-0003-0030-0302-0303,1,1e-4
0002-0003-0030-0302-0303-3010-3030,1,1e-4
0002-0300-0302-1030-3002-3030,1,1e-4
0003-0013-0303-2003-3030,1,1e-4
0003-0013-0303-2023-3031-3301,1,1e-4
0003-0013-0303-3003-3013-3030,1,1e-4
0003-0013-0303-3003-3030,1,1e-4
0003-0013-0303-3030,7,7e-4
0003-0023-0031-0303-3030,1,1e-4
0003-0023-0303-1030-3002-3030,1,1e-4
0003-0023-0303-2003-2023-3030,1,1e-4
0003-0023-0303-3003-3030,2,2e-4
0003-0023-0303-3030,10,0.001
0003-0023-3003-3030,2,2e-4
0003-0030-0033,1,1e-4
0003-0030-0033-0303-3030,2,2e-4
0003-0030-0203-3030,1,1e-4
0003-0030-0300-0303-3030,3,3e-4
0003-0030-0301-0303-3030,1,1e-4
0003-0030-0303,4,4e-4
0003-0030-0303-0320-3030,1,1e-4
0003-0030-0303-0330-3030,1,1e-4
0003-0030-0303-3000-3030,3,3e-4
0003-0030-0303-3030,15,0.0015
0003-0030-3030,3,3e-4
0003-0031-0033-0203-3030,1,1e-4
0003-0031-0033-0303-1003-1031-1033-3031,1,1e-4
0003-0031-0303-1013-3030,1,1e-4
0003-0031-0303-3030,4,4e-4
0003-0032-0033-0303-3003-3030-3033,1,1e-4
0003-0032-0033-0303-3030,1,1e-4
0003-0032-0303-1003-3030,1,1e-4
0003-0032-0303-3030,6,6e-4
0003-0032-0303-3031,1,1e-4
0003-0032-3030,2,2e-4
0003-0033-0203-1203-3003-3030-3033,1,1e-4
0003-0033-0300-0303-3003-3030,1,1e-4
0003-0033-0303-0330-2003-2033-3030,1,1e-4
0003-0033-0303-1003-1033-3030,2,2e-4
0003-0033-0303-1013-1033-3030,1,1e-4
0003-0033-0303-1030-3030,2,2e-4
0003-0033-0303-1033-3030,1,1e-4
0003-0033-0303-2003-3001-3030,1,1e-4
0003-0033-0303-2003-3030,2,2e-4
0003-0033-0303-2003-3030-3031,1,1e-4
0003-0033-0303-2003-3030-3032,1,1e-4
0003-0033-0303-2033-3030,1,1e-4
0003-0033-0303-3000-3003-3030,1,1e-4
0003-0033-0303-3001-3030,1,1e-4
0003-0033-0303-3002-3030,1,1e-4
0003-0033-0303-3003-3030,6,6e-4
0003-0033-0303-3003-3030-3033,1,1e-4
0003-0033-0303-3003-3030-3303,1,1e-4
0003-0033-0303-3003-3030-3310,1,1e-4
0003-0033-0303-3003-3033,1,1e-4
0003-0033-0303-3030,46,0.0046
0003-0033-0303-3030-3031,1,1e-4
0003-0033-0303-3030-3300,1,1e-4
0003-0033-0303-3030-3300-3301,1,1e-4
0003-0033-0303-3031,1,1e-4
0003-0033-1030-3030,1,1e-4
0003-0033-3003-3030,1,1e-4
0003-0033-3030,2,2e-4
0003-0203-2030-2201,1,1e-4
0003-0203-3003-3030,1,1e-4
0003-0203-3030,2,2e-4
0003-0230-0303-3030,1,1e-4
0003-0300-0303-0313-3030,1,1e-4
0003-0300-0303-0320-3030,1,1e-4
0003-0300-0303-1030-3030,1,1e-4
0003-0300-0303-2300-3000-3030,1,1e-4
0003-0300-0303-2300-3030,1,1e-4
0003-0300-0303-3000-3003-3030,1,1e-4
0003-0300-0303-3010-3030,1,1e-4
0003-0300-0303-3030,11,0.0011
0003-0301-0303-1002-3000-3002,1,1e-4
0003-0301-0303-1030-3030,1,1e-4
0003-0301-0303-3000-3030,1,1e-4
0003-0301-0303-3030,6,6e-4
0003-0302-0303-3030,1,1e-4
0003-0303,4,4e-4
0003-0303-0310-3030,1,1e-4
0003-0303-0320-3030,1,1e-4
0003-0303-0330-3030,6,6e-4
0003-0303-1003-3001-3030,1,1e-4
0003-0303-1003-3003-3030,1,1e-4
0003-0303-1003-3030,7,7e-4
0003-0303-1023-3030,1,1e-4
0003-0303-1030-1032-3030,1,1e-4
0003-0303-1030-1130-3030,1,1e-4
0003-0303-1030-3030,4,4e-4
0003-0303-1031-3030,1,1e-4
0003-0303-1300-3030,1,1e-4
0003-0303-2000-2030-3000-3030,1,1e-4
0003-0303-2003-3000-3030,1,1e-4
0003-0303-2003-3030,6,6e-4
0003-0303-2003-3030-3300,1,1e-4
