Phase,RACIPE,DSGRN,JSD,Parameter,nState
0000-0001-0030-0300-0301-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0000-0002-0030-0200-0202-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0000-0003-0010-0300-0303-3000-3010,0,0.0010746910263299302,1.0000000000000058,Phase,7
0000-0003-0020-0300-0303-3000-3020,0,0.0010746910263299302,1.0000000000000058,Phase,7
0000-0003-0030-0100-0103-3000-3030,0,0.0026867275658248252,1.0000000000000058,Phase,7
0000-0003-0030-0200-0203-3000-3030,0,0.0021493820526598604,1.0000000000000058,Phase,7
0000-0003-0030-0300-0303,5.373455131649651e-4,0,1.0000000000000058,Phase,7
0000-0003-0030-0300-0303-1000-1030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0000-0003-0030-0300-0303-2000-2030,0,0.0021493820526598604,1.0000000000000058,Phase,7
0000-0003-0030-0300-0303-3000-3030,0,0.11445459430413756,1.0000000000000058,Phase,7
0001-0003-0020-0301-0303-3000-3020,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0021-0301-0303-3000-3020,0,0.0010746910263299302,1.0000000000000058,Phase,7
0001-0003-0030-0032-3000-3002-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0033-0301-0303-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0101-0103-3000-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0001-0003-0030-0230-0301-0303-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-0313-1030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-0320-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-0330-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-1003-2030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-2000-2030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-2010-2030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-3000-3030,0,0.04674905964535196,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-3001-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0030-0301-0303-3010-3030,0,0.004836109618484685,1.0000000000000058,Phase,7
0001-0003-0030-2001-2003-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0032-0301-0303-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-0311-1020-3020,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-0311-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-1030-3000-3030,0,0.004298764105319721,1.0000000000000058,Phase,7
0001-0003-0301-0303-2300-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-3000-3003-3020,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-3000-3003-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0001-0003-0301-0303-3000-3030,5.373455131649651e-4,0,1.0000000000000058,Phase,7
0001-0003-0301-0303-3000-3030-3200,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0001-0003-0301-0303-3000-3030-3300,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0030-0102-0103-3000-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0002-0003-0030-0130-0302-0303-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0030-0302-0303-3000-3030,0,0.011821601289629231,1.0000000000000058,Phase,7
0002-0003-0030-0302-0303-3003-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0030-0302-0303-3010-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0033-0202-0203-2030-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0033-0302-0303-3003-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0202-0203-1030-3001-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-1002-1003-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0002-0003-0302-0303-1030-2300-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-1030-3000-3030,0,0.0026867275658248252,1.0000000000000058,Phase,7
0002-0003-0302-0303-1030-3010-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-1300-3000-3020,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-2002-2003-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-2003-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-2030-3003-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-2300-3000-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-3000-3003-3030,0,0.0010746910263299302,1.0000000000000058,Phase,7
0002-0003-0302-0303-3000-3030-3300,0,0.0010746910263299302,1.0000000000000058,Phase,7
0002-0003-0302-0303-3001-3030-3101,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0003-0302-0303-3030-3300-3310,0,5.373455131649651e-4,1.0000000000000058,Phase,7
0002-0010-0030-0300-0302-3010-3030,0,5.373455131649651e-4,1.0000000000000058,Phase,7
