parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,3,0303-0313-3030,0303,0003-0030-0303-0313-3030,3,0.001,-10.271351,4.710127,-4.852006,6.926503,0.001
1,3,0303-0313-3030,0313,0003-0030-0303-0313-3030,3,0.058,-10.105613,4.605001,-1.898287,6.669343,0.058
1,3,0303-0313-3030,3030,0003-0030-0303-0313-3030,3,0.941,5.47843,-13.56796,6.143773,-11.222092,0.941
2,2,0303-3030,0303,0030-0130-0303-0320-3030,2,0.535,-10.228105,5.923733,-10.522394,6.614837,0.535
2,2,0303-3030,3030,0030-0130-0303-0320-3030,2,0.465,7.136833,-8.522445,6.069998,-9.404451,0.465
3,2,0303-3030,3030,-1,2,0.708,3.697676,-8.051301,6.93967,-8.764211,0.708
3,2,0303-3030,0303,-1,2,0.292,-14.538605,7.521406,-5.681852,5.470189,0.292
4,3,0030-0130-0303,0030,0030-0130-0303-3010-3030-3110,3,0.133,-3.207738,-4.51465,6.886469,-1.90641,0.133
4,3,0030-0130-0303,0303,0030-0130-0303-3010-3030-3110,3,0.733,-14.957246,7.014439,-10.414517,7.110028,0.733
4,3,0030-0130-0303,0130,0030-0130-0303-3010-3030-3110,3,0.134,-3.561969,1.296805,6.678394,-1.906345,0.134
5,3,0003-0303-3030,0303,0003-0020-0030-0301-0303-3020-3030,3,0.126,-9.138746,4.939902,-9.748832,7.335078,0.126
5,3,0003-0303-3030,3030,0003-0020-0030-0301-0303-3020-3030,3,0.418,4.814926,-12.012726,5.765829,-9.08475,0.418
5,3,0003-0303-3030,0003,0003-0020-0030-0301-0303-3020-3030,3,0.456,-4.858671,-0.47538,-4.736114,7.334928,0.456
6,2,0303-3030,3030,0003-0300-0303-1003-1300-3000-3030,2,0.619,6.36286,-10.851419,6.427759,-10.755859,0.619
6,2,0303-3030,0303,0003-0300-0303-1003-1300-3000-3030,2,0.381,-12.935675,6.600777,-12.15185,6.91457,0.381
