Phase,RACIPE,DSGRN,JSD,Parameter,nState
-1,0,0.10810810810810811,0.23747167418725024,Phase,2
0003-0033-0303-1030-3030-3031,0.003003003003003003,0,0.23747167418725024,Phase,2
0003-0033-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0003-0303,0,0.003003003003003003,0.23747167418725024,Phase,2
0003-0303-3000-3003-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0003-0303-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0003-3030,0.003003003003003003,0.003003003003003003,0.23747167418725024,Phase,2
0013-3030,0,0.006006006006006006,0.23747167418725024,Phase,2
0023-0303-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0030-0033-0303-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0030-0303,0.003003003003003003,0.003003003003003003,0.23747167418725024,Phase,2
0030-0303-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0030-0313-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0030-0330-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0030-3030,0.006006006006006006,0.012012012012012012,0.23747167418725024,Phase,2
0031-0033-0303,0.003003003003003003,0,0.23747167418725024,Phase,2
0031-0303,0,0.003003003003003003,0.23747167418725024,Phase,2
0033-0133-0303-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0033-0303,0.006006006006006006,0.006006006006006006,0.23747167418725024,Phase,2
0033-0303-1033-3002-3030-3202,0.003003003003003003,0,0.23747167418725024,Phase,2
0033-0303-3003-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0033-0303-3030,0.018018018018018018,0,0.23747167418725024,Phase,2
0033-0303-3030-3102,0.003003003003003003,0,0.23747167418725024,Phase,2
0033-0303-3030-3103,0.003003003003003003,0,0.23747167418725024,Phase,2
0033-3030,0.009009009009009009,0.009009009009009009,0.23747167418725024,Phase,2
0103-0303,0,0.003003003003003003,0.23747167418725024,Phase,2
0130-0303,0,0.009009009009009009,0.23747167418725024,Phase,2
0130-0303-0330,0.003003003003003003,0,0.23747167418725024,Phase,2
0130-0303-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0133-0303-3030,0.006006006006006006,0,0.23747167418725024,Phase,2
0230-0313-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0230-3030,0,0.006006006006006006,0.23747167418725024,Phase,2
0300-0303,0.006006006006006006,0.009009009009009009,0.23747167418725024,Phase,2
0300-0303-1300-2003-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0300-0303-3130,0.003003003003003003,0,0.23747167418725024,Phase,2
0300-3030,0.003003003003003003,0.003003003003003003,0.23747167418725024,Phase,2
0303,0.03003003003003003,0,0.23747167418725024,Phase,2
0303-0323-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0303-0330,0.009009009009009009,0.012012012012012012,0.23747167418725024,Phase,2
0303-0330-1330-3003-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
0303-0330-2003-3030-3300,0.003003003003003003,0,0.23747167418725024,Phase,2
0303-0330-3030,0.003003003003003003,0,0.23747167418725024,Phase,2
