parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,5,0030-0033-0303-0320-3030,0030,0030-0100-0103-0120-0300-0303-0320-3030,5,0.269,-3.086472,-7.626067,6.024322,-5.385471,0.269
1,5,0030-0033-0303-0320-3030,0033,0030-0100-0103-0120-0300-0303-0320-3030,5,0.055,-9.359879,-7.616118,2.746005,1.019875,0.055
1,5,0030-0033-0303-0320-3030,0303,0030-0100-0103-0120-0300-0303-0320-3030,5,0.454,-15.921918,5.365932,-11.92447,5.20315,0.454
1,5,0030-0033-0303-0320-3030,0320,0030-0100-0103-0120-0300-0303-0320-3030,5,0.074,-9.555577,5.348819,-0.122905,-5.384763,0.074
1,5,0030-0033-0303-0320-3030,3030,0030-0100-0103-0120-0300-0303-0320-3030,5,0.148,3.523753,-13.007702,6.024322,-11.07541,0.148
2,3,0303-3013-3030,0303,0303-3030,3,0.349,-8.363209,4.288044,-6.997132,6.568663,0.349
2,3,0303-3013-3030,3013,0303-3030,3,0.129,1.92325,-5.669646,-1.471891,1.547951,0.129
2,3,0303-3013-3030,3030,0303-3030,3,0.522,7.456683,-11.173131,5.730477,-5.425716,0.522
3,3,0300-0303-3030,0300,0300-0303-2030-3030-3300,3,0.562,-5.949552,6.889417,-4.242799,-2.456574,0.562
3,3,0300-0303-3030,0303,0300-0303-2030-3030-3300,3,0.102,-11.380637,6.889417,-9.967408,3.338011,0.102
3,3,0300-0303-3030,3030,0300-0303-2030-3030-3300,3,0.336,7.071357,-5.796463,5.086517,-14.587664,0.336
4,3,0013-0303-3030,3030,0013-0023-0303-2030-3030,3,0.425,3.338011,-11.982955,6.312569,-10.890143,0.425
4,3,0013-0303-3030,0303,0013-0023-0303-2030-3030,3,0.308,-11.715913,5.942715,-11.587289,6.774488,0.308
4,3,0013-0303-3030,0013,0013-0023-0303-2030-3030,3,0.267,-5.350898,-2.407037,-5.076265,6.774488,0.267
5,3,0303-3000-3030,3000,0302-0303-3000-3003-3030,3,0.556,6.524962,-6.0638,-1.93318,-5.07434,0.556
5,3,0303-3000-3030,3030,0302-0303-3000-3003-3030,3,0.1,6.524962,-10.971548,3.338011,-11.453518,0.1
5,3,0303-3000-3030,0303,0302-0303-3000-3003-3030,3,0.344,-3.579238,5.086517,-13.820455,5.942715,0.344
6,5,0030-0033-0230-0313-3030,3030,0030-0033-0303-0313-0330-3030,5,0.03,1.887864,-9.912443,6.095185,-8.232233,0.03
6,5,0030-0033-0230-0313-3030,0313,0030-0033-0303-0313-0330-3030,5,0.281,-13.853249,7.097477,-4.298488,7.855972,0.281
6,5,0030-0033-0230-0313-3030,0230,0030-0033-0303-0313-0330-3030,5,0.182,-7.598689,0.579667,5.147743,-3.044461,0.182
6,5,0030-0033-0230-0313-3030,0033,0030-0033-0303-0313-0330-3030,5,0.229,-10.662492,-5.84782,1.614853,1.695721,0.229
6,5,0030-0033-0230-0313-3030,0030,0030-0033-0303-0313-0330-3030,5,0.278,-4.643113,-5.848121,6.095185,-3.044431,0.278
7,3,0301-0303-3030,0303,0301-0303-2300-3010-3030,3,0.136,-10.332941,6.298046,-12.920043,4.500323,0.136
7,3,0301-0303-3030,3030,0301-0303-2300-3010-3030,3,0.426,5.986379,-10.599611,5.933531,-14.198544,0.426
7,3,0301-0303-3030,0301,0301-0303-2300-3010-3030,3,0.438,-9.884473,6.298046,-6.620411,-1.645342,0.438
8,3,0003-0303-3030,3030,0003-0303-1003-3010-3030,3,0.513,6.430572,-12.378724,5.933531,-11.917638,0.513
