Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.06838355299873032,0.049227082033516036,1-10
monoMulti,2,0.07180468408160912,0.02325842650526083,1-10
monoMulti,3,0.032594547523625214,0.007847454605515117,1-10
monoMulti,4,0.010414748306015943,0.001579329380808653,1-10
monoMulti,5,0.00567642542523448,8.036550719081603e-4,1-10
monoMulti,6,0.004583886953631503,0.001358734623152795,1-10
monoMulti,7,0.003910078188523174,8.264693511805866e-4,1-10
monoMulti,8,0.0019947715425637303,0.0012631045947151217,1-10
monoMulti,9,0.004779374233541876,0.0025897790285379653,1-10
monoMulti,10,0.005205559236934587,0.005248393573749429,1-10
monoMulti,11,0.0031072273572658998,0.00538187565345251,1-10
monoMulti,12,0,0,1-10
monoMulti,13,0,0,1-10
monoMulti,14,NA,NA,1-10
nState,1,0.06838355299873032,0.049227082033516036,1-10
nState,2,0.19801396415307393,0.008929413799681008,1-10
nState,3,0.4461198705717779,0.004433288634582705,1-10
nState,4,0.6631559663869607,0.010389562205204884,1-10
nState,5,0.8220902706327164,0.004301347158710605,1-10
nState,6,0.921200928194818,0.009809867257348902,1-10
nState,7,0.966055630059986,0.0046789599156149475,1-10
nState,8,0.9939564365941653,0.005234969256084519,1-10
nState,9,1,0,1-10
nState,10,1,0,1-10
nState,11,1,0,1-10
nState,12,1,0,1-10
nState,13,1,0,1-10
nState,14,NA,NA,1-10
Phase,1,0.06878190519322006,0.04958281461175506,1-10
Phase,2,0.28445045304702077,0.013113226588937366,1-10
Phase,3,0.5493488624684945,0.009214014214521575,1-10
Phase,4,0.776151011887172,0.009475281486349633,1-10
Phase,5,0.9286495925827073,0.0037982529608386285,1-10
Phase,6,0.9812193124315496,0.002761370854471839,1-10
Phase,7,0.9951384070387943,0.002032816432591017,1-10
Phase,8,0.9994242947610791,9.971507239885885e-4,1-10
Phase,9,0.9999999999999994,3.961178668390469e-15,1-10
Phase,10,1.0000000000000004,1.0325671005860945e-15,1-10
Phase,11,0.9999999999999996,5.768888059150692e-16,1-10
Phase,12,1,0,1-10
Phase,13,1,0,1-10
Phase,14,NA,NA,1-10
monoMulti,1,0.049517158528059345,0.020798068152647165,11-20
monoMulti,2,0.03182308863735871,0.0040588039056825625,11-20
monoMulti,3,0.00610861884111357,0.002475507487800448,11-20
monoMulti,4,7.013554420058203e-4,7.579990202610669e-4,11-20
monoMulti,5,3.290338013532311e-4,4.1279499531508607e-4,11-20
monoMulti,6,1.4239157350917045e-4,1.2340762423707085e-4,11-20
monoMulti,7,2.784672597985263e-4,2.4119310003109198e-4,11-20
monoMulti,8,0,0,11-20
monoMulti,9,0,0,11-20
monoMulti,10,0,0,11-20
monoMulti,11,0,0,11-20
monoMulti,12,0,0,11-20
monoMulti,13,0,0,11-20
monoMulti,14,NA,NA,11-20
monoMulti,15,NA,NA,11-20
nState,1,0.049517158528059345,0.020798068152647165,11-20
nState,2,0.15670580411499382,0.022869864507509968,11-20
nState,3,0.21175551775376783,0.008098758751112965,11-20
nState,4,0.34152731850456636,0.00861254664374761,11-20
nState,5,0.4422840374792396,0.005875941214938021,11-20
nState,6,0.5768093887756296,0.010817491769736605,11-20
nState,7,0.7625395782260899,0.025541222949281083,11-20
nState,8,0.8547102539503922,0.015127922375388276,11-20
nState,9,0.8947176542906937,0.027292019582493995,11-20
nState,10,0.9626457676125793,0.06469942837274756,11-20
nState,11,1,0,11-20
nState,12,1,0,11-20
nState,13,1,0,11-20
nState,14,NA,NA,11-20
nState,15,NA,NA,11-20
Phase,1,0.049537558797049255,0.020783363931631202,11-20
Phase,2,0.2352925039764904,0.032432257819924655,11-20
