Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,10,0.2853134518229595,0.037621246185921144,1
monoMulti,11,0.2457196874554255,0.08058753139679381,1
monoMulti,12,0.3049975373691968,0.09224223774213608,1
monoMulti,13,0.23870970208986633,0.2301186386620759,1
monoMulti,14,0.4121509325533427,0.5226398147421817,1
monoMulti,2,0.70191632565377,0.02626613799108493,1
monoMulti,3,0.6834229509165501,0.03088339376824066,1
monoMulti,4,0.5208337343422563,0.00929590323344238,1
monoMulti,5,0.45141441390863424,0.006097583498461384,1
monoMulti,6,0.4016547179361131,0.003073282406163378,1
monoMulti,7,0.32575490489873515,0.010991759517821463,1
monoMulti,8,0.28843383351927016,0.005761378956896696,1
monoMulti,9,0.3043942325266049,0.009545567449580813,1
nState,1,0,0,1
nState,10,1,0,1
nState,11,1,0,1
nState,12,1,0,1
nState,13,1,0,1
nState,14,1,0,1
nState,2,0.70191632565377,0.02626613799108493,1
nState,3,0.9968188262955222,0.005509954483857635,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
nState,7,1,0,1
nState,8,1,0,1
nState,9,1,0,1
Phase,1,0.040423275424901935,0.013218546977793991,1
Phase,10,1.0000000000000002,8.635508522760763e-16,1
Phase,11,1.0000000000000002,2.220446049250313e-16,1
Phase,12,1,0,1
Phase,13,1,0,1
Phase,14,1,0,1
Phase,2,0.8602379910149365,0.02577185941533139,1
Phase,3,1.0000000000000002,1.2875715499064634e-15,1
Phase,4,0.9999999999999984,2.2051276433777916e-15,1
Phase,5,0.9999999999999962,7.018155225537329e-15,1
Phase,6,1.0000000000000022,7.176198573685038e-15,1
Phase,7,1.0000000000000024,4.5512373853572615e-15,1
Phase,8,1.0000000000000027,5.710907813144177e-15,1
Phase,9,1.000000000000001,2.834875741886945e-15,1
monoMulti,1,0.017606958110226056,0.002959572683069851,1-3
monoMulti,2,0.2743484547426371,0.03413518444276083,1-3
monoMulti,3,0.15704572573585812,0.003290447659031743,1-3
monoMulti,4,0.09089816495078641,0.006853352733587875,1-3
monoMulti,5,0.058392525126076955,8.498388993588646e-4,1-3
monoMulti,6,0.04789012366298602,0.0036379239443072096,1-3
monoMulti,7,0.03294095808288467,0.0020260253116179197,1-3
monoMulti,8,0.026848573087840288,0.00533265017548949,1-3
monoMulti,9,0.023225023888915102,0.002004498368892557,1-3
monoMulti,10,0.029314747601164055,0.007455069129097734,1-3
monoMulti,11,0.02176869609519284,0.00710419622324946,1-3
monoMulti,12,0.009450117908736753,0.016368084355448603,1-3
monoMulti,13,0.04443673303740474,0.039463523380614325,1-3
monoMulti,14,0,0,1-3
monoMulti,15,NA,NA,1-3
monoMulti,16,NA,NA,1-3
monoMulti,17,NA,NA,1-3
nState,1,0.017606958110226056,0.002959572683069851,1-3
nState,2,0.31537267580594047,0.02310888760463751,1-3
nState,3,0.7846942557941786,0.008154257101443173,1-3
nState,4,0.9437400341048565,0.007683207501893996,1-3
nState,5,0.9879138328512661,0.002688231173540162,1-3
nState,6,1,0,1-3
nState,7,1,0,1-3
nState,8,1,0,1-3
nState,9,1,0,1-3
nState,10,1,0,1-3
nState,11,1,0,1-3
nState,12,1,0,1-3
nState,13,1,0,1-3
nState,14,1,0,1-3
nState,15,NA,NA,1-3
nState,16,NA,NA,1-3
nState,17,NA,NA,1-3
Phase,1,0.03038957200170827,0.00933885689528683,1-3
Phase,2,0.47366680985598153,0.03916167941640571,1-3
Phase,3,0.893132262573189,0.01742682301134232,1-3
Phase,4,0.9824653915447152,0.002353396564666194,1-3
Phase,5,0.9980516880564705,2.6673413792848084e-4,1-3
Phase,6,1.0000000000000024,8.169385850653768e-15,1-3
Phase,7,1.0000000000000036,6.845675142072236e-15,1-3
Phase,8,1.0000000000000007,8.516213916627316e-15,1-3
Phase,9,1.0000000000000024,1.0990647210786425e-15,1-3
Phase,10,0.9999999999999992,2.830524433501838e-16,1-3
Phase,11,1.0000000000000002,6.843874359417885e-16,1-3
Phase,12,1,0,1-3
Phase,13,1,0,1-3
Phase,14,1,0,1-3
Phase,15,NA,NA,1-3
Phase,16,NA,NA,1-3
Phase,17,NA,NA,1-3
monoMulti,1,0.054573013742101724,0.03383358951298403,2-3
monoMulti,2,0.1286404694613023,0.009796617032569314,2-3
monoMulti,3,0.06634601679534499,0.002218509561590201,2-3
monoMulti,4,0.02949416370555728,0.004005637994169156,2-3
monoMulti,5,0.01758525722441729,8.022393154993203e-4,2-3
monoMulti,6,0.012697331491065899,0.0019068445470981673,2-3
monoMulti,7,0.007598145847486786,0.0016017899183684103,2-3
monoMulti,8,0.007765271279981693,6.416458374295599e-4,2-3
monoMulti,9,0.007118571401566486,0.0015859119408859626,2-3
monoMulti,10,0.0038755085864376833,0.0037329208019667966,2-3
monoMulti,11,0,0,2-3
monoMulti,12,0,0,2-3
monoMulti,13,0.019304753920834097,0.03343681461849915,2-3
monoMulti,14,0,0,2-3
monoMulti,15,NA,NA,2-3
monoMulti,16,NA,NA,2-3
monoMulti,17,NA,NA,2-3
nState,1,0.054573013742101724,0.03383358951298403,2-3
nState,2,0.18602889086433322,0.013564489048143603,2-3
nState,3,0.6762627408754645,0.024007599697551795,2-3
nState,4,0.9077695278137488,0.01102050483919746,2-3
nState,5,0.982319188029437,0.0013882864854425645,2-3
nState,6,0.9933896973416316,0.00882885103988924,2-3
nState,7,1,0,2-3
nState,8,1,0,2-3
nState,9,1,0,2-3
nState,10,1,0,2-3
nState,11,1,0,2-3
nState,12,1,0,2-3
nState,13,1,0,2-3
nState,14,1,0,2-3
nState,15,NA,NA,2-3
nState,16,NA,NA,2-3
nState,17,NA,NA,2-3
Phase,1,0.05494229214092954,0.03355184413542423,2-3
Phase,2,0.3211518601716401,0.021061405158140836,2-3
Phase,3,0.7741601081102336,0.015239254840297263,2-3
Phase,4,0.9562527846518172,0.012526873126506861,2-3
Phase,5,0.996431025609513,0.001177556054306766,2-3
Phase,6,0.9986237612382879,0.002383715458610672,2-3
Phase,7,1.000000000000002,1.3157196808790914e-14,2-3
Phase,8,0.9999999999999966,4.599727817714915e-15,2-3
Phase,9,1.0000000000000016,3.510833468576701e-16,2-3
Phase,10,0.9999999999999999,9.485749680535094e-16,2-3
Phase,11,1.0000000000000002,5.20740757162067e-16,2-3
Phase,12,0.9999999999999999,1.3597399555105182e-16,2-3
Phase,13,1,0,2-3
Phase,14,1,0,2-3
Phase,15,NA,NA,2-3
Phase,16,NA,NA,2-3
Phase,17,NA,NA,2-3
monoMulti,1,0.05013486786143447,0.01977123367171622,2-4
monoMulti,2,0.09059433874611383,0.013104172080533107,2-4
monoMulti,3,0.04993031189860293,0.002968548915459966,2-4
monoMulti,4,0.020942231852114628,0.0026358240364976176,2-4
monoMulti,5,0.0112989682049972,0.0012122183907733843,2-4
monoMulti,6,0.006966363062282737,0.0010519127381664127,2-4
monoMulti,7,0.00566517413669347,0.0013542363445713291,2-4
monoMulti,8,0.0038365605026529368,7.836395478748182e-4,2-4
monoMulti,9,0.00456158616532202,0.0023335962841205984,2-4
monoMulti,10,0,0,2-4
monoMulti,11,0,0,2-4
monoMulti,12,0,0,2-4
monoMulti,13,0,0,2-4
monoMulti,14,0,0,2-4
monoMulti,15,NA,NA,2-4
