Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.002,0.0016,0.0023,0.001966666666666667,3.5118845842842456e-4,1,2
0001-0020,1e-4,1e-4,NA,NA,NA,1,2
0001-2000,1e-4,NA,NA,NA,NA,1,2
0002,0.0015,0.0015,0.0012,0.0014,1.732050807568878e-4,1,1
0002-0011,1e-4,NA,NA,NA,NA,1,2
0002-0020,0.0011,0.001,0.0016,0.0012333333333333335,3.2145502536643183e-4,1,2
0002-0021,4e-4,NA,1e-4,NA,NA,1,2
0002-0021-2020,0.0014,0.0016,0.0013,0.0014333333333333333,1.5275252316519474e-4,1,3
0002-1010,3e-4,NA,2e-4,NA,NA,1,2
0002-1020,0.0019,0.002,0.0014,0.0017666666666666666,3.2145502536643183e-4,1,2
0002-2000,0.0012,0.0014,6e-4,0.0010666666666666667,4.1633319989322655e-4,1,2
0002-2001,4e-4,5e-4,1e-4,3.333333333333333e-4,2.0816659994661328e-4,1,2
0002-2001-2010,2e-4,NA,1e-4,NA,NA,1,3
0002-2001-2020,0.0015,0.0021,0.002,0.0018666666666666666,3.214550253664318e-4,1,3
0002-2010,0.0012,0.0017,0.0017,0.0015333333333333332,2.886751345948129e-4,1,2
0002-2020,0.0186,0.0189,0.0168,0.018099999999999998,0.001135781669160055,1,2
0010,1e-4,NA,1e-4,NA,NA,1,1
0011-0020,1e-4,NA,2e-4,NA,NA,1,2
0011-0020-0201,1e-4,NA,NA,NA,NA,1,3
0011-0201,1e-4,NA,NA,NA,NA,1,2
0011-0201-2010,5e-4,1e-4,5e-4,3.6666666666666667e-4,2.309401076758503e-4,1,3
0011-2010,2e-4,2e-4,3e-4,2.3333333333333333e-4,5.773502691896256e-5,1,2
0012,2e-4,2e-4,2e-4,2e-4,0,1,1
0012-0020,1e-4,2e-4,NA,NA,NA,1,2
0012-0020-0102,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,3
0012-0020-0202,0.0012,0.0014,0.0017,0.0014333333333333333,2.5166114784235834e-4,1,3
0012-0021-0102-2020,1e-4,1e-4,NA,NA,NA,1,4
0012-0021-0202,5e-4,4e-4,1e-4,3.333333333333333e-4,2.0816659994661328e-4,1,3
0012-0021-0202-2020,0.0032,0.002,0.0029,0.0027,6.244997998398398e-4,1,4
0012-0021-1020,1e-4,NA,NA,NA,NA,1,3
0012-0021-2020,3e-4,3e-4,1e-4,2.3333333333333333e-4,1.1547005383792513e-4,1,3
0012-0102-1020,2e-4,2e-4,NA,NA,NA,1,3
0012-0102-2011,1e-4,NA,NA,NA,NA,1,3
0012-0102-2011-2020,1e-4,1e-4,1e-4,1e-4,0,1,4
0012-0102-2020,0.0013,7e-4,6e-4,8.666666666666666e-4,3.7859388972001824e-4,1,3
0012-0202,0.001,5e-4,8e-4,7.666666666666667e-4,2.5166114784235834e-4,1,2
0012-0202-1020,0.0015,0.0017,0.0025,0.0019,5.291502622129181e-4,1,3
0012-0202-1200-2020,2e-4,2e-4,3e-4,2.3333333333333333e-4,5.773502691896256e-5,1,4
0012-0202-2010,6e-4,2e-4,2e-4,3.333333333333333e-4,2.3094010767585026e-4,1,3
0012-0202-2011-2020,0.0021,0.0023,0.0014,0.0019333333333333333,4.725815626252608e-4,1,4
0012-0202-2011-2020-2101,4e-4,3e-4,NA,NA,NA,1,5
0012-0202-2020,0.0237,0.022,0.0227,0.0228,8.54400374531753e-4,1,3
0012-0202-2020-2100,1e-4,2e-4,3e-4,1.9999999999999998e-4,9.999999999999999e-5,1,4
0012-1020,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,2
0012-2011,1e-4,NA,NA,NA,NA,1,2
0012-2011-2020,2e-4,2e-4,2e-4,2e-4,0,1,3
0012-2020,0.0034,0.0031,0.0037,0.0034,3.0000000000000014e-4,1,2
0020,6e-4,0.0011,0.0015,0.0010666666666666667,4.509249752822895e-4,1,1
0020-0100,2e-4,2e-4,NA,NA,NA,1,2
0020-0102,0.001,0.0017,0.0012,0.0013,3.605551275463989e-4,1,2
0020-0102-0110,1e-4,1e-4,NA,NA,NA,1,3
0020-0200,9e-4,0.0016,0.0021,0.0015333333333333334,6.027713773341707e-4,1,2
0020-0201,0.001,0.0018,0.0012,0.0013333333333333333,4.1633319989322655e-4,1,2
0020-0202,0.0182,0.0201,0.0189,0.019066666666666666,9.609023536933045e-4,1,2
0020-0202-0210,0.0017,0.0013,0.0013,0.0014333333333333333,2.3094010767585029e-4,1,3
0020-0210,4e-4,NA,1e-4,NA,NA,1,2
0021,3e-4,3e-4,NA,NA,NA,1,1
