Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.003,0.0029,0.0044,0.0034333333333333334,8.386497083606085e-4,1-10,2
0002,2e-4,3e-4,1e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,1
0002-0020,1e-4,NA,NA,NA,NA,1-10,2
0002-0021-2020,6e-4,5e-4,4e-4,5e-4,9.999999999999996e-5,1-10,3
0002-1001-1020,1e-4,NA,NA,NA,NA,1-10,3
0002-2000,1e-4,NA,NA,NA,NA,1-10,2
0002-2001-2020,1e-4,3e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1-10,3
0002-2010,2e-4,NA,NA,NA,NA,1-10,2
0002-2020,0.0023,0.0023,0.0023,0.0023,0,1-10,2
0012,1e-4,NA,1e-4,NA,NA,1-10,1
0012-0020-0202,7e-4,6e-4,NA,NA,NA,1-10,3
0012-0021-0202,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0012-0021-0202-1020,1e-4,NA,NA,NA,NA,1-10,4
0012-0021-0202-2020,0.003,0.0033,0.0043,0.003533333333333333,6.806859285554045e-4,1-10,4
0012-0102-2011-2020,1e-4,NA,NA,NA,NA,1-10,4
0012-0102-2020,3e-4,5e-4,5e-4,4.333333333333333e-4,1.1547005383792517e-4,1-10,3
0012-0202,0.001,0.001,0.0012,0.0010666666666666667,1.1547005383792509e-4,1-10,2
0012-0202-1011-1020,1e-4,NA,1e-4,NA,NA,1-10,4
0012-0202-1020,2e-4,6e-4,7e-4,5e-4,2.6457513110645904e-4,1-10,3
0012-0202-1200-2020,2e-4,4e-4,3e-4,3.0000000000000003e-4,1e-4,1-10,4
0012-0202-2011-2020,0.0028,0.004,0.0039,0.0035666666666666668,6.658328118479392e-4,1-10,4
0012-0202-2011-2020-2101,2e-4,1e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,5
0012-0202-2020,0.0216,0.0236,0.0218,0.022333333333333334,0.0011015141094572198,1-10,3
0012-2011-2020,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,3
0012-2020,0.0011,0.0019,0.0019,0.0016333333333333334,4.6188021535170057e-4,1-10,2
0020,1e-4,NA,3e-4,NA,NA,1-10,1
0020-0201,3e-4,NA,NA,NA,NA,1-10,2
0020-0202,0.0016,0.0021,0.0022,0.001966666666666667,3.2145502536643183e-4,1-10,2
0020-0210,1e-4,NA,NA,NA,NA,1-10,2
0021-0102,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,2
0021-0102-2020,6e-4,3e-4,5e-4,4.6666666666666666e-4,1.5275252316519465e-4,1-10,3
0021-0201-2020,1e-4,NA,NA,NA,NA,1-10,3
0021-0202,0.0014,0.0018,0.001,0.0014,3.9999999999999996e-4,1-10,2
0021-0202-0211,1e-4,2e-4,2e-4,1.666666666666667e-4,5.773502691896258e-5,1-10,3
0021-0202-0211-1210-2020,3e-4,5e-4,1e-4,3e-4,2e-4,1-10,5
0021-0202-0211-2020,0.0033,0.0033,0.0023,0.0029666666666666665,5.773502691896258e-4,1-10,4
0021-0202-0211-2020-2110,1e-4,1e-4,1e-4,1e-4,0,1-10,5
0021-0202-1020,4e-4,1e-4,5e-4,3.333333333333333e-4,2.0816659994661328e-4,1-10,3
0021-0202-1200-2020,1e-4,4e-4,3e-4,2.666666666666667e-4,1.5275252316519468e-4,1-10,4
0021-0202-2020,0.0228,0.0229,0.0228,0.022833333333333334,5.7735026918962226e-5,1-10,3
0021-0211-2020,1e-4,NA,NA,NA,NA,1-10,3
0021-1020,2e-4,NA,1e-4,NA,NA,1-10,2
0021-2020,0.0014,0.0015,0.0019,0.0016,2.6457513110645904e-4,1-10,2
0022-0102,1e-4,NA,NA,NA,NA,1-10,2
0022-0202,0.0015,0.0015,0.0012,0.0014,1.732050807568878e-4,1-10,2
0022-0202-1020,1e-4,2e-4,NA,NA,NA,1-10,3
0022-0202-1200-2020,1e-4,1e-4,NA,NA,NA,1-10,4
0022-0202-1201-1210-2020,1e-4,NA,NA,NA,NA,1-10,5
0022-0202-1201-2020,1e-4,NA,NA,NA,NA,1-10,4
0022-0202-1210-2020,1e-4,NA,1e-4,NA,NA,1-10,4
0022-0202-2020,0.011,0.0114,0.0108,0.011066666666666667,3.0550504633038936e-4,1-10,3
