Phase,RACIPE,DSGRN,JSD,Parameter,nState
-1,0,0.00565412361084032,0.13480761965875804,Phase,2
0002,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0002-0202-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0002-1020,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0002-2001,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0002-2011,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0002-2020,0.003119516474946383,0.004484304932735426,0.13480761965875804,Phase,2
0012,3.899395593682979e-4,0,0.13480761965875804,Phase,2
0012-0022-0202-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0012-0202,7.798791187365958e-4,0.0019496977968414895,0.13480761965875804,Phase,2
0012-0202-2020,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0012-0202-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0012-0212-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0012-1020,0,5.849093390524469e-4,0.13480761965875804,Phase,2
0012-2012-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0012-2020,0.0023396373562097877,0.00370442581399883,0.13480761965875804,Phase,2
0020,3.899395593682979e-4,0,0.13480761965875804,Phase,2
0020-0202,0.005069214271787873,0.004094365373367128,0.13480761965875804,Phase,2
0021-0022-0202,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0021-0102,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0021-0202,0.0023396373562097877,0.003509456034314681,0.13480761965875804,Phase,2
0021-0202-2020,9.748488984207448e-4,0,0.13480761965875804,Phase,2
0021-0202-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0021-2020,9.748488984207448e-4,0.002924546695262234,0.13480761965875804,Phase,2
0022,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0022-0102,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0022-0102-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0022-0202,0.0025346071358939366,0.002924546695262234,0.13480761965875804,Phase,2
0022-0202-2020,0.005849093390524468,0,0.13480761965875804,Phase,2
0022-0212,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0022-0212-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0022-0222-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0022-2020,0.0019496977968414895,0.003119516474946383,0.13480761965875804,Phase,2
0022-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0102,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0102-1020,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0102-2002-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0102-2020,0.006434002729576916,0.00935854942483915,0.13480761965875804,Phase,2
0102-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0102-2120,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0112-0122-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0112-0202,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0112-0202-1012-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0112-0202-2020,3.899395593682979e-4,0,0.13480761965875804,Phase,2
0112-0202-2120,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0112-1020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0112-2020,9.748488984207448e-4,0.0017547280171573405,0.13480761965875804,Phase,2
0112-2120,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0120-0122-0212-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0120-0201,0,3.899395593682979e-4,0.13480761965875804,Phase,2
0120-0201-0220,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0120-0202,0.0025346071358939366,0.00370442581399883,0.13480761965875804,Phase,2
0120-0202-2020,3.899395593682979e-4,0,0.13480761965875804,Phase,2
0120-0202-2120,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0120-0220-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0120-2020,3.899395593682979e-4,0.0019496977968414895,0.13480761965875804,Phase,2
0121,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0121-0201,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0121-0201-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0121-0202,1.9496977968414895e-4,3.899395593682979e-4,0.13480761965875804,Phase,2
0121-0202-2020,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0121-0212-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0121-2020,1.9496977968414895e-4,0.0011698186781048938,0.13480761965875804,Phase,2
0122,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0122-0202,0.0013647884577890426,9.748488984207448e-4,0.13480761965875804,Phase,2
0122-0202-2020,0.0017547280171573405,0,0.13480761965875804,Phase,2
0122-0202-2022,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0122-0212,0,1.9496977968414895e-4,0.13480761965875804,Phase,2
0122-0212-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0122-0222-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0122-2020,3.899395593682979e-4,5.849093390524469e-4,0.13480761965875804,Phase,2
0200,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0200-1020,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0200-2020,0.003899395593682979,0.003509456034314681,0.13480761965875804,Phase,2
0200-2100,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0201,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0201-1200,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0201-2000,1.9496977968414895e-4,1.9496977968414895e-4,0.13480761965875804,Phase,2
0201-2020,0.00565412361084032,0.008383700526418405,0.13480761965875804,Phase,2
0202,0.0740885162799766,0,0.13480761965875804,Phase,2
0202-0210,7.798791187365958e-4,0.0023396373562097877,0.13480761965875804,Phase,2
0202-0210-2020,5.849093390524469e-4,0,0.13480761965875804,Phase,2
0202-0211,0,0.0011698186781048938,0.13480761965875804,Phase,2
0202-0211-2020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0202-0211-2210-2220,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0202-0212-2020,0.0015597582374731916,0,0.13480761965875804,Phase,2
0202-0220,0.002924546695262234,0.004094365373367128,0.13480761965875804,Phase,2
0202-0220-1020,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0202-0220-2020,0.005264184051472022,0,0.13480761965875804,Phase,2
0202-0220-2120,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0202-0221,0.0011698186781048938,9.748488984207448e-4,0.13480761965875804,Phase,2
0202-0221-2002-2021,1.9496977968414895e-4,0,0.13480761965875804,Phase,2
0202-0221-2020,0.0017547280171573405,0,0.13480761965875804,Phase,2
