parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,1,2020,2020,0202-2020,1,1,6.622027,-3.030422,5.791389,-3.647221,1
2,1,2020,2020,2020,1,1,6.803603,-3.835235,6.302499,-5.492078,1
3,1,2020,2020,0202-1002-2020,1,1,7.247066,-4.655246,6.029315,-3.456881,1
4,1,0202,0202,0120-0202-2020,1,1,-4.885754,5.796143,-2.335264,7.197683,1
5,1,2020,2020,0002-2020,1,1,6.064488,-9.288254,6.89352,-0.641534,1
6,2,0202-2020,2020,0202-2020,2,0.944,7.186763,-5.205903,6.719385,-4.228294,0.944
6,2,0202-2020,0202,0202-2020,2,0.056,-1.014405,5.60355,-1.456087,7.470207,0.056
7,2,0202-2020,0202,0202-2020,2,0.682,-3.668372,6.806065,0.375751,7.281932,0.682
7,2,0202-2020,2020,0202-2020,2,0.318,4.879445,-2.857245,6.466556,0.050192,0.318
8,1,2020,2020,0202-2020,1,1,6.175916,-2.288638,6.405042,-2.692313,1
9,1,0202,0202,0202,1,1,-4.771985,7.015191,-3.110662,4.556992,1
10,2,0202-2020,0202,0202-1200-2020,2,0.484,-3.955838,5.92065,-3.516145,5.298848,0.484
10,2,0202-2020,2020,0202-1200-2020,2,0.516,7.895483,-3.876575,5.32318,-0.670177,0.516
11,1,0112,0112,0102-2010,1,1,0.009206,0.204662,2.074882,5.283806,1
12,1,0202,0202,0202-2020,1,1,-0.991803,5.291607,-4.063418,6.185344,1
13,2,2020-2200,2020,0202-2020-2200,2,0.426,7.572483,-2.027066,6.430172,-4.315659,0.426
13,2,2020-2200,2200,0202-2020-2200,2,0.574,6.219392,4.475978,0.958898,-0.327035,0.574
14,2,0202-2020,2020,0202-1200-2020,2,0.659,7.905407,-3.991141,5.187644,-2.432767,0.659
14,2,0202-2020,0202,0202-1200-2020,2,0.341,-4.087176,5.561382,-2.494027,5.27419,0.341
15,1,1020,1020,1020,1,1,3.590588,-0.42744,6.964863,-2.383004,1
16,1,1020,1020,0102-1020,1,1,3.620904,-0.73422,6.902962,-0.266756,1
17,1,2010,2010,2010,1,1,8.264401,-2.31943,3.971533,-1.162987,1
18,1,0202,0202,0202-0210,1,1,-4.784953,8.123504,-3.199537,6.34768,1
19,1,2020,2020,0202-1002-2020,1,1,8.228581,-4.872409,6.919076,-3.47422,1
20,2,0202-2020,2020,0202-2020,2,0.838,5.465128,-1.812872,7.901094,-4.821143,0.838
20,2,0202-2020,0202,0202-2020,2,0.162,-3.121297,7.517366,-2.37484,5.872269,0.162
21,1,0202,0202,0202,1,1,-6.292923,7.704199,-2.926148,5.746512,1
22,2,0202-2020,2020,0202-2020,2,0.093,6.869345,-2.218561,5.463221,-0.016133,0.093
22,2,0202-2020,0202,0202-2020,2,0.907,-1.222415,4.517716,-5.398156,7.505524,0.907
23,2,0202-2010,0202,0120-0202-2020,2,0.838,0.852659,7.102511,-2.930057,5.471487,0.838
23,2,0202-2010,2010,0120-0202-2020,2,0.162,7.347784,-0.690497,4.016813,-1.024059,0.162
24,2,0202-1200,1200,0202-1200-2020,2,0.881,2.985312,7.821484,-0.359322,0.203611,0.881
24,2,0202-1200,0202,0202-1200-2020,2,0.119,-3.255594,8.153532,-5.681935,6.083939,0.119
