parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,D,basinDiscret
1,2,0202-2020,0202,0202-2020,2,0.069,-4.567289,6.505294,-5.038842,5.56609,0.069
1,2,0202-2020,2020,0202-2020,2,0.931,7.03496,-4.680912,5.482271,-5.542153,0.931
2,3,0202-1210-2020,0202,0202-1210-2020,3,0.758,-5.522563,5.482271,-6.361425,6.684143,0.758
2,3,0202-1210-2020,1210,0202-1210-2020,3,0.005,0.858166,5.482271,-0.298846,-3.977123,0.005
2,3,0202-1210-2020,2020,0202-1210-2020,3,0.237,6.505294,-3.979389,5.56609,-3.977123,0.237
3,2,0202-1220,0202,0202-1220,2,0.119,-5.330744,6.87727,-6.206143,3.311154,0.119
3,2,0202-1220,1220,0202-1220,2,0.881,0.632237,4.494015,-0.610204,-7.870408,0.881
4,2,0202-2020,0202,0202-2020,2,0.849,-7.048981,5.943833,-5.796104,7.284562,0.849
4,2,0202-2020,2020,0202-2020,2,0.151,5.260207,-5.517158,6.123387,-4.407332,0.151
5,2,0202-2020,0202,0202-2020,2,0.947,-7.498454,6.604375,-4.319823,6.547607,0.947
5,2,0202-2020,2020,0202-2020,2,0.053,4.54251,-2.23715,6.958219,-3.580578,0.053
6,2,0202-2020,2020,0202-2020,2,0.049,4.54251,-2.237148,6.958219,-5.367018,0.049
6,2,0202-2020,0202,0202-2020,2,0.951,-7.498454,6.604375,-4.319823,6.547607,0.951
7,2,0202-2020,0202,0202-2020,2,0.041,-5.434989,4.678565,-5.050486,2.420478,0.041
7,2,0202-2020,2020,0202-2020,2,0.959,5.84305,-7.23606,6.101144,-7.233299,0.959
8,3,0021-0202-2020,2020,0021-0202-2020,3,0.501,6.866762,-8.650476,7.521553,-6.037345,0.501
8,3,0021-0202-2020,0202,0021-0202-2020,3,0.046,-5.847426,3.886318,0.044475,6.267393,0.046
8,3,0021-0202-2020,0021,0021-0202-2020,3,0.453,0.411093,-2.682879,7.521553,0.379193,0.453
9,2,0202-2020,2020,0202-2020-2110,2,0.422,5.769603,-5.564985,7.552858,-4.752684,0.422
9,2,0202-2020,0202,0202-2020-2110,2,0.578,-5.468694,4.910607,-5.622737,7.010932,0.578
10,3,0202-0222-2020,2020,0202-2020,3,0.334,5.56609,-5.360363,7.043954,-3.717329,0.334
10,3,0202-0222-2020,0222,0202-2020,3,0.386,-5.663892,1.151023,1.797899,1.421611,0.386
10,3,0202-0222-2020,0202,0202-2020,3,0.28,-5.663892,6.204166,-2.08306,6.307956,0.28
11,2,0202-2020,2020,0202-2020,2,0.608,6.521441,-6.958042,6.669837,-4.302478,0.608
11,2,0202-2020,0202,0202-2020,2,0.392,-3.804324,2.062494,-5.839655,7.004891,0.392
12,2,0202-2020,2020,0202-2020,2,0.82,5.769603,-5.911103,7.552858,-0.997455,0.82
12,2,0202-2020,0202,0202-2020,2,0.18,-3.11483,4.910607,-2.859932,7.010932,0.18
13,3,0202-1220-2020,2020,0202-1220-2020,3,0.73,7.98337,-4.770796,7.433163,-8.758002,0.73
13,3,0202-1220-2020,0202,0202-1220-2020,3,0.098,-3.125505,6.338081,-5.288195,3.148282,0.098
13,3,0202-1220-2020,1220,0202-1220-2020,3,0.172,1.398444,1.814131,0.990821,-7.820223,0.172
14,2,0202-2020,2020,0202-2020,2,0.873,7.214065,-3.701132,4.872315,-7.978298,0.873
14,2,0202-2020,0202,0202-2020,2,0.127,-3.119296,6.44835,-5.634665,4.088235,0.127
15,3,0202-1220-2020,2020,0202-1220-2020,3,0.237,6.353593,-2.032172,5.335746,-3.509389,0.237
15,3,0202-1220-2020,0202,0202-1220-2020,3,0.57,-5.588596,7.934155,-6.307856,6.049865,0.57
15,3,0202-1220-2020,1220,0202-1220-2020,3,0.193,0.586243,4.424201,-0.938029,-3.509247,0.193
16,3,0202-1022-2020,2020,0202-1022-2020,3,0.432,7.883623,-5.851439,7.411443,0.750381,0.432
16,3,0202-1022-2020,0202,0202-1022-2020,3,0.256,-5.064119,4.704417,-5.17334,5.356735,0.256
16,3,0202-1022-2020,1022,0202-1022-2020,3,0.312,1.401275,-2.262144,1.276441,2.368859,0.312
17,3,0202-1012-2020,2020,0202-1012-2020,3,0.858,6.700969,-3.089771,6.054935,-6.396374,0.858
17,3,0202-1012-2020,0202,0202-1012-2020,3,0.114,-1.164476,6.550413,-1.860566,6.177697,0.114
17,3,0202-1012-2020,1012,0202-1012-2020,3,0.028,1.222836,-3.089752,-0.181868,6.175317,0.028
18,3,0202-2020-2101,2101,0202-2020-2101,3,0.324,2.471217,0.54661,0.584122,1.477714,0.324
