Phase,Count,Frequency
0002,1,1e-4
0002-0021,1,1e-4
0002-0021-2020,1,1e-4
0002-1021-2021,1,1e-4
0002-2020,7,7e-4
0012-0020-0202,2,2e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,4,4e-4
0012-0021-2020,1,1e-4
0012-0022-0202,2,2e-4
0012-0102-2020,1,1e-4
0012-0202,7,7e-4
0012-0202-1020,1,1e-4
0012-0202-1021-2020,1,1e-4
0012-0202-2020,70,0.007
0012-0202-2021,1,1e-4
0012-0212,1,1e-4
0012-0212-2020,2,2e-4
0012-2020,11,0.0011
0020-0202,11,0.0011
0020-0202-0210,1,1e-4
0021,1,1e-4
0021-0022-0202,1,1e-4
0021-0022-0202-2020,2,2e-4
0021-0202,12,0.0012
0021-0202-0211,3,3e-4
0021-0202-0221-2020,1,1e-4
0021-0202-1020,2,2e-4
0021-0202-2020,96,0.0096
0021-0202-2021,1,1e-4
0021-0211-0212-2020,1,1e-4
0021-2020,2,2e-4
0021-2021,1,1e-4
0022,3,3e-4
0022-0102-2020,2,2e-4
0022-0202,13,0.0013
0022-0202-0212-2020,1,1e-4
0022-0202-2020,78,0.0078
0022-0202-2020-2021,1,1e-4
0022-0202-2021,8,8e-4
0022-0212-2020,4,4e-4
0022-0212-2021,1,1e-4
0022-0222-2020,2,2e-4
0022-2020,12,0.0012
0102,1,1e-4
0102-0120,1,1e-4
0102-1002-2020,1,1e-4
0102-2001-2020,3,3e-4
0102-2002-2020,1,1e-4
0102-2011-2020,1,1e-4
0102-2012-2020,1,1e-4
0102-2020,33,0.0033
0102-2020-2101,2,2e-4
0102-2021,1,1e-4
0111-2020,1,1e-4
0112-0120,1,1e-4
0112-0120-0202-2020,5,5e-4
0112-0120-2020,2,2e-4
0112-0121-0202,1,1e-4
0112-0121-0202-2020,4,4e-4
0112-0121-0212-2020,1,1e-4
0112-0202,1,1e-4
0112-0202-1012-2020,2,2e-4
0112-0202-1201-2020-2021,1,1e-4
0112-0202-2011-2020,1,1e-4
0112-0202-2012-2020,1,1e-4
0112-0202-2020,23,0.0023
0112-0202-2021,1,1e-4
0112-2020,5,5e-4
0120,1,1e-4
0120-0201-2020,4,4e-4
0120-0202,17,0.0017
0120-0202-0210,1,1e-4
0120-0202-0210-2020,5,5e-4
0120-0202-0220-2020,1,1e-4
0120-0202-1020,2,2e-4
0120-0202-2020,97,0.0097
0120-0202-2120,1,1e-4
0120-0210-2020,2,2e-4
0120-0212-2020,1,1e-4
0120-0220-2020,1,1e-4
0120-2020,3,3e-4
0121-0122-0202,1,1e-4
0121-0122-0202-2020,3,3e-4
