Phase,RACIPE,DSGRN,JSD,Parameter,nState
0012-0021-0202-1020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0012-0021-0202-2020,0.007462686567164179,0.03731343283582089,0.5974523272005503,Phase,4
0012-0202-1020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0012-0202-1200-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0012-0202-2011-2020,0.005970149253731343,0.028358208955223882,0.5974523272005503,Phase,4
0012-0202-2011-2021,0.0014925373134328358,0,0.5974523272005503,Phase,4
0012-0202-2011-2201,0,0.0014925373134328358,0.5974523272005503,Phase,4
0012-0202-2020,0.014925373134328358,0,0.5974523272005503,Phase,4
0012-0202-2020-2100,0,0.0014925373134328358,0.5974523272005503,Phase,4
0012-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0021-0202-0211-2020,0.005970149253731343,0.023880597014925373,0.5974523272005503,Phase,4
0021-0202-1200-2020,0,0.004477611940298508,0.5974523272005503,Phase,4
0021-0202-2020,0.022388059701492536,0,0.5974523272005503,Phase,4
0021-0202-2020-2100,0,0.004477611940298508,0.5974523272005503,Phase,4
0021-0202-2020-2200,0,0.0014925373134328358,0.5974523272005503,Phase,4
0021-0211-2020-2110,0,0.0014925373134328358,0.5974523272005503,Phase,4
0022-0202-1200-2020,0,0.0029850746268656717,0.5974523272005503,Phase,4
0022-0202-1210-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0022-0202-2020,0.0029850746268656717,0,0.5974523272005503,Phase,4
0102-1101-2001-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0102-2001-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0111-0120-0201-2020,0,0.0029850746268656717,0.5974523272005503,Phase,4
0112-0120-0202-2011-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0112-0120-0202-2020,0.004477611940298508,0.028358208955223882,0.5974523272005503,Phase,4
0112-0121-0202-2020,0.0029850746268656717,0.010447761194029851,0.5974523272005503,Phase,4
0112-0122-0202-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0112-0202-1012-2012-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0112-0202-1012-2020,0.007462686567164179,0.028358208955223882,0.5974523272005503,Phase,4
0112-0202-1120-2020,0.004477611940298508,0.014925373134328358,0.5974523272005503,Phase,4
0112-0202-2011-2020,0.0029850746268656717,0.01791044776119403,0.5974523272005503,Phase,4
0112-0202-2012-2020,0,0.008955223880597015,0.5974523272005503,Phase,4
0112-0202-2020,0.013432835820895522,0,0.5974523272005503,Phase,4
0112-0202-2020-2201,0.0014925373134328358,0,0.5974523272005503,Phase,4
0120-0201-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0120-0202-0210-2020,0.008955223880597015,0.034328358208955224,0.5974523272005503,Phase,4
0120-0202-0211-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0120-0202-1002-2020,0,0.0029850746268656717,0.5974523272005503,Phase,4
0120-0202-2020,0.01791044776119403,0,0.5974523272005503,Phase,4
0121-0202-0211-2020,0.0029850746268656717,0.014925373134328358,0.5974523272005503,Phase,4
0121-0202-1021-2020,0.0014925373134328358,0.016417910447761194,0.5974523272005503,Phase,4
0121-0202-1120-2020,0.004477611940298508,0.013432835820895522,0.5974523272005503,Phase,4
0121-0202-2002-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0121-0202-2020,0.023880597014925373,0,0.5974523272005503,Phase,4
0122-0202-1021-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0122-0202-1022-2020,0.004477611940298508,0.020895522388059702,0.5974523272005503,Phase,4
0122-0202-1120-2020,0.005970149253731343,0.023880597014925373,0.5974523272005503,Phase,4
0122-0202-1121-2021,0,0.0014925373134328358,0.5974523272005503,Phase,4
0122-0202-2020,0.011940298507462687,0,0.5974523272005503,Phase,4
0122-0202-2020-2210,0,0.0014925373134328358,0.5974523272005503,Phase,4
0122-0212-1120-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0122-0212-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0201-1120-1200-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0201-1200-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0201-1200-2020-2100,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0210-2001-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0210-2020,0.022388059701492536,0,0.5974523272005503,Phase,4
0202-0210-2020-2110,0.0029850746268656717,0.03582089552238806,0.5974523272005503,Phase,4
0202-0211-0221-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0211-1021-2020,0.0014925373134328358,0.013432835820895522,0.5974523272005503,Phase,4
0202-0211-1210-2020,0.0029850746268656717,0.011940298507462687,0.5974523272005503,Phase,4
0202-0211-1220-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0211-2002-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0211-2020,0.004477611940298508,0,0.5974523272005503,Phase,4
0202-0211-2020-2102,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0211-2020-2110,0.005970149253731343,0.008955223880597015,0.5974523272005503,Phase,4
0202-0211-2020-2210,0.004477611940298508,0.008955223880597015,0.5974523272005503,Phase,4
0202-0220-1012-2020,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0220-1102-2020,0,0.0029850746268656717,0.5974523272005503,Phase,4
0202-0220-1102-2120,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0220-1112-2120,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0220-2011-2020,0,0.0029850746268656717,0.5974523272005503,Phase,4
0202-0220-2020,0.0029850746268656717,0,0.5974523272005503,Phase,4
0202-0220-2020-2101,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0221-1002-1021,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0221-1021,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0221-1021-2020,0.004477611940298508,0.007462686567164179,0.5974523272005503,Phase,4
0202-0221-1220-2020,0.0029850746268656717,0.010447761194029851,0.5974523272005503,Phase,4
0202-0221-2002-2021,0,0.0014925373134328358,0.5974523272005503,Phase,4
0202-0221-2020,0.0014925373134328358,0,0.5974523272005503,Phase,4
0202-0221-2020-2102,0,0.0029850746268656717,0.5974523272005503,Phase,4
0202-1002-1021-2020,0.008955223880597015,0.022388059701492536,0.5974523272005503,Phase,4
0202-1002-2001-2020,0.013432835820895522,0.03731343283582089,0.5974523272005503,Phase,4
