Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0062,0.0056,0.0053,0.0057,4.582575694955839e-4,1,2
-2,0.0025,0.0026,0.0027,0.0026,1.0000000000000005e-4,1,2
001,2e-4,4e-4,5e-4,3.6666666666666667e-4,1.5275252316519468e-4,1,1
001-010,2e-4,NA,NA,NA,NA,1,2
001-020,7e-4,9e-4,0.0014,0.001,3.6055512754639893e-4,1,2
001-200,9e-4,0.001,0.0012,0.0010333333333333334,1.5275252316519463e-4,1,2
002,0.0435,0.0448,0.0462,0.04483333333333333,0.0013503086067019401,1,1
002-010,9e-4,0.0012,6e-4,9e-4,3e-4,1,2
002-011,7e-4,9e-4,0.0012,9.333333333333333e-4,2.516611478423583e-4,1,2
002-011-200,5e-4,6e-4,2e-4,4.333333333333333e-4,2.0816659994661325e-4,1,3
002-020,0.0988,0.0963,0.0945,0.09653333333333333,0.0021594752448994016,1,2
002-020-101,3e-4,5e-4,6e-4,4.6666666666666666e-4,1.5275252316519465e-4,1,3
002-020-110,7e-4,5e-4,4e-4,5.333333333333334e-4,1.5275252316519465e-4,1,3
002-020-200,0.2199,0.2172,0.2125,0.21653333333333333,0.0037447741364911983,1,3
002-020-201,0.0103,0.0112,0.0098,0.010433333333333333,7.094598884597588e-4,1,3
002-020-201-210,2e-4,3e-4,3e-4,2.666666666666667e-4,5.773502691896256e-5,1,4
002-020-210,0.0106,0.0104,0.0094,0.010133333333333333,6.429100507328633e-4,1,3
002-021,0.0232,0.022,0.0247,0.023299999999999998,0.001352774925846869,1,2
002-021-120,6e-4,0.001,3e-4,6.333333333333333e-4,3.5118845842842467e-4,1,3
002-021-120-200,4e-4,3e-4,1e-4,2.666666666666667e-4,1.5275252316519468e-4,1,4
002-021-120-210,2e-4,NA,1e-4,NA,NA,1,4
002-021-200,0.0081,0.009,0.0088,0.008633333333333333,4.725815626252609e-4,1,3
002-021-210,8e-4,0.0012,0.0011,0.0010333333333333334,2.0816659994661322e-4,1,3
002-100,0.0014,0.0014,0.0016,0.0014666666666666667,1.1547005383792521e-4,1,2
002-101,0.0013,0.0011,0.0014,0.0012666666666666666,1.5275252316519463e-4,1,2
002-101-120,1e-4,NA,NA,NA,NA,1,3
002-110,6e-4,8e-4,9e-4,7.666666666666667e-4,1.5275252316519468e-4,1,2
002-110-200,1e-4,7e-4,7e-4,5e-4,3.4641016151377546e-4,1,3
002-120,0.0033,0.0034,0.0037,0.0034666666666666665,2.081665999466134e-4,1,2
