Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0064,0.0077,0.0063,0.0068000000000000005,7.810249675906655e-4,1-10,2
-2,0.009,0.0078,0.0096,0.008799999999999999,9.165151389911678e-4,1-10,2
001-020,1e-4,2e-4,NA,NA,NA,1-10,2
001-200,1e-4,NA,1e-4,NA,NA,1-10,2
002,0.0614,0.0567,0.0585,0.05886666666666667,0.0023713568549109895,1-10,1
002-011,4e-4,3e-4,5e-4,4e-4,1.0000000000000002e-4,1-10,2
002-011-200,1e-4,NA,2e-4,NA,NA,1-10,3
002-020,0.042,0.0406,0.0434,0.042,0.001400000000000002,1-10,2
002-020-110,1e-4,NA,4e-4,NA,NA,1-10,3
002-020-200,0.0641,0.0716,0.0681,0.06793333333333333,0.003752776749732564,1-10,3
002-020-201,0.0061,0.0048,0.0059,0.0056,7.000000000000003e-4,1-10,3
002-020-201-210,5e-4,4e-4,2e-4,3.6666666666666667e-4,1.5275252316519468e-4,1-10,4
002-020-210,0.0055,0.0053,0.0059,0.005566666666666667,3.055050463303893e-4,1-10,3
002-021,0.0237,0.0239,0.0244,0.024,3.605551275464001e-4,1-10,2
002-021-120,0.0013,9e-4,9e-4,0.0010333333333333334,2.3094010767585029e-4,1-10,3
002-021-120-200,3e-4,3e-4,4e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,4
002-021-200,0.0063,0.0059,0.0055,0.0059,4.000000000000002e-4,1-10,3
002-021-210,0.0019,0.0021,0.0015,0.0018333333333333333,3.0550504633038926e-4,1-10,3
002-021-220,1e-4,NA,4e-4,NA,NA,1-10,3
002-101,6e-4,8e-4,4e-4,6.000000000000001e-4,2e-4,1-10,2
002-101-120,1e-4,NA,NA,NA,NA,1-10,3
002-120,0.0068,0.0051,0.0049,0.0056,0.0010440306508910549,1-10,2
002-120-200,0.0053,0.0056,0.0058,0.005566666666666667,2.516611478423581e-4,1-10,3
002-120-201,0.0015,0.0018,0.0015,0.0016,1.7320508075688767e-4,1-10,3
002-120-201-210,1e-4,1e-4,NA,NA,NA,1-10,4
002-120-210,4e-4,7e-4,4e-4,5e-4,1.7320508075688773e-4,1-10,3
002-200,0.0435,0.038,0.0373,0.039599999999999996,0.0033955853692699276,1-10,2
002-201,0.0238,0.0261,0.0237,0.024533333333333334,0.0013576941236277543,1-10,2
002-201-210,0.0014,0.0022,0.0012,0.0016,5.291502622129182e-4,1-10,3
002-201-220,3e-4,2e-4,4e-4,3.0000000000000003e-4,1e-4,1-10,3
002-210,0.006,0.0056,0.0056,0.005733333333333333,2.3094010767585042e-4,1-10,2
002-220,0.0029,0.0035,0.0032,0.0032,3.0000000000000014e-4,1-10,2
010,1e-4,NA,NA,NA,NA,1-10,1
011,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1-10,1
011-020,4e-4,5e-4,7e-4,5.333333333333334e-4,1.5275252316519465e-4,1-10,2
011-200,1e-4,NA,1e-4,NA,NA,1-10,2
012,0.0245,0.0253,0.0233,0.02436666666666667,0.0010066445913694325,1-10,1
012-020,0.0223,0.0254,0.0269,0.024866666666666665,0.0023459184413217207,1-10,2
012-020-102,0.0011,0.0023,0.0015,0.0016333333333333334,6.110100926607786e-4,1-10,3
012-020-102-200,4e-4,3e-4,2e-4,3.0000000000000003e-4,1e-4,1-10,4
012-020-102-201,1e-4,NA,NA,NA,NA,1-10,4
012-020-200,0.005,0.0048,0.0039,0.004566666666666667,5.859465277082316e-4,1-10,3
012-020-201,0.0014,0.0023,9e-4,0.0015333333333333334,7.094598884597587e-4,1-10,3
012-020-202,4e-4,6e-4,3e-4,4.333333333333333e-4,1.5275252316519465e-4,1-10,3
012-021,0.0094,0.0093,0.0076,0.008766666666666666,0.001011599393699568,1-10,2
012-021-102,0.001,0.0014,0.0017,0.0013666666666666666,3.5118845842842456e-4,1-10,3
012-021-102-220,1e-4,1e-4,NA,NA,NA,1-10,4
012-021-120,0.0013,0.0016,0.001,0.0013,3.0000000000000003e-4,1-10,3
012-021-120-200,1e-4,1e-4,NA,NA,NA,1-10,4
012-021-200,3e-4,3e-4,8e-4,4.6666666666666666e-4,2.886751345948129e-4,1-10,3
012-021-201,1e-4,3e-4,2e-4,1.9999999999999998e-4,9.999999999999999e-5,1-10,3
012-021-202,3e-4,8e-4,5e-4,5.333333333333334e-4,2.5166114784235834e-4,1-10,3
012-021-202-220,1e-4,NA,NA,NA,NA,1-10,4
012-021-210,4e-4,2e-4,3e-4,3.0000000000000003e-4,1e-4,1-10,3
012-021-220,3e-4,3e-4,9e-4,5e-4,3.4641016151377546e-4,1-10,3
012-102,0.0044,0.0039,0.0059,0.004733333333333333,0.0010408329997330663,1-10,2
012-102-120,4e-4,7e-4,7e-4,6.000000000000001e-4,1.7320508075688773e-4,1-10,3
012-102-120-201,1e-4,NA,NA,NA,NA,1-10,4
012-102-200,0.0013,0.0019,6e-4,0.0012666666666666666,6.506407098647712e-4,1-10,3
012-102-201,7e-4,0.0012,0.001,9.666666666666667e-4,2.516611478423583e-4,1-10,3
012-102-210,5e-4,5e-4,6e-4,5.333333333333334e-4,5.7735026918962544e-5,1-10,3
012-102-220,5e-4,3e-4,2e-4,3.333333333333333e-4,1.5275252316519468e-4,1-10,3
012-111,1e-4,NA,NA,NA,NA,1-10,2
012-111-120,1e-4,NA,1e-4,NA,NA,1-10,3
012-111-120-201,0.0015,0.0015,0.0012,0.0014,1.732050807568878e-4,1-10,4
012-111-201,1e-4,2e-4,NA,NA,NA,1-10,3
012-120,0.0076,0.0081,0.0081,0.007933333333333334,2.8867513459481263e-4,1-10,2
012-120-200,0.0016,0.0019,0.0013,0.0016,3.0000000000000003e-4,1-10,3
012-120-202,3e-4,7e-4,1e-4,3.6666666666666667e-4,3.0550504633038936e-4,1-10,3
012-120-210,5e-4,4e-4,3e-4,4e-4,1.0000000000000002e-4,1-10,3
012-200,0.0055,0.0047,0.005,0.005066666666666666,4.041451884327378e-4,1-10,2
012-201,0.0074,0.0074,0.0085,0.007766666666666667,6.350852961085885e-4,1-10,2
012-201-210,4e-4,6e-4,0.0011,7e-4,3.60555127546399e-4,1-10,3
012-201-220,6e-4,5e-4,6e-4,5.666666666666666e-4,5.7735026918962544e-5,1-10,3
012-202,0.0029,0.0023,0.0021,0.0024333333333333334,4.163331998932265e-4,1-10,2
012-202-220,2e-4,5e-4,2e-4,3.0000000000000003e-4,1.7320508075688773e-4,1-10,3
012-210,0.0106,0.011,0.0114,0.011,4.000000000000002e-4,1-10,2
012-220,0.0033,0.0042,0.0025,0.003333333333333333,8.504900548115381e-4,1-10,2
020,0.061,0.0555,0.0584,0.0583,0.00275136329843952,1-10,1
020-100,2e-4,1e-4,NA,NA,NA,1-10,2
020-102,0.0058,0.0063,0.0066,0.006233333333333333,4.0414518843273823e-4,1-10,2
020-102-110,1e-4,NA,NA,NA,NA,1-10,3
020-102-200,0.0034,0.0045,0.0055,0.0044666666666666665,0.0010503967504392486,1-10,3
020-102-201,5e-4,5e-4,1e-4,3.6666666666666667e-4,2.309401076758503e-4,1-10,3
020-102-201-210,1e-4,NA,1e-4,NA,NA,1-10,4
020-102-210,0.0014,0.0013,0.002,0.0015666666666666667,3.785938897200183e-4,1-10,3
020-110,3e-4,1e-4,7e-4,3.6666666666666667e-4,3.0550504633038936e-4,1-10,2
020-200,0.0415,0.037,0.0387,0.039066666666666666,0.002272296928953904,1-10,2
020-201,0.0055,0.0044,0.0049,0.004933333333333333,5.507570547286099e-4,1-10,2
020-201-210,0.0012,0.0015,0.0017,0.0014666666666666667,2.5166114784235834e-4,1-10,3
020-202,0.0026,0.0041,0.0031,0.003266666666666667,7.637626158259736e-4,1-10,2
020-202-210,4e-4,NA,5e-4,NA,NA,1-10,3
020-210,0.0256,0.0226,0.0261,0.024766666666666666,0.0018929694486000928,1-10,2
021,0.0232,0.0265,0.0244,0.0247,0.0016703293088490066,1-10,1
021-102,0.0087,0.0073,0.0082,0.008066666666666666,7.094598884597585e-4,1-10,2
021-102-111,1e-4,NA,NA,NA,NA,1-10,3
021-102-111-210,0.0018,0.0012,0.0021,0.0017,4.58257569495584e-4,1-10,4
021-102-120,3e-4,0.001,9e-4,7.333333333333333e-4,3.7859388972001824e-4,1-10,3
021-102-200,0.002,0.0015,0.0011,0.0015333333333333334,4.509249752822894e-4,1-10,3
021-102-201,3e-4,4e-4,3e-4,3.333333333333333e-4,5.7735026918962605e-5,1-10,3
021-102-210,1e-4,1e-4,1e-4,1e-4,0,1-10,3
021-102-220,8e-4,2e-4,4e-4,4.6666666666666666e-4,3.0550504633038936e-4,1-10,3
021-111-210,1e-4,NA,NA,NA,NA,1-10,3
021-120,0.0051,0.0044,0.0049,0.0048000000000000004,3.6055512754639893e-4,1-10,2
021-120-200,0.0011,0.0012,8e-4,0.0010333333333333334,2.0816659994661322e-4,1-10,3
021-120-201,9e-4,1e-4,9e-4,6.333333333333333e-4,4.6188021535170057e-4,1-10,3
021-120-202,3e-4,7e-4,1e-4,3.6666666666666667e-4,3.0550504633038936e-4,1-10,3
021-120-202-210,1e-4,NA,1e-4,NA,NA,1-10,4
021-120-210,0.0013,0.0015,8e-4,0.0012000000000000001,3.6055512754639893e-4,1-10,3
021-200,0.0037,0.005,0.0057,0.0048000000000000004,0.001014889156509222,1-10,2
021-201,0.0087,0.0119,0.0107,0.010433333333333333,0.001616580753730953,1-10,2
021-201-210,9e-4,4e-4,6e-4,6.333333333333333e-4,2.516611478423583e-4,1-10,3
021-202,0.0038,0.0034,0.0025,0.0032333333333333333,6.658328118479392e-4,1-10,2
021-202-210,5e-4,5e-4,4e-4,4.6666666666666666e-4,5.773502691896257e-5,1-10,3
021-202-211,2e-4,NA,NA,NA,NA,1-10,3
021-202-220,1e-4,3e-4,5e-4,3e-4,2e-4,1-10,3
021-210,0.0077,0.008,0.0091,0.008266666666666667,7.371114795831995e-4,1-10,2
021-220,0.0031,0.0027,0.0021,0.0026333333333333334,5.033222956847167e-4,1-10,2
022,0.0211,0.0185,0.0231,0.0209,0.0023065125189341592,1-10,1
022-102,0.003,0.0021,0.0029,0.0026666666666666666,4.932882862316248e-4,1-10,2
022-102-200,4e-4,5e-4,6e-4,5e-4,9.999999999999996e-5,1-10,3
022-102-201,7e-4,6e-4,4e-4,5.666666666666667e-4,1.5275252316519465e-4,1-10,3
022-102-201-210,1e-4,NA,NA,NA,NA,1-10,4
022-102-210,1e-4,6e-4,5e-4,3.9999999999999996e-4,2.6457513110645904e-4,1-10,3
