Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0057,0.0045,0.0063,0.0055,9.165151389911682e-4,2-11,2
-2,0.009,0.0097,0.0088,0.009166666666666667,4.725815626252609e-4,2-11,2
002,0.0575,0.0594,0.0613,0.0594,0.001899999999999999,2-11,1
002-011,5e-4,NA,2e-4,NA,NA,2-11,2
002-020,0.031,0.0288,0.03,0.029933333333333333,0.0011015141094572207,2-11,2
002-020-200,0.0444,0.0475,0.0478,0.046566666666666666,0.001882374387132733,2-11,3
002-020-201,0.0046,0.0042,0.0046,0.0044666666666666665,2.3094010767585042e-4,2-11,3
002-020-201-210,1e-4,NA,2e-4,NA,NA,2-11,4
002-020-210,0.0041,0.0036,0.0034,0.0037,3.605551275463992e-4,2-11,3
002-021,0.0226,0.0231,0.0178,0.021166666666666667,0.0029263173671584784,2-11,2
002-021-120,8e-4,0.0017,4e-4,9.666666666666667e-4,6.658328118479392e-4,2-11,3
002-021-120-200,4e-4,2e-4,4e-4,3.333333333333334e-4,1.1547005383792516e-4,2-11,4
002-021-200,0.0054,0.0039,0.005,0.0047666666666666664,7.767453465154032e-4,2-11,3
002-021-210,0.0019,0.001,0.0014,0.0014333333333333333,4.509249752822894e-4,2-11,3
002-021-220,5e-4,NA,3e-4,NA,NA,2-11,3
002-100,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,2
002-101,2e-4,4e-4,2e-4,2.666666666666667e-4,1.1547005383792516e-4,2-11,2
002-110,1e-4,NA,1e-4,NA,NA,2-11,2
002-120,0.0052,0.0042,0.0063,0.005233333333333333,0.0010503967504392488,2-11,2
002-120-200,0.0041,0.0038,0.0032,0.0037,4.5825756949558405e-4,2-11,3
002-120-201,0.0013,0.0016,0.0015,0.0014666666666666667,1.5275252316519474e-4,2-11,3
002-120-201-210,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,2-11,4
002-120-210,8e-4,4e-4,2e-4,4.6666666666666666e-4,3.0550504633038936e-4,2-11,3
002-200,0.0296,0.0286,0.0259,0.028033333333333334,0.0019139836293274133,2-11,2
002-201,0.0215,0.0206,0.0182,0.0201,0.0017058722109231969,2-11,2
002-201-210,0.0013,5e-4,9e-4,9e-4,3.9999999999999996e-4,2-11,3
