parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,012-201,012,012-102-201,2,0.47,0.169172,-0.373918,5.422916,0.47
1,2,012-201,201,012-102-201,2,0.53,6.922329,-3.173804,-0.238199,0.53
2,2,102-120,120,102-120,2,0.71,1.616425,5.308845,-1.411191,0.71
2,2,102-120,102,102-120,2,0.29,1.051676,-0.239127,4.881223,0.29
3,1,002,002,002-020,1,1,-1.186007,0.262867,7.29806,1
4,2,002-200,002,002-200,2,0.86,0.968618,-1.636794,7.294577,0.86
4,2,002-200,200,002-200,2,0.14,5.971409,0.823522,1.001579,0.14
5,1,201,201,002-201,1,1,5.257888,-4.141483,1.781262,1
6,3,012-020-210,210,012-020,3,0.32,6.003779,0.245591,0.129998,0.32
6,3,012-020-210,020,012-020,3,0.58,0.71518,6.41033,-0.288107,0.58
6,3,012-020-210,012,012-020,3,0.1,-0.117758,1.097339,5.990247,0.1
7,2,020-200,020,002-020-200,2,0.83,0.519488,6.550113,-0.296242,0.83
7,2,020-200,200,002-020-200,2,0.17,5.474916,0.350243,-0.558183,0.17
8,2,102-200,102,020-102-200,2,0.46,1.556149,-3.881229,6.212288,0.46
8,2,102-200,200,020-102-200,2,0.54,6.763231,-0.741608,2.353687,0.54
9,1,020,020,020,1,1,-0.247944,6.92653,0.751088,1
10,2,102-200,102,102-200,2,0.67,0.463874,-1.096661,7.397973,0.67
10,2,102-200,200,102-200,2,0.33,6.877654,-0.594022,0.893552,0.33
11,2,020-200,200,020-200,2,0.45,7.356537,0.526229,0.89007,0.45
11,2,020-200,020,020-200,2,0.55,1.455745,6.259864,-0.201291,0.55
12,2,102-120,120,102,2,0.19,2.467847,3.305156,-0.249317,0.19
12,2,102-120,102,102,2,0.81,2.072245,-2.040658,6.073229,0.81
13,1,200,200,200,1,1,7.147179,-0.990691,1.459168,1
14,2,002-200,200,002-200,2,0.15,6.190606,1.69772,0.994885,0.15
14,2,002-200,002,002-200,2,0.85,1.413279,0.958526,7.503318,0.85
15,2,022-201,201,201,2,0.98,6.122384,-0.125441,2.936467,0.98
15,2,022-201,022,201,2,0.02,0.864289,4.144688,3.373697,0.02
16,2,002-020,020,002-020,2,0.82,1.160923,6.383858,1.960084,0.82
16,2,002-020,002,002-020,2,0.18,1.694604,-0.112305,5.775441,0.18
17,2,020-200,200,002-020-200,2,0.27,5.96639,-1.141388,2.547765,0.27
17,2,020-200,020,002-020-200,2,0.73,1.013914,5.639674,1.207612,0.73
18,2,012-020,012,012-020,2,0.59,-3.84865,1.384863,6.65351,0.59
18,2,012-020,020,012-020,2,0.41,-0.107121,6.618697,1.654994,0.41
