Phase,RACIPE,DSGRN,JSD,Parameter,nState
001-002-020-021-101,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002,0.07121057985757884,0,0.6453298848965817,Phase,3
002-011-110,0,5.08646998982706e-4,0.6453298848965817,Phase,3
002-011-200,0,0.001017293997965412,0.6453298848965817,Phase,3
002-011-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-012-102-112-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-012-200-202-212,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-020,0.11291963377416073,0,0.6453298848965817,Phase,3
002-020-021-120-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-020-102-112-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-020-110,0,5.08646998982706e-4,0.6453298848965817,Phase,3
002-020-200,0.10630722278738555,0.5722278738555443,0.6453298848965817,Phase,3
002-020-201,0.01017293997965412,0.04018311291963377,0.6453298848965817,Phase,3
002-020-202,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-020-210,0.009664292980671414,0.0422177009155646,0.6453298848965817,Phase,3
002-021,0.02288911495422177,0,0.6453298848965817,Phase,3
002-021-022-101-112-120-201,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-021-120,5.08646998982706e-4,0.0076297049847405905,0.6453298848965817,Phase,3
002-021-200,0.005595116988809766,0.041200406917599186,0.6453298848965817,Phase,3
002-021-210,0.001017293997965412,0.008646998982706003,0.6453298848965817,Phase,3
002-021-210-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-021-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-021-220,0,0.001525940996948118,0.6453298848965817,Phase,3
002-022,0.001017293997965412,0,0.6453298848965817,Phase,3
002-022-120-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-022-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-110-200,0,5.08646998982706e-4,0.6453298848965817,Phase,3
002-120,0.006612410986775178,0,0.6453298848965817,Phase,3
002-120-121-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-120-200,0.01017293997965412,0.04170905391658189,0.6453298848965817,Phase,3
002-120-201,0.00254323499491353,0.008646998982706003,0.6453298848965817,Phase,3
002-120-210,0.001017293997965412,0.007121057985757884,0.6453298848965817,Phase,3
002-121,5.08646998982706e-4,0,0.6453298848965817,Phase,3
002-200,0.11546286876907426,0,0.6453298848965817,Phase,3
002-201,0.018311291963377416,0,0.6453298848965817,Phase,3
002-201-210,0,0.00508646998982706,0.6453298848965817,Phase,3
002-201-220,0,0.00254323499491353,0.6453298848965817,Phase,3
002-210,0.00254323499491353,0,0.6453298848965817,Phase,3
002-220,0.00254323499491353,0,0.6453298848965817,Phase,3
011-020-200,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012,0.01017293997965412,0,0.6453298848965817,Phase,3
012-020,0.01780264496439471,0,0.6453298848965817,Phase,3
012-020-102,0,0.008138351983723296,0.6453298848965817,Phase,3
012-020-200,0.010681586978636826,0.04069175991861648,0.6453298848965817,Phase,3
012-020-201,0.004577822990844354,0.010681586978636826,0.6453298848965817,Phase,3
012-020-202,5.08646998982706e-4,0.001017293997965412,0.6453298848965817,Phase,3
012-020-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-020-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-021,0.007121057985757884,0,0.6453298848965817,Phase,3
012-021-102,0.001017293997965412,0.004577822990844354,0.6453298848965817,Phase,3
012-021-111-121,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-021-120,0,0.003560528992878942,0.6453298848965817,Phase,3
012-021-200,0.001525940996948118,0.003051881993896236,0.6453298848965817,Phase,3
012-021-202,0.001017293997965412,0.001017293997965412,0.6453298848965817,Phase,3
012-021-210,0,0.001017293997965412,0.6453298848965817,Phase,3
012-021-220,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012-102,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-102-120,0,0.001017293997965412,0.6453298848965817,Phase,3
012-102-121,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-102-200,0,0.007121057985757884,0.6453298848965817,Phase,3
012-102-201,0,0.006103763987792472,0.6453298848965817,Phase,3
012-102-210,0,0.004069175991861648,0.6453298848965817,Phase,3
012-102-220,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012-110-200,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012-111-201,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012-112-120-121-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-120,0.003560528992878942,0,0.6453298848965817,Phase,3
012-120-200,0.001525940996948118,0.006612410986775178,0.6453298848965817,Phase,3
012-120-201,0.001017293997965412,0.001017293997965412,0.6453298848965817,Phase,3
012-120-202,0,0.001525940996948118,0.6453298848965817,Phase,3
012-120-210,0,0.00254323499491353,0.6453298848965817,Phase,3
012-200,0.004069175991861648,0,0.6453298848965817,Phase,3
012-201,0.003560528992878942,0,0.6453298848965817,Phase,3
012-201-210,0,0.003051881993896236,0.6453298848965817,Phase,3
012-201-220,0,0.002034587995930824,0.6453298848965817,Phase,3
012-202-220,0,5.08646998982706e-4,0.6453298848965817,Phase,3
012-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
012-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020,0.07019328585961343,0,0.6453298848965817,Phase,3
020-021-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-022-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-101,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-101-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-102,0.009664292980671414,0,0.6453298848965817,Phase,3
020-102-111-201-202-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-102-200,0.006103763987792472,0.04018311291963377,0.6453298848965817,Phase,3
020-102-201,5.08646998982706e-4,0.003051881993896236,0.6453298848965817,Phase,3
020-102-210,0.003560528992878942,0.00508646998982706,0.6453298848965817,Phase,3
020-200,0.10935910478128179,0,0.6453298848965817,Phase,3
020-200-202,0.001017293997965412,0,0.6453298848965817,Phase,3
020-201,0.004577822990844354,0,0.6453298848965817,Phase,3
020-201-210,0,0.00508646998982706,0.6453298848965817,Phase,3
020-202,5.08646998982706e-4,0,0.6453298848965817,Phase,3
020-202-210,0.001525940996948118,0.001017293997965412,0.6453298848965817,Phase,3
020-210,0.013733468972533061,0,0.6453298848965817,Phase,3
020-220,0.001017293997965412,0,0.6453298848965817,Phase,3
021,0.005595116988809766,0,0.6453298848965817,Phase,3
021-022,5.08646998982706e-4,0,0.6453298848965817,Phase,3
021-022-120-121-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
021-102,0.003051881993896236,0,0.6453298848965817,Phase,3
021-102-111,0,5.08646998982706e-4,0.6453298848965817,Phase,3
021-102-120,0,0.00254323499491353,0.6453298848965817,Phase,3
021-102-200,0.00254323499491353,0.008138351983723296,0.6453298848965817,Phase,3
021-102-210,5.08646998982706e-4,5.08646998982706e-4,0.6453298848965817,Phase,3
021-102-220,0,0.001017293997965412,0.6453298848965817,Phase,3
021-111-210,0,5.08646998982706e-4,0.6453298848965817,Phase,3
021-112-120,5.08646998982706e-4,0,0.6453298848965817,Phase,3
021-120-200,0,0.0076297049847405905,0.6453298848965817,Phase,3
021-120-201,0,0.00254323499491353,0.6453298848965817,Phase,3
021-120-202,0,0.001017293997965412,0.6453298848965817,Phase,3
021-120-210,0,0.003560528992878942,0.6453298848965817,Phase,3
021-200,0.0076297049847405905,0,0.6453298848965817,Phase,3
021-201,0.001525940996948118,0,0.6453298848965817,Phase,3
021-201-210,0,0.00254323499491353,0.6453298848965817,Phase,3
021-202,0.001017293997965412,0,0.6453298848965817,Phase,3
021-202-210,0,0.001017293997965412,0.6453298848965817,Phase,3
021-202-211,0,5.08646998982706e-4,0.6453298848965817,Phase,3
021-210,0.004069175991861648,0,0.6453298848965817,Phase,3
022,5.08646998982706e-4,0,0.6453298848965817,Phase,3
022-102-200,5.08646998982706e-4,0.001017293997965412,0.6453298848965817,Phase,3
022-102-201,0,5.08646998982706e-4,0.6453298848965817,Phase,3
022-120-200,5.08646998982706e-4,0.001017293997965412,0.6453298848965817,Phase,3
022-120-201,0,0.001017293997965412,0.6453298848965817,Phase,3
022-120-202,0,0.001017293997965412,0.6453298848965817,Phase,3
022-120-210,0,0.001017293997965412,0.6453298848965817,Phase,3
022-121-211,0,5.08646998982706e-4,0.6453298848965817,Phase,3
022-122-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
022-122-220-221,5.08646998982706e-4,0,0.6453298848965817,Phase,3
022-200,0.002034587995930824,0,0.6453298848965817,Phase,3
022-201,0.001525940996948118,0,0.6453298848965817,Phase,3
022-201-210,0,0.001017293997965412,0.6453298848965817,Phase,3
022-202-220,0,0.001525940996948118,0.6453298848965817,Phase,3
022-210,0.002034587995930824,0,0.6453298848965817,Phase,3
022-212,5.08646998982706e-4,0,0.6453298848965817,Phase,3
022-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
102,0.009155645981688708,0,0.6453298848965817,Phase,3
102-120,0.001017293997965412,0,0.6453298848965817,Phase,3
102-120-200,0.002034587995930824,0,0.6453298848965817,Phase,3
102-120-201,0,5.08646998982706e-4,0.6453298848965817,Phase,3
102-120-210,0,5.08646998982706e-4,0.6453298848965817,Phase,3
102-200,0.015259409969481181,0,0.6453298848965817,Phase,3
102-201,0.004069175991861648,0,0.6453298848965817,Phase,3
102-201-210,5.08646998982706e-4,0.003560528992878942,0.6453298848965817,Phase,3
102-201-220,0.001017293997965412,5.08646998982706e-4,0.6453298848965817,Phase,3
102-210,0.002034587995930824,0,0.6453298848965817,Phase,3
110-111-200,5.08646998982706e-4,0,0.6453298848965817,Phase,3
110-201,5.08646998982706e-4,0,0.6453298848965817,Phase,3
112-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
120,0.006103763987792472,0,0.6453298848965817,Phase,3
120-200,0.020854526958290945,0,0.6453298848965817,Phase,3
120-201,0.001525940996948118,0,0.6453298848965817,Phase,3
120-201-210,5.08646998982706e-4,0.00508646998982706,0.6453298848965817,Phase,3
120-202,0.003560528992878942,0,0.6453298848965817,Phase,3
120-202-210,5.08646998982706e-4,0.001525940996948118,0.6453298848965817,Phase,3
120-210,0.005595116988809766,0,0.6453298848965817,Phase,3
120-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
121-200-201-210-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
121-201,0.001525940996948118,0,0.6453298848965817,Phase,3
121-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
122,5.08646998982706e-4,0,0.6453298848965817,Phase,3
200,0.052899287894201424,0,0.6453298848965817,Phase,3
200-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
201,0.005595116988809766,0,0.6453298848965817,Phase,3
201-202,5.08646998982706e-4,0,0.6453298848965817,Phase,3
201-202-211,5.08646998982706e-4,0,0.6453298848965817,Phase,3
201-210,0.001017293997965412,0,0.6453298848965817,Phase,3
201-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
202,0.002034587995930824,0,0.6453298848965817,Phase,3
202-210,5.08646998982706e-4,0,0.6453298848965817,Phase,3
202-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
210,0.01017293997965412,0,0.6453298848965817,Phase,3
211-220,5.08646998982706e-4,0,0.6453298848965817,Phase,3
220,0.004577822990844354,0,0.6453298848965817,Phase,3
Monostable,0.24872838250254323,0,0.13714861716885948,monoMulti,3
Multistable,0.7512716174974567,1,0.13714861716885948,monoMulti,3
1,0.24872838250254323,0,0.6134156817328814,nState,3
2,0.5462868769074263,0,0.6134156817328814,nState,3
3,0.19735503560528994,1,0.6134156817328814,nState,3
4,0.00254323499491353,0,0.6134156817328814,nState,3
5,0.004069175991861648,0,0.6134156817328814,nState,3
