Phase,RACIPE,DSGRN,JSD,Parameter,nState
002,0.07344389403402972,0.08012061167348697,0.0474959315707071,Phase,1
002-012-020-102,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-021-102-202-210-211,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-022-102-112-120,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-022-102-112-200,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-022-202,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-102,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-102-120,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-102-120-202,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-112,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-012-201,4.307559767391773e-4,0,0.0474959315707071,Phase,1
002-020-021-120-201-211,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-021,6.461339651087659e-4,0,0.0474959315707071,Phase,1
002-021-022-102-112-121,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-021-022-121-202-220-221,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-021-111-201,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-021-120-211-220,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-021-201-202,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-022,0.002153779883695886,0,0.0474959315707071,Phase,1
002-022-102-120-121,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-102,4.307559767391773e-4,0,0.0474959315707071,Phase,1
002-102-110-200-201-202-210,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-102-202-211-220,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-120,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-120-200-201-220,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-120-210,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
002-121-210-211-220,2.1537798836958864e-4,0,0.0474959315707071,Phase,1
