Phase,Count,Frequency
001-020,1,1e-4
002,707,0.0707
002-011,2,2e-4
002-011-012-020-200-210,1,1e-4
002-012,2,2e-4
002-012-020-022-120,1,1e-4
002-012-020-102-202,1,1e-4
002-012-020-211-212,1,1e-4
002-012-102-201-202-211,1,1e-4
002-020,445,0.0445
002-020-021-111-120-220,1,1e-4
002-020-021-120-121,2,2e-4
002-020-021-120-201,1,1e-4
002-020-111-112-201-210,1,1e-4
002-020-200,372,0.0372
002-020-201,41,0.0041
002-020-201-210,2,2e-4
002-020-201-210-211,1,1e-4
002-020-202,11,0.0011
002-020-210,41,0.0041
002-020-220,7,7e-4
002-021,241,0.0241
002-021-022-120-121,1,1e-4
002-021-022-201-220-221,1,1e-4
002-021-101-111-120-201,1,1e-4
002-021-120,2,2e-4
002-021-120-121,1,1e-4
002-021-120-121-201-220,1,1e-4
002-021-120-121-220,1,1e-4
002-021-121-122-201-211-220,1,1e-4
002-021-200,31,0.0031
002-021-201,14,0.0014
002-021-201-221,1,1e-4
002-021-202,2,2e-4
002-021-210,5,5e-4
002-021-220,8,8e-4
002-022,42,0.0042
002-022-102-200-220-222,1,1e-4
002-022-120-121-122,1,1e-4
002-022-120-200,1,1e-4
002-022-120-202-212-220,1,1e-4
002-022-200,12,0.0012
002-022-201,1,1e-4
002-022-210,2,2e-4
002-022-220,2,2e-4
002-101,1,1e-4
002-110-200,1,1e-4
002-120,45,0.0045
002-120-200,40,0.004
002-120-201,14,0.0014
002-120-201-210,1,1e-4
002-120-202,2,2e-4
002-120-210,5,5e-4
002-120-220,3,3e-4
002-121-200,1,1e-4
002-121-202,2,2e-4
002-200,367,0.0367
002-200-201-210-220,1,1e-4
002-200-220,14,0.0014
002-201,219,0.0219
002-201-202,1,1e-4
002-201-210,4,4e-4
002-201-220,3,3e-4
002-201-221,1,1e-4
002-202,32,0.0032
002-202-220,1,1e-4
002-210,29,0.0029
002-210-220,2,2e-4
002-211,1,1e-4
002-220,42,0.0042
002-221,2,2e-4
011-012,1,1e-4
011-020-201,1,1e-4
011-111-201-210-211,1,1e-4
012,221,0.0221
012-020,256,0.0256
012-020-021-220,1,1e-4
012-020-022-112-120-200,1,1e-4
012-020-022-112-122-200,1,1e-4
012-020-102,1,1e-4
012-020-102-112-210,1,1e-4
012-020-102-122-201,1,1e-4
012-020-112-200,1,1e-4
012-020-112-220,1,1e-4
012-020-200,31,0.0031
012-020-200-201-210-211,1,1e-4
012-020-201,18,0.0018
012-020-201-210,1,1e-4
012-020-201-210-211,2,2e-4
012-020-202,5,5e-4
012-020-202-210,1,1e-4
012-020-210,22,0.0022
012-020-210-211,1,1e-4
012-020-210-211-220-221,1,1e-4
012-020-211,2,2e-4
012-020-220,1,1e-4
012-021,93,0.0093
012-021-022-112-121,1,1e-4
012-021-022-112-210,1,1e-4
012-021-022-121-122,1,1e-4
012-021-102,1,1e-4
012-021-120,8,8e-4
012-021-200,4,4e-4
012-021-201,3,3e-4
012-021-202,4,4e-4
012-021-202-212,1,1e-4
012-021-210,6,6e-4
012-021-211,1,1e-4
012-021-220,4,4e-4
012-021-220-221,1,1e-4
012-022,30,0.003
012-022-102-120-122,1,1e-4
012-022-120,1,1e-4
012-022-120-122-200,1,1e-4
012-022-120-210,1,1e-4
012-022-200,1,1e-4
012-022-201,2,2e-4
012-022-202,2,2e-4
012-022-210,4,4e-4
012-022-220,1,1e-4
012-102,13,0.0013
012-102-110-120-201,1,1e-4
012-102-112-120-122-202,1,1e-4
012-102-120,1,1e-4
012-102-120-212,1,1e-4
012-102-121,1,1e-4
012-102-200,2,2e-4
012-102-201,3,3e-4
012-102-202,1,1e-4
012-102-210,2,2e-4
012-102-220,1,1e-4
012-110-111,1,1e-4
012-112,1,1e-4
012-112-120-200,1,1e-4
012-112-120-202,1,1e-4
012-112-121-211-212,1,1e-4
012-112-202-212,1,1e-4
