parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,1,120,120,120,1,1,-0.716428,6.629975,-0.186858,1
2,2,120-210,210,120-210,2,0.4,6.102846,0.544148,-5.072245,0.4
2,2,120-210,120,120-210,2,0.6,1.259733,5.382912,-5.594823,0.6
3,1,020,020,020,1,1,0.551495,6.785387,0.193961,1
4,2,102-220,220,102-220,2,0.82,2.96181,3.740527,-5.412986,0.82
4,2,102-220,102,102-220,2,0.18,1.006426,-2.434583,6.237477,0.18
5,3,022-102-210,210,022-102-210,3,0.18,6.823486,0.96272,-3.684197,0.18
5,3,022-102-210,102,022-102-210,3,0.45,0.366352,-4.59323,6.237477,0.45
5,3,022-102-210,022,022-102-210,3,0.37,-3.896642,1.123711,2.254313,0.37
6,1,021,021,021,1,1,-1.629259,2.485809,0.824239,1
7,1,200,200,200,1,1,5.903564,-0.185493,-0.018037,1
8,3,012-020-200,012,012-020-200,3,0.08,-5.262031,1.000572,5.535372,0.08
8,3,012-020-200,200,012-020-200,3,0.33,4.190446,0.064228,-0.965092,0.33
8,3,012-020-200,020,012-020-200,3,0.59,-1.786458,6.414079,-0.889429,0.59
9,1,201,201,201,1,1,6.531739,-4.040421,1.353672,1
10,2,020-202,020,020-202,2,0.52,-1.786457,6.414079,-0.441519,0.52
10,2,020-202,202,020-202,2,0.48,0.71474,-5.800713,2.05968,0.48
11,1,102,102,102,1,1,0.550714,-5.615901,6.237477,1
12,3,021-202-220,202,021-202-220,3,0.43,1.690687,-3.733385,2.383196,0.43
12,3,021-202-220,021,021-202-220,3,0.22,-4.66783,6.361709,0.837038,0.22
12,3,021-202-220,220,021-202-220,3,0.35,1.048573,0.281351,-3.441953,0.35
13,1,200,200,200,1,1,6.505412,-0.13412,-0.777023,1
14,2,002-020,002,002-020,2,0.31,-0.79126,0.266303,5.15816,0.31
14,2,002-020,020,002-020,2,0.69,-1.433374,4.281039,-0.687805,0.69
15,3,020-201-220,201,020-201,3,0.37,5.900193,-3.354533,0.961101,0.37
15,3,020-201-220,020,020-201,3,0.28,-0.524725,6.298654,-0.529492,0.28
15,3,020-201-220,220,020-201,3,0.35,3.946009,1.739236,-4.300502,0.35
16,2,012-220,012,012-220,2,0.38,-3.664289,-0.126613,6.937243,0.38
16,2,012-220,220,012-220,2,0.62,2.43916,2.299224,-5.748342,0.62
17,1,200,200,200,1,1,6.115773,-0.408562,-2.580116,1
18,2,002-220,002,002-220,2,0.88,1.017851,0.398128,6.575114,0.88
18,2,002-220,220,002-220,2,0.12,1.524336,1.948109,-3.760456,0.12
19,1,020,020,020-201,1,1,-2.814325,5.964892,0.66123,1
20,3,102-201-220,201,102-201-220,3,0.14,6.010408,-4.610385,1.677141,0.14
20,3,102-201-220,102,102-201-220,3,0.25,-0.61294,-4.610388,7.646001,0.25
20,3,102-201-220,220,102-201-220,3,0.61,1.502146,1.559851,-4.927649,0.61
21,2,012-120,120,012-120,2,0.97,0.619933,6.672008,-8.551286,0.97
21,2,012-120,012,012-120,2,0.03,-5.0622490000000004,0.77783,2.581585,0.03
22,2,012-201,201,012-201,2,0.86,7.805793,-5.33691,-1.444794,0.86
22,2,012-201,012,012-201,2,0.14,-2.625493,1.112009,5.144637,0.14
23,1,022,022,022,1,1,-2.84277,2.195665,1.792776,1
24,1,002,002,002,1,1,0.880623,0.222853,6.348805,1
25,1,020,020,020-102,1,1,0.473681,7.486734,-2.159405,1
26,2,020-210,210,020-210,2,0.36,6.36433,0.1138,-6.134161,0.36
26,2,020-210,020,020-210,2,0.64,-0.136148,6.436575,-0.417221,0.64
27,2,022-202,202,022-202,2,0.55,4.651615,-2.510299,-0.213222,0.55
27,2,022-202,022,022-202,2,0.45,-1.008199,2.732188,0.761046,0.45
28,1,022,022,022,1,1,-8.259059,2.657697,1.980797,1
29,1,220,220,220,1,1,3.559638,0.561825,-3.031426,1
30,1,202,202,202,1,1,1.783067,-5.540792,2.548577,1
31,1,202,202,202,1,1,1.833677,-6.417504,1.317684,1
32,2,002-021,021,002-021,2,0.75,-4.265304,3.726142,-0.946236,0.75
32,2,002-021,002,002-021,2,0.25,0.791276,-2.586935,5.538693,0.25
33,1,220,220,-1,1,1,2.092174,3.988893,-6.52451,1
34,2,102-120,120,102-120,2,0.01,-2.308649,4.086728,-4.232628,0.01
34,2,102-120,102,102-120,2,0.99,-2.319085,-2.530039,1.793546,0.99
35,3,022-120-201,120,022-120-201,3,0.67,-0.155038,4.525903,-4.53291,0.67
35,3,022-120-201,201,022-120-201,3,0.1,4.125748,-3.496743,0.447667,0.1
35,3,022-120-201,022,022-120-201,3,0.23,-5.931915,3.098366,1.656535,0.23
36,1,202,202,202,1,1,0.802141,-3.490306,5.514685,1
37,3,022-102-220,022,022-102-220,3,0.2,-2.744431,1.888675,1.890087,0.2
37,3,022-102-220,220,022-102-220,3,0.37,3.419679,1.892544,-4.658766,0.37
