Phase,Count,Frequency
002,363,0.0363
002-012,2,2e-4
002-012-020,2,2e-4
002-012-020-102-200,1,1e-4
002-012-022-102,1,1e-4
002-012-022-102-120,1,1e-4
002-012-022-102-121,1,1e-4
002-012-022-121-201-202-211,1,1e-4
002-012-102,2,2e-4
002-012-201,1,1e-4
002-012-201-210,1,1e-4
002-012-202,2,2e-4
002-012-202-220,1,1e-4
002-012-210,1,1e-4
002-020,79,0.0079
002-020-021-201-211-220,1,1e-4
002-020-200,79,0.0079
002-020-201,7,7e-4
002-020-210,8,8e-4
002-020-220,1,1e-4
002-021,84,0.0084
002-021-022-200,1,1e-4
002-021-101-120-201-210,1,1e-4
002-021-120,1,1e-4
002-021-120-121-201-210-220,1,1e-4
002-021-120-200,1,1e-4
002-021-120-201,1,1e-4
002-021-200,8,8e-4
002-021-201,1,1e-4
002-021-201-211-220,1,1e-4
002-021-210,6,6e-4
002-021-220,4,4e-4
002-022,5,5e-4
002-022-102,2,2e-4
002-022-102-121,1,1e-4
002-022-200,1,1e-4
002-022-200-201-210,1,1e-4
002-101,1,1e-4
002-102-120,3,3e-4
002-120,18,0.0018
002-120-200,11,0.0011
002-120-201,4,4e-4
002-120-210,2,2e-4
002-121-210-220,1,1e-4
002-200,87,0.0087
002-200-220,1,1e-4
002-201,80,0.008
002-201-210,5,5e-4
002-201-220,2,2e-4
002-202,3,3e-4
002-210,22,0.0022
002-220,21,0.0021
011-020,1,1e-4
011-020-021,1,1e-4
011-020-021-111,1,1e-4
012,249,0.0249
012-020,89,0.0089
012-020-021-120-200,1,1e-4
012-020-022-120-210,1,1e-4
012-020-102,3,3e-4
012-020-102-110-111-200-201-210,1,1e-4
012-020-120-121,1,1e-4
012-020-200,7,7e-4
012-020-201,5,5e-4
012-020-202,1,1e-4
012-020-210,3,3e-4
012-021,42,0.0042
012-021-022-102-112-121,1,1e-4
012-021-022-102-120-200,1,1e-4
012-021-022-102-202-220,1,1e-4
012-021-022-112-121-200,1,1e-4
012-021-022-112-121-201,1,1e-4
012-021-022-112-121-202-210,1,1e-4
012-021-022-112-210,2,2e-4
012-021-022-112-220,1,1e-4
012-021-022-201,1,1e-4
012-021-022-220,1,1e-4
012-021-102,12,0.0012
012-021-102-201-202-220,1,1e-4
012-021-102-220,1,1e-4
012-021-111-210-211-220,1,1e-4
012-021-112-201-202-211,1,1e-4
012-021-120,6,6e-4
012-021-120-200,1,1e-4
012-021-120-202,1,1e-4
012-021-200,1,1e-4
012-021-201-210-220,1,1e-4
012-021-202,15,0.0015
012-021-202-210,1,1e-4
012-021-202-220,9,9e-4
012-021-210,2,2e-4
012-021-210-211-220,1,1e-4
012-021-211-220,2,2e-4
012-021-220,8,8e-4
012-022,1,1e-4
012-022-101-102-111-120-121,1,1e-4
012-022-102,2,2e-4
012-022-102-111-112-201,1,1e-4
012-022-102-112-120,1,1e-4
012-022-102-112-121,1,1e-4
012-022-102-120-121-200,1,1e-4
012-022-102-121-200,1,1e-4
012-022-102-200,1,1e-4
012-022-102-201,1,1e-4
012-022-102-220,1,1e-4
012-022-111-112-121-210,1,1e-4
012-022-111-202-220,1,1e-4
012-022-112,2,2e-4
012-022-112-120-122-201-220,1,1e-4
012-022-112-120-210-220,1,1e-4
012-022-112-121,1,1e-4
012-022-112-121-122,2,2e-4
012-022-112-121-201,1,1e-4
012-022-112-121-202,2,2e-4
012-022-112-121-220,1,1e-4
012-022-120,1,1e-4
012-022-120-121,1,1e-4
012-022-120-201,1,1e-4
012-022-121,2,2e-4
012-022-121-201,1,1e-4
012-022-121-211-212-220,1,1e-4
012-022-201-202,1,1e-4
012-022-201-220,1,1e-4
012-022-202-212,1,1e-4
012-022-202-220,2,2e-4
012-022-211-220,1,1e-4
012-022-220,1,1e-4
012-102,56,0.0056
012-102-112-201-202,1,1e-4
012-102-112-201-210-211,1,1e-4
012-102-112-202,2,2e-4
012-102-112-202-211,1,1e-4
012-102-120,2,2e-4
012-102-120-200,1,1e-4
012-102-200,4,4e-4
012-102-200-202,1,1e-4
012-102-201,13,0.0013
012-102-201-202-220,1,1e-4
012-102-202,1,1e-4
012-102-210,3,3e-4
012-102-211,1,1e-4
012-102-220,8,8e-4
012-111-120-201,8,8e-4
012-111-210-220,1,1e-4
012-112,1,1e-4
012-112-120-201-202-210-211,1,1e-4
012-112-201-202-210,1,1e-4
012-112-201-202-210-211,1,1e-4
012-112-202,1,1e-4
012-112-202-210-211,1,1e-4
012-112-202-211,1,1e-4
012-120,63,0.0063
012-120-121-220,1,1e-4
012-120-200,6,6e-4
012-120-201,8,8e-4
012-120-202,19,0.0019
012-120-210,6,6e-4
012-120-211-220,1,1e-4
012-121-210-211-220,1,1e-4
012-121-211-220-221,1,1e-4
012-200,21,0.0021
012-201,75,0.0075
012-201-202-220,1,1e-4
012-201-210,5,5e-4
012-201-220,14,0.0014
012-202,138,0.0138
012-202-210,2,2e-4
012-202-220,41,0.0041
012-210,105,0.0105
012-210-211-220,2,2e-4
012-210-220,2,2e-4
012-211,1,1e-4
012-220,71,0.0071
020,380,0.038
020-021,1,1e-4
020-021-022-110-120,1,1e-4
020-021-022-202-220,1,1e-4
020-021-102-111-120-202,1,1e-4
020-021-102-120-200,1,1e-4
020-021-120-220,2,2e-4
020-021-210-211,1,1e-4
020-022,3,3e-4
020-022-102-120,1,1e-4
020-022-102-120-200,1,1e-4
020-022-102-202-220,1,1e-4
020-022-112-120,1,1e-4
020-022-120-210-220,1,1e-4
020-022-120-212,1,1e-4
020-022-200,1,1e-4
020-102,20,0.002
020-102-120,1,1e-4
020-102-200,9,9e-4
020-102-201,2,2e-4
020-102-210,6,6e-4
020-112-200-202-210,1,1e-4
020-120-202,1,1e-4
020-200,78,0.0078
020-200-210,1,1e-4
020-201,25,0.0025
020-201-210,6,6e-4
020-201-220,1,1e-4
020-202,24,0.0024
020-202-210,4,4e-4
020-210,81,0.0081
020-220,4,4e-4
021,312,0.0312
021-022,3,3e-4
021-022-102-120-121-201,1,1e-4
021-022-102-200,1,1e-4
021-022-102-201,1,1e-4
021-022-111-112-201,1,1e-4
