Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.1397138925372256,0.005139379377348839,1-10
monoMulti,2,0.18014279811032224,0.00727837160194765,1-10
monoMulti,3,0.07859061710177165,0.0012190074377426319,1-10
monoMulti,4,0.03275474729177312,0.020842676021861937,1-10
nState,1,0.13971389253722563,0.0051393793773488235,1-10
nState,2,0.2503397477330109,0.003458750586454007,1-10
nState,3,0.4584357856080718,0.016104633329163964,1-10
nState,4,0.7643025748534923,0.07486660222058779,1-10
Phase,1,0.1521701780991055,0.00493925259614815,1-10
Phase,2,0.29682759123415786,0.002505245079023609,1-10
Phase,3,0.492632905794454,0.01706980962337841,1-10
Phase,4,0.8292641037469287,0.07806574512590332,1-10
monoMulti,1,0.08039338826198646,0.0010842240289640522,11-20
monoMulti,2,0.060172752931215566,0.004046785748159342,11-20
monoMulti,3,0.007580718521121213,0.003398627948726155,11-20
monoMulti,4,0,0,11-20
nState,1,0.08039338826198646,0.0010842240289640522,11-20
nState,2,0.12445896747886685,0.004717618596527553,11-20
nState,3,0.14791786406706112,0.008196998302757209,11-20
nState,4,0.41272694941671567,0.08213726153892224,11-20
Phase,1,0.08216936560319846,0.0012544229780215275,11-20
Phase,2,0.14568899164385896,0.005768271611952312,11-20
Phase,3,0.1679702741483413,0.010334936630729041,11-20
Phase,4,0.5099831702572112,0.11141927932465706,11-20
monoMulti,1,0.062143989280590645,0.0026991140830671307,21-30
monoMulti,2,0.04336021969958593,8.046613552936951e-4,21-30
monoMulti,3,0.004450963717007346,0.0032785786503572974,21-30
monoMulti,4,0,0,21-30
nState,1,0.062143989280590645,0.0026991140830671307,21-30
nState,2,0.09130342872701708,7.145350787505435e-4,21-30
nState,3,0.10444017734761062,0.008786885692313146,21-30
nState,4,0.24751110368472762,0.027002899273116082,21-30
Phase,1,0.06317276160232636,0.002736934806486064,21-30
Phase,2,0.1098352914738199,0.0011923258863480125,21-30
Phase,3,0.11957433392159837,0.008811459733101493,21-30
Phase,4,0.29752121938850234,0.02826786168296474,21-30
monoMulti,1,0.04958712954851455,0.0023714259954928417,31-40
monoMulti,2,0.035096537010212266,0.002035976674390348,31-40
monoMulti,3,0.00216379592874408,2.7687678212234693e-4,31-40
monoMulti,4,0,0,31-40
nState,1,0.04958712954851455,0.0023714259954928417,31-40
nState,2,0.07613282152345811,0.004376896925521452,31-40
nState,3,0.07582732428395539,0.009485052418940066,31-40
nState,4,0.1905073166768393,0.043694967852097644,31-40
Phase,1,0.050130984778818444,0.00239513332945774,31-40
Phase,2,0.09396441362402139,0.0046759069910687024,31-40
Phase,3,0.08626839740213979,0.009569147745618494,31-40
Phase,4,0.23423789768720732,0.04470250868264666,31-40
monoMulti,1,0.04218158860713682,0.001339195588700069,41-50
monoMulti,2,0.03279014140304344,0.0013994009258167513,41-50
monoMulti,3,0.0027420163265956267,5.184848153005356e-4,41-50
monoMulti,4,0.0025391578866198797,0.004397950468064847,41-50
nState,1,0.04218158860713682,0.001339195588700069,41-50
nState,2,0.0705507955374285,0.003600773027154365,41-50
nState,3,0.0603079931267666,0.006895882654586937,41-50
nState,4,0.15941780915103618,0.010702461547444649,41-50
Phase,1,0.04256102909585046,0.001350150369004994,41-50
Phase,2,0.08733318147369933,0.0038776089258022108,41-50
Phase,3,0.0677886817146598,0.007087379748767895,41-50
Phase,4,0.17880400345041822,0.012950819526413448,41-50
monoMulti,1,0.038034595824935936,8.02213586392654e-4,51-60
monoMulti,2,0.02815475859461621,9.54707869357956e-4,51-60
monoMulti,3,8.389036650676864e-4,2.7946034613888447e-4,51-60
monoMulti,4,0,0,51-60
nState,1,0.03803459582493593,8.022135863926507e-4,51-60
nState,2,0.06291920011775436,5.722893880566606e-4,51-60
nState,3,0.057185569208933716,0.0032383052462112132,51-60
nState,4,0.1197021277383851,0.023677496404974317,51-60
Phase,1,0.038382896566416413,8.10105727424141e-4,51-60
Phase,2,0.08141556757294983,0.001126652027070185,51-60
Phase,3,0.06408602837703675,0.0035669913971119347,51-60
Phase,4,0.13234176717137888,0.021684303588791674,51-60
monoMulti,1,0.03554349675339085,0.0021847997586573764,61-70
monoMulti,2,0.02754700371772122,0.0016994241300174189,61-70
monoMulti,3,0.0028094289309129866,0.0019481904525021879,61-70
monoMulti,4,0,0,61-70
nState,1,0.03554349675339085,0.0021847997586573764,61-70
nState,2,0.05897901293001399,7.92272004571999e-4,61-70
nState,3,0.05303966901330953,0.0021241160920844777,61-70
nState,4,0.10201423517633038,0.02453653591667985,61-70
Phase,1,0.03585249643205037,0.0022640107171903396,61-70
Phase,2,0.07646646210634475,0.0018610440843624535,61-70
Phase,3,0.05926069303827615,0.0015471313453261594,61-70
Phase,4,0.11818353157819957,0.03103897089302054,61-70
monoMulti,1,0.031864008652180524,0.002812690094799393,71-80
monoMulti,2,0.024821486647964464,0.001430213188637815,71-80
monoMulti,3,0.0016879750439942308,0.001214300202010556,71-80
monoMulti,4,0,0,71-80
nState,1,0.03186400865218052,0.0028126900947993906,71-80
nState,2,0.05428098980600211,0.0033556323565146085,71-80
nState,3,0.04572789516119498,0.0057233704077812985,71-80
nState,4,0.1101611833855483,0.028300398311584596,71-80
Phase,1,0.03211884638314361,0.002884831405672341,71-80
Phase,2,0.07111092917660398,0.00408577087616618,71-80
Phase,3,0.049661370951647923,0.007030725319788497,71-80
Phase,4,0.14219278793998852,0.0526317274149713,71-80
monoMulti,1,0.03186630335686131,0.0019108217599718277,81-90
monoMulti,2,0.025960429789058995,0.002007643792058851,81-90
monoMulti,3,0.0013195053261182833,2.702589822059515e-4,81-90
monoMulti,4,0,0,81-90
nState,1,0.03186630335686131,0.001910821759971831,81-90
nState,2,0.054386993741762917,2.8279517383080665e-4,81-90
nState,3,0.044374058962142075,0.004567093509869395,81-90
nState,4,0.10718534853583117,0.0014656572533631564,81-90
Phase,1,0.03218113837618536,0.001936740084307512,81-90
Phase,2,0.07305328355647349,0.0013916048891018185,81-90
Phase,3,0.04907350764320862,0.004783402694249412,81-90
Phase,4,0.12173030585960923,0.005022618666368773,81-90
monoMulti,1,0.029859426249453595,0.0010127463486144502,91-100
monoMulti,2,0.02378436049182729,0.0025270531707606817,91-100
monoMulti,3,6.531508277047929e-4,2.7985541611018783e-4,91-100
monoMulti,4,0,0,91-100
nState,1,0.02985942624945359,0.0010127463486144525,91-100
nState,2,0.05152840167005264,0.0031504389341733894,91-100
nState,3,0.04418847050323707,0.004181058109351963,91-100
nState,4,0.07919344873615,0.01862044746106956,91-100
Phase,1,0.0300764855323225,0.0010121788435084995,91-100
Phase,2,0.06900037740255154,0.0030669452637434812,91-100
Phase,3,0.047366985865383016,0.0041494602228885095,91-100
Phase,4,0.10149787938088621,0.033914110128803826,91-100
